userId,itemIds,runNumber
78,"[6377, 2572, 5460, 246, 4886, 708, 3438, 86295, 3007]",1
82,"[8961, 2396, 45728, 457, 1639, 7147, 44759, 2289, 784]",1
121,"[6377, 6378, 50872, 1682, 2761, 318, 7826, 7147, 47099, 94959]",1
144,"[8961, 5103, 1197, 7826, 94959, 46578, 109374, 2420, 2005, 1682]",1
186,"[8961, 17, 2396, 1197, 7361, 46578, 4973, 109374, 94959, 7826]",1
232,"[17, 36, 235, 802, 1206, 120799, 1262, 3176]",1
234,"[8360, 1370, 500, 6378, 8961, 4954, 367, 457, 2761, 69122]",1
239,"[3, 17, 41, 70, 122, 293, 479, 1897]",1
283,"[27619, 7361, 7147, 1197, 134853, 4973, 48394, 551, 94959, 86882]",1
322,"[8360, 3554, 5103, 1912, 4973, 46578, 54648, 837, 367, 90746]",1
323,"[6377, 318, 8784, 2803, 527, 110, 27619, 1682, 1197]",1
372,"[8961, 2761, 1197, 1682, 46578, 7361, 4973, 8874, 109374, 94959]",1
378,"[8961, 8360, 6377, 1197, 4886, 1265, 367, 2761, 1777, 7147]",1
451,"[27619, 1197, 318, 5618, 7361, 4973, 109374, 48394, 1682, 27773]",1
462,"[78499, 28, 76, 82, 300, 356, 1028, 1202, 1347]",1
476,"[6377, 531, 457, 4321, 2268, 2761, 1197, 2803, 5103, 36]",1
492,"[27619, 318, 5995, 7361, 4973, 109374, 1682, 3147, 1197]",1
525,"[110, 16, 1252, 1370, 3072, 2333, 2316, 1035, 78499]",1
533,"[8961, 134853, 6377, 4886, 50872, 27619, 8360, 5618, 66097]",1
51,"[724, 176371, 904, 2395, 2902, 2924, 44, 76, 1047]",1
116,"[1197, 318, 109374, 4973, 1682, 94959, 7826, 46578, 7361, 59387]",1
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",1
24,"[56587, 86882, 38061, 1197, 46578, 8874, 7826, 4973, 109374, 7361]",1
150,"[3507, 1784, 69406, 155743, 3072, 1265, 1307, 97921, 49286, 1197]",1
425,"[318, 7361, 109374, 48780, 1197, 1682, 4973, 79132, 96821, 7826]",1
480,"[94, 101, 72, 195, 1179, 2395, 2313, 1479, 3355]",1
521,"[318, 356, 296, 7361, 109374, 48516, 4973, 48780, 7826]",1
559,"[94070, 94959, 46578, 109374, 7826, 4973, 6867, 113275, 92259]",1
573,"[3, 8, 170401, 238, 6158, 1031, 1204, 2902, 1343]",1
133,"[94070, 94959, 1678, 4973, 46578, 62553, 6385, 265, 72737, 6867]",1
177,"[4, 85, 101, 178, 233, 904, 910, 933, 1209]",1
286,"[2739, 2908, 3554, 46578, 7361, 162414, 6711, 5992, 4973]",1
332,"[4, 63, 166, 205, 224, 38038, 1032, 1043, 1120, 3174]",1
381,"[4, 16, 23, 39, 322, 1129, 2066, 3328]",1
387,"[17, 28, 334, 1046, 1095, 1103, 3296, 3499, 4144]",1
402,[],1
404,"[2739, 1477, 1370, 122, 3257, 1678, 998, 1183, 2803, 509]",1
453,"[4, 17, 27, 60, 100, 101, 372, 418, 1017]",1
464,"[2739, 261, 5103, 162414, 1197, 531, 7178, 318, 1968, 7361]",1
534,"[4, 36, 180, 5378, 538, 955, 1081, 1288, 1945]",1
588,"[1678, 141, 1912, 2739, 457, 2908, 5296, 3176, 5992, 2289]",1
6,"[11, 28, 292, 176371, 552, 595, 596, 661, 674]",1
28,"[357, 21, 904, 2321, 2313, 16, 1245, 2194, 1103]",1
46,"[1197, 7361, 46578, 6711, 109374, 94959, 4979, 4973, 133771, 87304]",1
64,"[28, 36, 261, 346, 736, 780, 1104, 1203, 1209]",1
103,"[46, 266, 931, 951, 1187, 92192, 2184, 4194, 5, 57]",1
160,"[39, 36, 198, 837, 1187, 1684, 1870, 2915]",1
215,"[1197, 6711, 46578, 7361, 1682, 97921, 86882, 96821, 4973]",1
220,"[141, 300, 1213, 60766, 2502, 2302, 3499, 1682, 27619, 3897]",1
391,"[2395, 62, 43, 316, 1031, 4912, 5168, 20, 85]",1
418,"[1197, 4973, 46578, 7361, 3897, 6711, 899, 109374, 89904, 94959]",1
435,"[1197, 56152, 7826, 54259, 2761, 58347, 2161, 7380, 531, 59387]",1
437,"[1197, 7361, 46578, 6711, 4973, 86882, 109374, 94959]",1
555,"[215, 224, 1544, 1619, 1613, 1626, 2996, 6603, 7085]",1
562,"[6711, 7361, 4973, 109374, 94959, 180031, 133771, 78039, 87304]",1
587,"[500, 5460, 457, 2174, 1663, 161, 3624, 38061, 53956]",1
313,"[48516, 318, 296, 858, 2959, 58559, 48780, 50, 4226]",1
361,"[48516, 1912, 7361, 48780, 555, 3176, 6711, 27904, 48082]",1
362,"[48516, 7147, 6942, 7247, 46578, 7361, 4720, 1625, 3176, 2762]",1
438,"[48516, 1197, 318, 48780, 109374, 593, 1682, 58559, 7361, 2959]",1
469,"[48516, 55765, 1197, 48780, 109374, 7826, 67255, 3176, 4720, 2762]",1
45,"[8, 18, 21, 27, 41, 69, 201, 292, 1199, 1207]",1
202,"[5103, 261, 1197, 1682, 7826, 109374, 94959, 4973, 7361, 318]",1
235,"[5103, 1912, 725, 5893, 340, 708, 1047, 2082, 799]",1
279,"[531, 1183, 457, 1197, 261, 318, 551, 509, 2762]",1
368,"[94, 417, 1641, 1094, 4903, 6400, 7084, 8, 170401]",1
395,"[5103, 3006, 457, 940, 141, 1321, 1262, 1197, 2124, 1130]",1
494,"[2005, 4135, 5103, 7045, 2451, 531, 2161, 2124, 3974, 2550]",1
498,"[5103, 367, 36, 2, 39, 110, 60, 17, 170401, 531]",1
536,"[5103, 457, 2082, 7007, 147, 531, 303, 350, 60, 2803]",1
586,"[5103, 531, 457, 1197, 2761, 318, 1682, 109374, 48780, 4979]",1
603,"[44, 172, 300, 316, 1095, 1103, 2076, 5294]",1
608,"[8, 41, 53, 181, 379, 539, 736, 1517]",1
140,"[292, 261, 337, 348, 837, 1015, 1022, 1103]",1
264,"[1370, 1608, 457, 3868, 3254, 1265, 1682, 2997, 784, 2289]",1
1,"[457, 2762, 318, 48780, 7361, 4226, 48516, 2959, 79132, 50]",1
294,"[10, 55, 74, 100, 185, 292, 482, 563, 4865]",1
606,"[10, 22, 266, 780, 1246, 1183]",1
42,"[11, 32, 195, 219, 270, 474, 481, 491, 741]",1
256,"[11, 71, 278, 927, 1015, 1040, 1209, 1405, 1805]",1
590,"[11, 21, 266, 661, 1061, 2687, 5066]",1
217,"[799, 1653, 6867, 59387, 1620, 48082, 1719, 7826, 8950, 33903]",1
353,"[1278, 6787, 457, 293, 46578, 2571, 3917, 5902, 110, 296]",1
365,"[12, 16, 185, 446, 933, 1188, 1199, 1237, 2019, 3993]",1
373,"[1278, 48394, 1013, 2770, 1544, 7361, 2124, 3175, 1197, 2716]",1
380,"[1235, 1278, 2412, 3418, 1213, 1944, 2427, 2183, 3668, 4508]",1
199,"[2761, 48516, 8533, 51255, 3578, 7826, 109374, 48780, 1197, 7361]",1
58,"[3006, 46578, 2329, 318, 3147, 1682, 48516, 48780, 7361, 109374]",1
68,"[1246, 1252, 912, 1235, 2710, 3095, 1944, 3461]",1
107,"[3006, 2268, 48516, 3176, 44555, 36517, 1610, 3006, 11]",1
134,"[3006, 48516, 64620, 1267, 2268, 11, 44555, 36517, 3006, 89804]",1
176,"[80463, 2268, 81845, 2858, 6711, 46578, 7361, 1682, 5902, 6867]",1
240,"[3006, 515, 1625, 531, 457, 50, 5103, 1183, 1682, 2762]",1
284,"[1213, 46578, 2858, 4979, 48516, 296, 6711, 38886]",1
349,"[3006, 8950, 44555, 96829, 4720, 56339, 115713, 113741, 48780]",1
414,"[43, 69, 70, 147, 198]",1
419,"[2858, 69, 7361, 296, 1682, 50, 4308, 318, 2959, 2571]",1
428,"[3006, 1912, 2289, 2912, 1834, 5893, 1719, 1635, 3176, 50]",1
468,"[81845, 7826, 116797, 109374, 1682, 48780, 71033, 44555, 59387, 6867]",1
18,"[1201, 170401, 1215, 1253, 1321, 1371, 1374, 15, 23]",1
136,"[6539, 4973, 1197, 7826, 94959, 109374, 49772, 59387, 6773, 7143]",1
191,"[6539, 1183, 539, 55820, 4720, 1197, 515, 1732, 2226, 8533]",1
75,"[48516, 457, 7361, 318, 1732, 4226, 176371, 50, 6711]",1
77,"[1213, 48516, 428, 858, 1466, 555, 431, 8042, 1673]",1
96,"[1213, 6711, 7361, 1197, 97921, 48394, 86882, 109374, 180031, 412]",1
124,"[296, 48516, 55820, 858, 27773, 1206, 318, 1089, 1732, 55363]",1
