userId,itemIds,runNumber
78,"[27619, 2572, 2153, 1370, 77455, 5618, 7361, 58559, 93721, 1197]",1
82,"[27619, 110, 231, 457, 1784, 7147, 2803, 2908, 296, 1265]",1
121,"[27619, 1197, 2761, 46578, 1246, 8961, 4973, 7361, 7826]",1
144,"[3114, 5103, 1197, 1682, 1089, 2248, 2502, 2420]",1
186,"[27619, 17, 2396, 34072, 2571, 3844, 5772, 3671, 296, 1197]",1
232,"[78499, 17, 36, 116, 235, 741, 1645, 1262, 2297, 5954]",1
234,"[3114, 1370, 500, 109374, 2761, 1912, 904, 46578, 4973]",1
239,"[318, 296, 858, 7361, 58559, 2959, 79132, 2571, 4973, 109374]",1
283,"[27619, 7361, 7147, 1197, 134853, 215, 48394, 4973, 7826, 94959]",1
322,"[3114, 1197, 5103, 500, 457, 46578, 367, 2, 2291]",1
323,"[27619, 61246, 1307, 2268, 527, 110, 1197, 318, 1265]",1
372,"[27619, 1197, 318, 296, 1307, 1732, 356, 2571, 1246, 1035]",1
378,"[27619, 1307, 2791, 1197, 8961, 1265, 39, 7826, 86882, 46578]",1
451,"[27619, 318, 1197, 4973, 7361, 48394, 109374, 7826, 94959]",1
462,"[78499, 28, 76, 300, 356, 429, 1028, 1202, 1347]",1
476,"[27619, 1197, 457, 2355, 2161, 553, 36, 2761, 1682, 531]",1
492,"[27619, 527, 318, 1197, 46578, 96488, 176371, 7147, 4973, 7361]",1
525,"[296, 318, 58559, 2571, 2959, 79132, 109374, 7361, 80463]",1
533,"[27619, 4848, 8961, 81591, 6377, 2858, 180031, 112552, 134853]",1
51,"[318, 296, 2571, 593, 7361, 109374, 80463, 48516, 4973, 48780]",1
116,"[318, 296, 27619, 50, 215, 110, 97, 78499, 36]",1
288,"[4124, 1175, 2161, 1569, 5829, 2932, 2346, 4990, 6442]",1
24,"[318, 296, 858, 1197, 593, 27619, 2571, 58559, 7361, 2959]",1
150,"[3507, 3072, 1784, 94070, 97921, 109374, 104374, 6711, 46578]",1
425,"[356, 3, 235, 4, 349, 741, 1147, 33493, 886]",1
480,"[2395, 11, 1179, 1046, 2313, 101, 799, 1479]",1
521,"[318, 296, 7361, 109374, 44555, 48516, 4973, 27773, 48780, 71033]",1
559,"[318, 296, 7361, 109374, 1682, 4973, 48516, 1197, 80463, 94959]",1
573,"[3450, 170401, 1204, 2902, 1066, 1204, 1920, 1204, 1204]",1
133,"[2739, 2761, 162414, 4973, 1197, 46578, 7361, 62553, 109374, 96821]",1
177,"[4, 63, 85, 101, 178, 233, 238, 904, 910]",1
286,"[2739, 2762, 356, 3897, 1485, 50, 527, 7361, 2858, 318]",1
332,"[4, 63, 66, 108, 166, 205, 224, 38038, 1283, 3174]",1
381,"[4, 16, 23, 39, 1129, 1296, 3328, 2316]",1
387,"[17, 45728, 334, 1095, 1103, 3499, 4144, 6620]",1
402,"[318, 296, 7361, 109374, 1197, 162414, 1732, 4973, 1682, 46578]",1
404,"[318, 296, 2571, 7361, 109374, 80463, 162414, 96821, 48780, 4973]",1
453,"[318, 296, 7361, 1197, 1682, 109374, 4973, 80463, 27619, 2571]",1
464,"[2739, 5103, 1183, 515, 247, 1188, 3108, 7482, 1197, 6711]",1
534,"[318, 296, 858, 7361, 58559, 2959, 79132, 2571, 593, 1213]",1
588,"[2739, 3006, 367, 1912, 3554, 64620, 1485, 1729, 1678, 457]",1
6,"[11, 292, 176371, 595, 599, 605, 610, 661, 694, 674]",1
28,"[904, 94777, 2321, 357, 16, 21, 233, 1103, 2194, 2313]",1
46,"[318, 296, 7361, 109374, 1682, 4973, 27773, 1197, 162414, 44555]",1
64,"[318, 296, 858, 356, 593, 2571, 2959, 1704, 58559, 79132]",1
103,"[296, 318, 7361, 109374, 58559, 4973, 79132, 1682, 48780, 1197]",1
160,"[318, 296, 858, 2959, 58559, 79132, 2571, 356, 593, 7361]",1
215,"[356, 7361, 1682, 318, 6711, 1732, 4973, 48780, 109374]",1
220,"[296, 318, 858, 356, 593, 27619, 2959, 2571, 1213, 1197]",1
391,"[318, 296, 58559, 79132, 109374, 7361, 48780, 4973, 1682, 1197]",1
418,"[1197, 4973, 7361, 109374, 318, 89904, 162414, 44555, 92259, 48780]",1
435,"[1197, 7826, 56152, 1035, 7147, 54259, 109374, 2761, 4973, 94959]",1
437,"[356, 7361, 46578, 4973, 1682, 318, 109374, 1197, 96821, 551]",1
555,"[215, 1682, 1544, 1619, 224, 1573, 2996, 6603, 7085, 1875]",1
562,"[318, 296, 109374, 7361, 48780, 162414, 1682, 4973, 27773, 44555]",1
587,"[1197, 2005, 457, 3175, 2502, 1441, 54648, 141, 6378, 46578]",1
313,"[296, 318, 7361, 858, 58559, 2959, 2571, 356, 1704, 79132]",1
361,"[58559, 296, 7361, 176371, 1197, 109374, 6711, 1732, 4973]",1
362,"[58559, 531, 6942, 7247, 4973, 7361, 2346, 5266, 109374]",1
438,"[296, 318, 858, 58559, 79132, 2571, 2959, 356, 593, 80463]",1
469,"[296, 318, 1197, 48516, 109374, 1682, 27619, 55820, 1732, 58559]",1
45,"[1179, 1199, 1207, 18, 21, 588, 1777, 2583]",1
202,"[1732, 36, 170401, 357, 3033, 531, 43, 4916]",1
235,"[356, 296, 318, 50, 1682, 457, 2761, 1732, 3147, 2762]",1
279,"[318, 296, 858, 58559, 7361, 109374, 4973, 48516, 80463, 112552]",1
368,"[356, 1094, 1641, 417, 724, 23, 170401, 122, 185, 2615]",1
395,"[318, 296, 1197, 593, 1682, 2761, 50, 4973, 2762, 7361]",1
494,"[2005, 112515, 1259, 56339, 1197, 66097, 159858, 5103, 4720, 531]",1
498,"[318, 1197, 296, 1682, 27619, 7361, 3147, 367, 48516, 4973]",1
536,"[2005, 555, 508, 1197, 457, 1912, 36, 5103, 733]",1
586,"[1197, 318, 109374, 7361, 1682, 48780, 4973, 7826, 94959, 1732]",1
603,"[16, 29, 316, 300, 2076, 1103, 61246, 5294, 6020, 4092]",1
608,"[8, 41, 76, 79, 539, 736, 1517, 94777, 2692, 2966]",1
140,"[261, 292, 337, 837, 1015, 1022, 1103, 1244, 1797, 4975]",1
264,"[1370, 1608, 1682, 2243, 2502, 2289, 457, 1732, 3006, 1653]",1
1,"[296, 318, 2571, 2959, 356, 593, 27619, 1704, 1682, 110]",1
294,"[296, 318, 7361, 109374, 48516, 4973, 80463, 1682, 79132, 27619]",1
606,"[296, 318, 7361, 58559, 2959, 109374, 79132, 2571, 80463, 4973]",1
42,"[7361, 6711, 1682, 109374, 94959, 48780, 4973, 80463, 46578]",1
256,"[318, 296, 7361, 109374, 1197, 162414, 1732, 4973, 1682, 7826]",1
590,"[2858, 1682, 296, 2761, 2959, 318, 457, 7361, 109374, 27619]",1
217,"[110, 150, 215, 597, 986, 991, 1594, 2917, 2931]",1
353,"[296, 318, 50, 1682, 457, 293, 1732, 110]",1
365,"[296, 7361, 109374, 318, 4973, 2571, 858, 79132, 80463, 1197]",1
373,"[1278, 48394, 1197, 2005, 837, 1265, 7361, 2716, 4973]",1
380,"[12, 27, 45, 76, 74, 292, 602, 1235, 1213, 3418]",1
199,"[318, 296, 858, 58559, 79132, 109374, 80463, 7361, 48516, 4973]",1
58,"[318, 296, 1682, 50, 2761, 2858, 1732, 2762, 3147, 3108]",1
68,"[912, 1246, 1252, 3095, 2710, 1641, 1933, 1944, 3360, 3462]",1
107,"[318, 296, 858, 48516, 1682, 50, 48780, 27773, 109374]",1
134,"[858, 48516, 3006, 2268, 44555, 48780, 3006, 318, 50]",1
176,"[318, 296, 7361, 109374, 48516, 4973, 1682, 80463, 6711, 48780]",1
240,"[318, 296, 50, 1682, 2761, 1732, 2762, 2329, 3147, 3176]",1
284,"[318, 296, 1197, 7361, 109374, 1682, 4973, 27773, 162414, 44555]",1
349,"[318, 593, 296, 1682, 2762, 50, 2761, 1732, 457, 1197]",1
414,"[30, 70, 147, 198, 199, 188, 1040]",1
419,"[296, 318, 7361, 1732, 1682, 1197, 48516, 4973, 48780]",1
428,"[296, 318, 858, 2959, 58559, 79132, 2571, 7361, 80463, 112552]",1
468,"[527, 318, 7826, 1246, 81845, 2324, 4973, 4995, 1682, 5995]",1
18,"[589, 170401, 1201, 1086, 1202, 1333, 1233, 1374, 1177, 1286]",1
136,"[1198, 215, 4973, 531, 6711, 3159, 110, 4144, 7361, 109374]",1
191,"[6539, 7579, 49286, 55820, 2226, 1197, 55052, 215, 1732, 4720]",1
75,"[858, 3006, 1060, 7361, 8361, 48516, 46578, 48780]",1
77,"[1213, 858, 296, 48516, 37733, 78039, 7361, 6711, 318]",1
96,"[296, 7361, 318, 6711, 109374, 4973, 1682, 1197, 48516, 46578]",1
124,"[296, 1258, 858, 55820, 48516, 27773, 1732, 1266, 50]",1
171,"[858, 7579, 4973, 265, 457, 1333, 7361, 109374, 44555]",1
266,"[296, 318, 593, 7361, 1682, 48516, 4973, 2959, 109374, 79132]",1
308,"[1213, 46578, 7361, 27619, 1732, 6711, 4979, 162414, 4973, 1247]",1
364,"[858, 1213, 48516, 428, 80489, 55118, 2726, 1245, 71033]",1
400,"[858, 318, 55820, 71033, 1262, 2268, 48516, 44555, 48780]",1
416,"[858, 7361, 296, 4973, 48516, 6711, 27773, 318, 215, 109374]",1
422,"[296, 318, 1732, 7361, 109374, 27773, 4973, 1682, 1197]",1
441,"[858, 48516, 4226, 27773, 50, 31364, 73344, 71033, 2726, 73808]",1
475,"[858, 7361, 593, 899, 7826, 7451, 1997, 6711, 2572, 78499]",1
514,"[296, 318, 858, 58559, 2959, 2571, 356, 79132, 593, 109374]",1
551,"[296, 318, 1197, 7361, 109374, 4973, 27773, 44555, 71033]",1
570,"[296, 318, 1732, 7361, 1682, 1197, 551, 2959, 2762, 27619]",1
4,"[17, 296, 53, 211, 368, 380, 304, 344, 455]",1
17,"[7579, 261, 5103, 69, 1441, 1015, 231, 2762, 4973, 215]",1
37,"[7579, 2572, 7361, 97921, 6711, 4973, 8533, 46578, 215, 94959]",1
119,"[7579, 112515, 7361, 39, 899, 555, 357, 1961, 1393, 4979]",1
152,"[7579, 5772, 910, 6773, 4720, 7361, 109374, 4973, 180031, 94959]",1
227,"[7579, 2599, 1258, 296, 318, 7361, 6711, 2762, 46578]",1
262,"[7579, 1183, 515, 55052, 412, 7361, 3176, 5812, 4144, 4973]",1
309,"[7579, 1259, 1258, 1198, 2762, 2248, 1707, 7361, 1197]",1
339,"[7361, 4973, 1197, 46578, 318, 296, 6711, 1682, 109374, 904]",1
357,"[7579, 141, 1544, 1197, 3175, 4973, 1291, 109374, 7361, 46578]",1
413,"[7579, 457, 7361, 4973, 48516, 6711, 1197, 215, 318]",1
477,"[17, 42, 170, 171, 352, 434, 3175, 8495]",1
513,"[7579, 48516, 176371, 7361, 50, 48394, 4973, 1258, 6711, 109374]",1
542,"[7579, 7147, 86882, 46578, 1544, 1271, 59387, 4973, 7361, 109374]",1
558,"[7579, 904, 164909, 7361, 44555, 162414, 109374, 48780, 4973, 71033]",1
568,"[7579, 55052, 127108, 71327, 515, 51834]",1
583,"[7579, 4016, 167380, 261, 7826, 1197, 6385, 86882, 2761, 94959]",1
599,"[7361, 356, 457, 5378, 113, 17, 314, 2427, 1197, 1408]",1
602,"[7579, 2571, 46578, 4979, 2700, 2795, 332, 2226, 7361]",1
609,"[7579, 595, 4973, 71033, 261, 27619, 44555, 7361, 1197, 109374]",1
81,"[296, 1197, 7361, 4973, 109374, 41566, 46578, 94959, 1682, 48394]",1
130,"[296, 1625, 109374, 2762, 7361, 27773, 133771, 48780, 57669]",1
198,"[296, 1682, 1527, 7361, 4979, 318, 4973, 1732, 4878, 6711]",1
248,"[296, 1732, 318, 109374, 27773, 7361, 1197, 4973, 1682, 59387]",1
486,"[296, 1183, 837, 39, 17, 5103, 141, 36, 247]",1
507,"[296, 109374, 4973, 46578, 1732, 7361, 57669, 86882, 1197]",1
561,"[296, 7361, 318, 2571, 2959, 4973, 109374, 80463, 79132, 1682]",1
56,"[1682, 296, 2502, 318, 27619, 2959, 1732, 1704, 1527, 2329]",1
274,"[150, 356, 1035, 33493, 4993, 3186, 6184, 6218, 6281]",1
484,"[272, 741, 1269, 1611, 2122, 4476, 4194, 4836, 19]",1
99,"[296, 1732, 57669, 46578, 38061, 83134, 4979, 158238, 94959]",1
304,"[296, 7361, 318, 4973, 2571, 109374, 80463, 6711, 1197, 48516]",1
340,"[296, 318, 50, 1225, 1682, 515, 1732, 1183, 3108, 1719]",1
376,"[296, 318, 50, 356, 2571, 1704, 1682, 2959, 2858, 593]",1
