userId,itemIds,runNumber
78,"[2761, 4973, 59387, 74553, 318, 77455, 117444, 96829, 6773]",1
82,"[59387, 71033, 44555, 4973, 27773, 61240, 96829, 92259, 109374]",1
121,"[2761, 4973, 74553, 59387, 6773, 6867, 5015, 7826, 102993]",1
144,"[59387, 7826, 6867, 44555, 55908, 6773, 33903, 8933, 96829]",1
186,"[59387, 4973, 7361, 7826, 109374, 133771, 79357, 48780]",1
232,"[121, 452, 759, 1051, 1257, 1645, 1891, 5258]",1
234,"[59387, 7826, 158238, 6773, 55908, 59387, 109374, 44555, 71033]",1
239,"[59387, 71033, 44555, 27773, 61240, 96829, 86781, 89759, 92259]",1
283,"[59387, 4973, 7361, 48394, 94959, 7147, 46578, 7826, 46976, 1197]",1
322,"[59387, 94959, 109374, 152970, 7826, 159415, 133771, 57669, 87234, 95088]",1
323,"[59387, 4973, 7826, 7361, 109374, 48780, 133771, 180031]",1
372,"[74553, 117444, 59387, 4973, 94959, 109374, 6773, 7826, 72226, 1197]",1
378,"[2761, 4973, 46578, 1197, 7361, 94959, 109374, 7147, 7826, 72226]",1
451,"[59387, 4973, 7361, 48394, 71033, 27773, 61240, 44555, 89759, 96829]",1
462,"[82, 803, 1202, 1173, 3183, 5802, 6434, 6638, 5106]",1
476,"[59387, 117444, 68848, 39381, 74553, 1719, 59387, 55908, 59387]",1
492,"[59387, 4973, 7361, 71033, 27773, 44555, 61240, 96829, 6773]",1
525,"[233, 726, 2333, 2829, 27549, 1475, 2286, 2741]",1
533,"[6773, 4973, 59387, 55442, 74553, 133771, 118880, 59387, 109374]",1
51,"[8914, 59387, 113741, 71033, 44555, 27773, 55908, 96829, 73808]",1
116,"[59387, 71033, 44555, 96829, 6773, 55908, 8933, 73808, 44555]",1
288,"[53, 82, 83, 148, 159, 612, 5075, 6376]",1
24,"[6867, 59387, 95088, 7826, 109374, 133771, 152970, 159415, 158238]",1
150,"[6867, 104339, 95088, 55280, 87304, 95873, 113275, 104374, 4973]",1
425,"[6867, 59387, 71033, 44555, 6773, 55908, 57669, 8933, 96829]",1
480,"[1046, 1126, 1476, 1514, 2236, 2303, 2313, 2511]",1
521,"[6867, 4144, 71033, 59387, 31364]",1
559,"[59387, 71033, 27773]",1
573,"[238, 759, 1204, 1816, 1840, 1920, 3153, 3661]",1
133,"[162414, 6385, 59387, 95558, 62553, 6773, 265, 160848]",1
177,"[178, 233, 1180, 1910, 1794, 2615, 3094, 4500, 4313]",1
286,"[4144, 59387, 4973, 7361, 27773, 71033, 61240, 44555, 6773]",1
332,"[1966, 1594, 6867, 33880, 59387, 71033, 44555, 6773, 73344, 2360]",1
381,"[1514, 2066, 2290, 3374, 3338, 3515, 3516, 4531]",1
387,"[334, 1046, 1425, 1806, 2330, 4144, 7266]",1
402,"[4144, 4973, 7361, 59387, 87234, 133771, 152970, 158783]",1
404,"[265, 247, 1719, 123, 2686, 2360, 1280, 515, 71033]",1
453,"[6867, 4144, 4973, 59387, 71033, 44555, 61240, 96829]",1
464,"[6867, 57669, 59387, 71033, 44555, 6773, 55908, 27815, 96829]",1
534,"[824, 1318, 1914, 4174, 3872, 4705, 8720]",1
588,"[314, 176, 1834, 1719, 1594, 6867, 59387, 88235]",1
6,"[6867, 57669, 4973, 7361, 59387, 87234, 7826, 95088, 109374]",1
28,"[233, 516, 766, 1279, 2187, 2210, 2265, 2307]",1
46,"[57669, 59387, 87234, 6867, 71033, 8933, 92259, 44555, 6773]",1
64,"[28, 74, 346, 803, 1812]",1
103,"[59387, 71033, 44555, 6773, 96829, 55908, 73808, 58303]",1
160,"[198, 635, 731, 1187, 1409, 1870, 1654, 1684, 3566]",1
215,"[4144, 4973, 59387, 44555, 71033, 61240, 96829, 89759, 27773]",1
220,"[57669, 59387, 71033, 44555, 55908, 73808, 96829, 58303, 74553, 8933]",1
391,"[341, 85, 43, 206, 479, 4912, 5613, 348, 5170, 2468]",1
418,"[6867, 4973, 57669, 59387, 6773, 44555, 71033, 92259, 96829]",1
435,"[59387, 117444, 4973, 74553, 152970, 6773, 94959, 72737, 72226, 109374]",1
437,"[4144, 4973, 7361, 59387, 215, 87234, 87304, 91079]",1
555,"[148, 495, 1454, 1613, 5121, 6603, 7085]",1
562,"[4144, 4973, 7361, 59387, 215, 94959, 133771, 87234, 87304, 91079]",1
587,"[59387, 6867, 71033, 44555, 55908, 6773, 8933, 92259, 96829]",1
313,"[71033, 59387, 44555, 73808, 55908, 96829, 58303, 33903, 74553, 44555]",1
361,"[59387, 57669, 71033, 90738, 113741, 133771, 158238]",1
362,"[59387, 4973, 7361, 7826, 109374, 79357, 133771, 48780]",1
