userId,itemIds,runNumber
78,"[8961, 1197, 108932, 69406, 2153, 152081, 58559, 69122, 112852, 27619]",1
82,"[8961, 81845, 109374, 7361, 318, 1197, 58559, 4973, 79132, 1682]",1
121,"[27619, 6377, 8961, 8360, 1197, 135436, 4886, 108932, 50872, 152081]",1
144,"[27619, 1197, 2005, 5103, 8961, 531, 1682, 2420, 837, 1013]",1
186,"[8961, 7579, 17, 1197, 7361, 109374, 318, 7826, 4973, 1682]",1
232,"[3114, 7361, 296, 318, 109374, 79132, 58559, 48780, 1682, 27619]",1
234,"[8961, 1370, 500, 1197, 457, 6377, 69122, 5418, 27619, 2571]",1
239,"[8961, 86882, 318, 7361, 58559, 109374, 79132, 48780, 1682, 27619]",1
283,"[8961, 7361, 7147, 1197, 6377, 54259, 551, 8533, 2716]",1
322,"[8961, 6942, 1197, 7826, 86882, 109374, 47099, 108932, 69406, 1682]",1
323,"[27619, 318, 356, 296, 2571, 593, 1682, 3147, 2762, 2959]",1
372,"[27619, 6377, 1197, 318, 356, 58559, 8961, 109374, 2571, 7361]",1
378,"[8961, 8360, 6377, 1197, 4886, 69406, 500, 367, 56152, 1013]",1
451,"[27619, 6377, 1197, 318, 356, 3147, 1682, 7361, 4973]",1
462,"[1197, 7361, 109374, 1682, 318, 96821, 48780, 7826, 46578]",1
476,"[8961, 5618, 1197, 7826, 457, 2006, 2762, 109374, 3147, 318]",1
492,"[27619, 318, 109374, 7361, 1197, 4973, 1682, 96821, 7826, 46578]",1
525,"[8961, 109374, 318, 58559, 7361, 296, 48780, 48516, 79132, 1682]",1
533,"[27619, 6377, 8360, 8961, 4886, 2081, 588, 595, 1197]",1
51,"[58559, 1197, 318, 2571, 109374, 79132, 48780, 7361, 48516, 2959]",1
116,"[2617, 318, 1183, 3863, 1682, 2006, 457, 531, 27619]",1
288,"[2, 53, 76, 82, 159, 337, 38038, 1095, 1175, 1719]",1
24,"[1197, 109374, 1682, 318, 7361, 1732, 2762, 2005, 48780, 919]",1
150,"[69406, 1307, 155743, 97921, 2572, 88163, 4246, 49286, 6942, 2671]",1
425,"[318, 296, 858, 58559, 2959, 2571, 79132, 593, 48516, 1213]",1
480,"[2395, 94, 3, 11, 21, 72, 101, 1179, 2313]",1
521,"[356, 318, 109374, 7361, 79132, 5995, 97921, 2028, 6711, 69481]",1
559,"[318, 296, 356, 858, 58559, 2959, 2571, 79132, 593, 109374]",1
573,"[3, 170401, 238, 6158, 1204, 2902, 1343, 1816, 1840, 410]",1
133,"[1197, 7826, 4973, 96821, 111921, 109374, 134853, 94959, 27619]",1
177,"[101, 904, 910, 916, 933, 1209, 1283, 2739]",1
286,"[2739, 7361, 46578, 2762, 6711, 1682, 4720, 4979, 318, 4973]",1
