userId,itemIds,runNumber
78,"[8961, 2572, 1197, 367, 8360, 54648, 112175, 88163, 94777, 27619]",1
82,"[27619, 110, 231, 457, 46578, 7147, 2803, 105355, 296, 1265]",1
121,"[8961, 4954, 6377, 318, 27619, 58559, 296, 356, 152081]",1
144,"[27619, 1197, 5103, 2005, 837, 500, 2420, 2]",1
186,"[27619, 17, 1225, 34072, 2571, 3844, 5772, 3671, 296, 1197, 7361, 1265]",1
232,"[78499, 17, 36, 235, 741, 1645, 1262, 2297, 2268, 5954]",1
234,"[1198, 1197, 380, 8961, 38061, 7826, 51255, 2006, 3104, 2406]",1
239,"[318, 296, 58559, 7361, 109374, 79132, 80463, 48780, 4973, 1682]",1
283,"[1197, 7361, 7147, 4973, 2291, 551, 54259, 94959, 7826]",1
322,"[27619, 8360, 1197, 8961, 7826, 97921, 86882, 109374, 94959, 48780]",1
323,"[27619, 318, 4973, 2762, 527, 6539, 7361, 1197, 356]",1
372,"[27619, 1197, 318, 493, 4973, 2791, 5378, 215, 46578, 1682]",1
378,"[8961, 1265, 2791, 1197, 4886, 86882, 108932, 4973, 3175]",1
451,"[27619, 318, 5618, 2324, 6377, 4973, 5995, 5690, 1197, 1172]",1
462,"[78499, 28, 356, 300, 82, 1202, 1347, 1028, 2529]",1
476,"[27619, 2161, 1370, 3671, 4995, 2762, 1197, 318, 8961, 2571]",1
492,"[27619, 318, 5618, 356, 48394, 4973, 1197, 7361, 164909, 7147]",1
525,"[318, 296, 27619, 1682, 593, 7361, 109374, 48516, 4973, 79132]",1
533,"[27619, 1197, 6377, 8961, 318, 1035, 134853, 1682, 5618]",1
51,"[2, 176371, 904, 2395, 724, 168, 1177, 2924, 2941]",1
116,"[318, 27619, 1682, 1197, 96488, 58559, 109374, 79132, 2324, 2959]",1
288,"[2, 53, 82, 159, 94, 100, 148, 1095, 1175, 1719]",1
24,"[1197, 86882, 2005, 8874, 94959, 109374, 7826, 51255, 4973, 1682]",1
150,"[3507, 1784, 94070, 56587, 7149, 140110, 6753, 69406, 113275, 109374]",1
425,"[356, 3, 235, 4, 349, 27, 741, 423, 605, 1147]",1
480,"[3, 11, 94, 101, 195, 237, 708, 1043, 1046, 2395]",1
521,"[356, 7361, 318, 79132, 109374, 4995, 5995, 6711, 69481, 4973]",1
559,"[296, 318, 356, 7361, 109374, 1682, 97921, 79132, 6711, 1732]",1
573,"[3, 170401, 1204, 2902, 1343, 1066, 1204, 1816, 1840, 410]",1
133,"[2739, 62553, 162414, 72737, 112175, 88810, 47099, 2761, 166643]",1
177,"[4, 904, 178, 1209, 2739, 3730, 2722, 4994]",1
286,"[1197, 7361, 4973, 48394, 46578, 86882, 180031, 97921, 79132, 104374]",1
332,"[296, 7361, 109374, 97921, 57669, 6711, 1732, 48516, 69757]",1
381,"[4, 39, 322, 852, 1129, 1296, 2316, 3328]",1
