userId,itemIds,runNumber
78,"[8961, 2572, 2571, 27619, 58559, 6377, 318, 1197, 296, 2153]",1
82,"[27619, 296, 1682, 318, 7361, 109374, 1197, 48516, 48780, 4973]",1
121,"[27619, 1707, 318, 356, 2571, 1682, 3147, 1197, 2762, 8961]",1
144,"[27619, 5103, 1197, 2005, 1682, 1968, 318, 1270, 356, 2420]",1
186,"[27619, 7579, 17, 1197, 7361, 109374, 4973, 318, 1682, 7826]",1
232,"[1682, 7361, 318, 79132, 109374, 48780, 48516, 80463, 116797, 112552]",1
234,"[3114, 8961, 500, 457, 141, 367, 376, 1682, 6378, 1197]",1
239,"[318, 296, 2571, 2959, 593, 27619, 1682, 3147, 2762, 1704]",1
283,"[27619, 7361, 551, 1197, 8961, 4973, 7147, 7826, 54259]",1
322,"[27619, 356, 1197, 8961, 318, 1682, 1035, 2571, 2081, 58559]",1
323,"[27619, 296, 356, 318, 2571, 7361, 109374, 80463, 1682, 1197]",1
372,"[27619, 1197, 318, 356, 2571, 1682, 593, 3147, 7361, 109374]",1
378,"[27619, 6377, 8360, 1197, 500, 8961, 539, 1707, 4886, 1265]",1
451,"[27619, 6377, 1197, 318, 356, 858, 296, 2571, 7361, 109374]",1
462,"[1197, 7361, 109374, 4973, 1682, 318, 48780, 7826, 46578, 96821]",1
476,"[27619, 1197, 8961, 531, 380, 4321, 805, 457, 36, 3147]",1
492,"[27619, 318, 296, 858, 356, 58559, 2959, 2571, 79132, 109374]",1
525,"[296, 318, 2571, 2959, 593, 48516, 79132, 58559, 109374, 7361]",1
533,"[27619, 6377, 8360, 2081, 588, 595, 1197, 8961, 919]",1
51,"[1682, 318, 2571, 7361, 48780, 109374, 79132, 48516, 80463, 58559]",1
116,"[318, 296, 2571, 2959, 27619, 1682, 593, 356, 50, 78499]",1
288,"[1682, 1197, 318, 7361, 109374, 48780, 79132, 48516, 92259, 58559]",1
24,"[1197, 141, 4128, 7826, 2005, 86882, 2657, 2161, 1682, 4700]",1
150,"[3507, 1784, 69406, 7149, 56587, 155743, 539, 94070, 73015, 49286]",1
425,"[296, 318, 2571, 2959, 593, 27619, 1682, 1704, 2762, 3147]",1
480,"[2395, 1046, 2471, 1179, 2313, 2699, 2511, 5134, 3355, 5250]",1
521,"[318, 356, 296, 858, 58559, 2959, 79132, 2571, 7361, 109374]",1
559,"[318, 7361, 296, 109374, 1682, 1197, 48516, 4973, 27619, 80463]",1
573,"[1197, 5103, 1682, 27619, 318, 7361, 109374, 8961, 48780, 7826]",1
133,"[2739, 3554, 72737, 2156, 110781, 1477, 27619, 47099, 62553]",1
177,"[1197, 7361, 109374, 94959, 46578, 4973, 1682, 6711, 4979, 86882]",1
286,"[1678, 2908, 3108, 1719, 515, 2289, 247, 1094, 1183, 531]",1
332,"[1197, 7361, 1682, 6711, 4973, 46578, 109374, 94959, 96821]",1
381,"[7361, 6711, 109374, 96821, 94959, 46578, 180031, 97921, 89904]",1
387,"[7361, 6711, 215, 4973, 109374, 94959, 97921, 46578, 96821]",1
402,"[2739, 367, 1477, 231, 122, 1777, 39, 141, 1393, 457]",1
404,"[3257, 2803, 457, 339, 185, 17, 11, 105, 110]",1
453,"[1197, 7361, 46578, 1682, 4973, 47099, 109374, 94959, 6711, 86882]",1
464,"[2739, 261, 1197, 5103, 318, 1968, 1682, 8533, 2420, 7826]",1
534,"[7361, 46578, 1197, 6711, 109374, 94959, 4973, 1682, 96821]",1
588,"[1678, 141, 11, 296, 1393, 17, 457, 39, 50]",1
6,"[11, 292, 176371, 595, 599, 605, 661, 674, 694, 626]",1
28,"[296, 1732, 7361, 318, 2959, 109374, 79132, 1682, 48516, 48780]",1
46,"[1013, 1719, 39, 4, 69, 1569, 2908, 1895, 1777, 1477]",1
64,"[318, 7361, 109374, 48780, 4973, 1682, 48516, 1197, 3147, 27619]",1
103,"[1197, 7361, 109374, 94959, 46578, 1682, 6711, 4973, 96821, 86882]",1
160,"[296, 318, 2959, 2571, 7361, 79132, 109374, 112552, 80463, 164909]",1
215,"[1197, 7361, 6711, 1682, 97921, 46578, 86882, 96821, 4973, 109374]",1
220,"[1682, 318, 296, 109374, 58559, 7361, 48780, 48516, 79132, 2959]",1
391,"[1197, 1682, 7361, 46578, 109374, 94959, 7826, 4973, 96821, 86882]",1
418,"[1197, 4973, 46578, 7361, 6711, 109374, 94959, 89904, 1682, 86882]",1
435,"[1197, 1013, 595, 500, 27619, 56152, 837, 2081, 588]",1
437,"[356, 318, 296, 27619, 1682, 2571, 2959, 3147, 2858, 2762]",1
555,"[215, 1544, 1619, 1626, 2996, 2606, 6603, 7085, 1875]",1
562,"[1197, 7361, 6711, 109374, 4973, 1682, 318, 48780, 7826, 94959]",1
587,"[500, 2, 367, 457, 1707, 2124, 94777, 39, 733, 1485]",1
313,"[296, 318, 7361, 858, 2959, 58559, 2571, 593, 79132, 48516]",1
361,"[296, 318, 7361, 48516, 79132, 109374, 8533, 58559, 1682, 1197]",1
362,"[58559, 27619, 6942, 1035, 7361, 2762, 1682, 112556, 46578, 48780]",1
438,"[296, 318, 2571, 593, 2959, 858, 79132, 58559, 356, 48516]",1
469,"[48516, 48780, 109374, 7826, 94959, 116797, 96821, 88810, 81845, 1682]",1
45,"[1682, 318, 7361, 109374, 48780, 1197, 48516, 79132, 80463, 116797]",1
202,"[1197, 5103, 1682, 318, 1265, 7826, 46578, 109374, 47099, 7361]",1
235,"[5103, 457, 2082, 50, 441, 318, 39, 1682, 367, 1704]",1
279,"[1197, 7361, 318, 4973, 109374, 1682, 48780, 7826, 46578, 96821]",1
368,"[1682, 318, 296, 593, 2571, 27619, 2762, 2959, 3147, 50]",1
395,"[5103, 457, 1197, 1682, 318, 2005, 593, 551, 2762, 4128]",1
494,"[5103, 4135, 2005, 2052, 7045, 4128, 531, 2161, 2124, 2]",1
498,"[5103, 231, 36, 2, 39, 110, 60, 216, 17, 158]",1
536,"[5103, 457, 2082, 2803, 531, 367, 350, 2, 318, 1682]",1
586,"[1197, 2005, 318, 1682, 109374, 7361, 7826, 48780, 4973, 92259]",1
603,"[29, 300, 1095, 1103, 2076, 2401, 61246, 5294, 6020, 4092]",1
608,"[1197, 1682, 318, 7361, 109374, 48780, 4973, 7826, 94959, 46578]",1
140,"[318, 296, 2571, 2959, 593, 48516, 79132, 48780, 58559, 109374]",1
264,"[1370, 1608, 457, 500, 1485, 1682, 380, 367, 784]",1
1,"[296, 318, 2959, 2571, 593, 2858, 2762, 50, 1682]",1
294,"[296, 318, 2959, 2571, 79132, 58559, 593, 858, 48516, 80463]",1
606,"[318, 296, 58559, 2959, 79132, 2571, 593, 858, 48516, 48780]",1
42,"[7361, 6711, 1682, 4973, 109374, 46578, 94959, 4979, 180031]",1
256,"[11, 71, 278, 927, 1015, 1040, 1209, 1405, 1805, 2050]",1
590,"[1197, 7361, 318, 109374, 1682, 48780, 7826, 4973, 96821, 46578]",1
217,"[1197, 1682, 7361, 318, 296, 109374, 80463, 96821, 48516, 92259]",1
353,"[2124, 457, 551, 380, 353, 367, 70, 1527, 733, 94777]",1
365,"[1197, 7361, 109374, 48780, 4973, 1682, 48516, 7826, 94959, 318]",1
373,"[1278, 1197, 551, 2124, 1527, 39, 367, 457, 1265, 1682]",1
380,"[1235, 1278, 1213, 3418, 1944, 2412, 2427, 2183, 3668, 7151]",1
199,"[27619, 296, 318, 1197, 2571, 858, 356, 58559, 2959, 79132]",1
58,"[296, 318, 2959, 858, 2571, 356, 593, 1213, 58559, 48516]",1
68,"[1246, 1252, 912, 3095, 2710, 3360, 3421, 3461, 3462]",1
107,"[3006, 2268, 457, 48516, 50, 1617, 318]",1
134,"[3006, 457, 2268, 48516, 41997, 349, 6787, 1610]",1
176,"[3006, 300, 2289, 348, 515, 1719, 1834, 1635, 1183, 3176]",1
240,"[318, 296, 593, 356, 50, 1704, 2959, 3147, 2858, 2762]",1
284,"[296, 318, 1682, 7361, 109374, 48516, 46578, 80463, 6711, 1732]",1
349,"[3006, 1120, 2313, 1258, 176371, 2329, 593, 1206, 1997, 1682]",1
414,"[1732, 1682, 7361, 318, 296, 2959, 109374, 79132, 48780, 48516]",1
419,"[296, 318, 2959, 2571, 593, 7361, 1732, 1682, 48516, 109374]",1
428,"[778, 2289, 1719, 457, 1732, 1183, 50, 318]",1
468,"[527, 1246, 318, 1682, 2324, 27619, 5995, 3147, 7826, 109374]",1
18,"[457, 318, 296, 2571, 2959, 593, 79132, 58559, 858, 356]",1
136,"[1198, 4973, 1197, 7361, 109374, 94959, 7826, 89904, 59387, 180031]",1
191,"[6539, 1197, 1183, 539, 55820, 4720, 8533, 1732, 2762, 7361]",1
75,"[296, 48516, 318, 2959, 858, 58559, 7361, 79132, 2571, 48780]",1
77,"[1213, 48516, 296, 858, 2329, 428, 318, 1089, 1466]",1
96,"[296, 7361, 318, 6711, 1197, 2858, 109374, 1682, 7826, 96821]",1
124,"[296, 858, 2959, 48516, 1089, 55820, 318, 1206, 593, 50]",1
171,"[296, 7361, 109374, 318, 4973, 858, 1682, 593, 1258, 2959]",1
266,"[296, 318, 2959, 858, 79132, 58559, 2571, 593, 1213, 48516]",1
308,"[1213, 2289, 2076, 2291, 6711, 46578, 7361, 4979, 4973]",1
364,"[1213, 48516, 858, 55765, 428, 2194, 1466, 80489]",1
400,"[48516, 318, 55820, 858, 50, 2268, 48780, 148626, 80463]",1
416,"[1213, 48516, 4144, 123, 858, 296, 6711, 318, 176371]",1
422,"[296, 318, 1213, 1732, 1089, 7361, 2858, 1682, 6711]",1
441,"[48516, 6870, 80489, 2268, 858, 318, 50, 628]",1
475,"[296, 7361, 593, 899, 7826, 7451, 1997, 6711, 2572, 1007]",1
514,"[296, 318, 1682, 109374, 7361, 1732, 2959, 48516, 79132, 80463]",1
551,"[296, 7361, 109374, 318, 4973, 2959, 1682, 48516, 46578, 6711]",1
570,"[296, 318, 2959, 58559, 79132, 2571, 1213, 48516, 109374, 7361]",1
4,"[318, 7361, 109374, 4973, 1682, 48780, 6711, 1197, 48516, 96821]",1
17,"[7579, 261, 39, 7361, 5103, 141, 531, 4973, 551, 1197]",1
37,"[7579, 2572, 4246, 80549, 1197, 97921, 104374, 7361]",1
119,"[7579, 2762, 7361, 109374, 1197, 6711, 318, 1682, 551, 58559]",1
152,"[7579, 515, 909, 4973, 7361, 1258, 109374, 5618, 1197, 1682]",1
227,"[7579, 2599, 159858, 86295, 1729, 6378, 318, 593, 7361, 3147]",1
262,"[7579, 8533, 55052, 7361, 1183, 39183, 64622, 78039, 412, 215]",1
309,"[7579, 2858, 2762, 1258, 1198, 593, 1968, 1707, 8533, 1197]",1
339,"[7361, 46578, 1197, 6711, 4973, 1682, 109374, 94959, 96821, 86882]",1
357,"[1197, 7361, 109374, 94959, 4973, 46578, 1682, 6711, 96821, 86882]",1
413,"[7579, 39, 457, 539, 2763, 69406, 2803, 497, 3257]",1
477,"[42, 170, 352, 479, 1009, 3175, 3177, 4146, 8495]",1
513,"[7579, 6870, 176371, 515, 48516, 2456, 55052, 457, 7361, 593]",1
542,"[7579, 7147, 39, 1271, 2161, 4973, 261, 1197, 7361]",1
558,"[7579, 3249, 4308, 4720, 5991, 55052, 3176, 164909, 17]",1
568,"[7579, 55052, 515, 613, 51834, 261, 71327, 412]",1
583,"[7579, 1013, 261, 7826, 50601, 8533, 837, 55052, 1197, 73290]",1
599,"[7361, 6218, 314, 457, 2427, 17, 356, 1408, 1197, 1682]",1
602,"[7361, 1682, 6711, 46578, 109374, 94959, 4979, 4720, 2762, 93840]",1
609,"[7579, 595, 7826, 4973, 109374, 46578, 7361, 1197, 44555, 94959]",1
81,"[296, 109374, 46578, 1197, 7361, 94959, 1682, 7826, 4979]",1
130,"[296, 1625, 1089, 50, 555, 457, 288, 1729, 3020, 2762]",1
198,"[296, 1682, 1527, 318, 7361, 2959, 2571, 109374, 1197]",1
248,"[296, 109374, 1732, 318, 79132, 7361, 48516, 1682, 2959, 48780]",1
486,"[296, 318, 1682, 1197, 7361, 109374, 27619, 1732, 4973, 551]",1
507,"[296, 109374, 4973, 1732, 46578, 86882, 1197, 8874, 6711, 1682]",1
561,"[296, 318, 2959, 2571, 593, 1682, 7361, 79132, 109374, 48780]",1
56,"[231, 69, 367, 1753, 54648, 45728, 2700, 145, 555]",1
274,"[1682, 7361, 109374, 48780, 7826, 94959, 46578, 116797, 96821, 89904]",1
484,"[1682, 7361, 109374, 1197, 318, 48780, 4973, 48516, 80463, 27619]",1
99,"[296, 1732, 4011, 2542, 555, 38061, 57669, 18, 158238]",1
304,"[296, 318, 2571, 7361, 2959, 109374, 79132, 80463, 48516, 4973]",1
340,"[50, 16, 110, 32, 318, 296, 593, 457]",1
376,"[296, 1527, 1732, 1682, 367, 380, 39, 94777, 318, 27619]",1
386,"[1370, 296, 457, 380, 50, 1089, 1918, 318]",1
446,"[296, 318, 2959, 2571, 593, 1682, 457, 2762, 1704, 50]",1
524,"[296, 318, 2959, 858, 7361, 48516, 79132, 109374, 164909, 80463]",1
8,"[296, 1682, 318, 50, 2571, 2858, 2959, 593, 2762, 3147]",1
34,"[296, 1732, 4979, 46578, 38061, 57669, 61323, 158238, 141]",1
41,"[296, 318, 858, 58559, 79132, 2571, 2959, 593, 48516, 48780]",1
70,"[296, 318, 2959, 858, 58559, 79132, 2571, 1213, 48516, 80463]",1
84,"[457, 1197, 1682, 318, 7361, 2762, 109374, 3147]",1
105,"[296, 1682, 7361, 318, 109374, 48780, 48516, 79132, 58559, 2959]",1
187,"[296, 7361, 1732, 318, 79132, 109374, 6711, 2959, 1682, 48516]",1
224,"[296, 1732, 1682, 2542, 50, 318, 1527, 2858, 2571]",1
251,"[296, 48516, 68157, 4011, 318, 2542, 55820, 858, 1089]",1
300,"[296, 367, 899, 4954, 951, 1732, 910, 2542, 89904, 38061]",1
301,"[296, 4973, 109374, 1197, 46578, 8961, 86882, 1732, 7826, 94959]",1
347,"[296, 318, 1732, 1682, 2959, 50, 2858, 2762, 2571]",1
423,"[296, 1732, 48516, 176371, 4011, 1527, 50, 5445, 2542]",1
463,"[296, 1732, 1682, 1197, 50, 7361, 109374, 4973, 7826, 94959]",1
470,"[296, 318, 50, 356, 2571, 2959, 593, 2762, 1704, 3147]",1
474,"[296, 356, 293, 27619, 1653, 2395, 1183, 1682, 2966, 7361]",1
495,"[296, 318, 593, 1732, 1682, 48516, 7361, 2959, 109374, 79132]",1
567,"[296, 1732, 318, 2959, 48516, 79132, 58559, 2571, 593, 858]",1
93,"[1748, 1625, 3176, 4720, 48780, 4226, 2762, 8950, 27773]",1
19,"[24, 156, 322, 373, 728, 1034, 1423, 1542]",1
316,[],1
330,"[296, 318, 2959, 2571, 593, 7361, 48516, 79132, 48780, 109374]",1
379,"[457, 17, 44759, 1183, 2803, 380, 412, 349, 454]",1
432,"[1197, 318, 1682, 7361, 109374, 48780, 7826, 96821, 94959, 46578]",1
100,"[296, 7361, 6711, 1682, 2858, 109374, 46578, 4979, 94959]",1
165,"[296, 7361, 318, 109374, 858, 4973, 48516, 1682, 48780, 1197]",1
26,"[318, 296, 356, 58559, 2959, 109374, 1682, 7361, 48780, 1732]",1
54,"[318, 356, 296, 3147, 7361, 2959, 1682, 2858, 109374, 96821]",1
79,"[318, 296, 2959, 858, 356, 58559, 109374, 7361, 1682, 1197]",1
156,"[515, 1183, 3176, 7361, 109374, 94959, 48780, 7826, 180031, 133771]",1
170,"[296, 318, 2959, 858, 58559, 79132, 48516, 2329, 50, 1213]",1
577,"[318, 296, 7361, 109374, 1682, 48780, 1197, 48516, 4973, 50]",1
592,"[318, 356, 296, 27619, 2571, 593, 1682, 3147, 78499, 2959]",1
21,"[1197, 7361, 1682, 46578, 4973, 109374, 94959, 96821, 7826, 86882]",1
126,"[261, 1197, 531, 17, 26528, 3255, 1013, 837, 7579]",1
141,"[261, 1197, 7361, 109374, 94959, 4973, 96821, 7826, 86882, 1682]",1
159,"[5103, 50601, 1197, 2005, 837, 531, 2161, 261, 2761, 7147]",1
193,"[1259, 46578, 7361, 1968, 94959, 1682, 96821, 318, 109374]",1
307,"[7361, 6711, 4979, 4973, 46578, 1682, 8784, 109374, 94959]",1
359,"[1259, 48394, 2762, 4720, 1197, 318, 457, 2710, 3147, 112515]",1
489,"[1197, 1682, 5103, 2761, 318, 7361, 2005, 27619, 2571, 356]",1
503,"[5103, 1527, 531, 261, 2761, 1197, 1682, 2082, 551, 318]",1
580,"[1197, 46578, 7361, 109374, 94959, 1682, 4973, 96821, 86882, 97921]",1
94,"[7579, 89470, 69406, 17, 134130, 6942, 45720, 7361, 8533, 46578]",1
109,"[17, 531, 1527, 1639, 1682, 2006, 141, 1183, 457, 1197]",1
132,"[7361, 6711, 1682, 4973, 109374, 48780, 7826, 46578, 96821, 94959]",1
179,"[7579, 48516, 7361, 318, 5995, 109374, 3147]",1
318,"[7361, 48780, 6711, 109374, 4973, 7826, 1682, 46578, 180031]",1
411,"[17, 1285, 1611, 39, 7179, 4720, 2502, 531, 1672, 509]",1
