userId,itemIds,runNumber
78,"[6377, 1197, 8961, 367, 5103, 2, 2420, 673, 54648, 246]",1
82,"[8961, 2396, 45728, 457, 1639, 7147, 44759, 784, 7381]",1
121,"[6377, 8961, 8360, 4886, 1707, 500, 27619, 2, 837, 367]",1
144,"[27619, 5103, 1197, 2, 500, 2005, 837, 2421]",1
186,"[6377, 17, 2396, 77455, 2571, 3844, 5772, 368, 296, 1013]",1
232,"[8961, 7361, 296, 318, 109374, 48780, 1682, 48516, 58559, 79132]",1
234,"[8360, 500, 1707, 457, 1517, 3751, 1912, 904, 148888]",1
239,"[8961, 1307, 318, 296, 58559, 7361, 109374, 79132, 1197, 2571]",1
283,"[6377, 8533, 2291, 4886, 539, 7147, 27619, 597, 551, 6942]",1
322,"[8360, 3554, 5103, 86882, 1197, 8961, 39, 2005, 45720, 367]",1
323,"[6377, 27619, 8360, 1197, 318, 7361, 2762, 86882, 109374, 110]",1
372,"[27619, 8360, 1197, 8961, 109374, 1682, 318, 7361, 1732, 4973]",1
378,"[6377, 8360, 8961, 4886, 1197, 69406, 39, 2791, 5541]",1
451,"[6377, 27619, 4886, 134853, 318, 356, 3147, 527]",1
462,"[8961, 7579, 1307, 2762, 296, 4973, 318, 1197, 858, 7361]",1
476,"[6377, 531, 380, 368, 805, 783, 1197, 457, 2006, 3147]",1
492,"[27619, 318, 109374, 7361, 4973, 1682, 1197, 96821, 46578, 7826]",1
525,"[8961, 3948, 48516, 3578, 2502, 2762, 318, 1197, 2571, 296]",1
533,"[6377, 8360, 27619, 4886, 2081, 588, 595, 8961, 50872]",1
51,"[724, 176371, 904, 2395, 2902, 2924, 2976, 44, 168]",1
116,"[2617, 1682, 1183, 2006, 457, 531, 318, 27619, 2803, 783]",1
288,"[4124, 2932, 1175, 1199, 1103, 3705, 20, 76, 159]",1
24,"[56587, 3104, 6659, 1015, 141, 969, 1028, 2160, 2761, 1270]",1
150,"[3507, 1784, 69406, 7149, 56587, 73015, 155743, 49286, 2424, 539]",1
425,"[318, 7361, 109374, 1197, 1682, 97921, 96821, 46578, 6711, 86882]",1
480,"[94, 101, 72, 3, 11, 21, 70, 195, 237, 238]",1
521,"[94070, 8533, 109374, 1183, 56587, 6711, 69481, 91077, 64622, 2427]",1
559,"[56587, 109374, 46578, 86882, 318, 7361, 1197, 4973, 96821, 7826]",1
573,"[2124, 170401, 1204, 2902, 1066, 238, 75, 220]",1
133,"[2156, 3554, 72737, 2739, 62553, 47099, 88810, 8533, 27619, 1477]",1
177,"[178, 233, 904, 910, 916, 933, 1209, 1283, 2739]",1
286,"[94070, 46578, 8533, 4720, 6711, 7361, 4979, 78039, 2762, 4973]",1
332,"[4, 63, 66, 108, 166, 189, 205, 224, 445, 464]",1
381,"[4, 16, 23, 39, 100, 322, 852, 2316, 3328]",1
387,"[17, 170, 45728, 334, 351, 1046, 1095, 3296, 3499]",1
402,"[2156, 367, 122, 1485, 1477, 788, 1777, 470, 1569, 3263]",1
404,"[2156, 165, 1604, 1094, 531, 44759, 4, 2803, 3257, 457]",1
453,"[1678, 1197, 3554, 5103, 39, 531, 457, 1013, 8533, 47099]",1
464,"[2739, 3844, 5103, 261, 1183, 1197, 531, 266, 2420, 1682]",1
534,"[3844, 1197, 46578, 7361, 88810, 94959, 97921, 111921, 164909]",1
588,"[2739, 122, 3006, 1393, 1912, 2803, 1449, 11, 1729, 141]",1
6,"[11, 292, 176371, 552, 595, 596, 599, 661, 674, 694]",1
28,"[357, 21, 904, 94777, 1103, 1245, 2313, 2321, 2351, 2372]",1
46,"[1013, 2858, 39, 1777, 2908, 1895, 1682, 1719, 2572, 141]",1
64,"[36, 261, 493, 780, 837, 1370, 1203, 1209, 2146, 3196]",1
103,"[1197, 141, 109374, 7361, 46578, 86882, 4979, 6711, 4973]",1
160,"[39, 36, 16, 26, 198, 479, 1187, 369, 1409]",1
215,"[1197, 6711, 46578, 7361, 1682, 97921, 86882, 96821, 4973]",1
220,"[141, 2268, 1213, 60766, 2502, 2072, 3499, 551, 3897, 1597]",1
391,"[2395, 62, 20, 43, 85, 316, 348, 6158, 1031]",1
418,"[1197, 4973, 46578, 3897, 899, 6711, 86882, 109374, 7361, 89904]",1
435,"[4700, 56152, 1013, 837, 595, 1035, 2081, 1028, 1197, 8360]",1
437,"[357, 515, 1265, 1183, 94, 2289, 531, 708, 36, 551]",1
555,"[215, 224, 1544, 1573, 1619, 1686, 2996, 6603, 7085]",1
562,"[6711, 4973, 7361, 109374, 86882, 89904, 180031, 94959, 164909]",1
587,"[500, 367, 2, 1485, 2124, 1707, 457, 94777, 344, 5804]",1
313,"[48516, 318, 296, 858, 2959, 58559, 79132, 593, 2571]",1
361,"[48516, 1912, 555, 3176, 7361, 50, 79132, 6711, 109374, 4878]",1
362,"[58559, 7826, 7361, 109374, 1682, 48780, 4973, 79132, 46578, 8533]",1
438,"[48516, 1197, 318, 58559, 79132, 296, 593, 2571, 2959, 858]",1
469,"[48516, 55765, 1197, 318, 858, 79132, 58559, 296, 2571, 2959]",1
45,"[5103, 1197, 531, 1682, 318, 109374, 7361, 46578, 94959, 96821]",1
202,"[5103, 837, 318, 1265, 1682, 1197, 457, 7826, 46578, 109374]",1
235,"[5103, 1912, 2890, 5893, 340, 514, 1047, 1672, 1120]",1
279,"[531, 1183, 457, 2006, 595, 141, 906, 36, 1225]",1
368,"[5103, 457, 837, 1625, 1060, 1682, 141, 318, 50, 2858]",1
395,"[5103, 3006, 457, 1197, 141, 1321, 1408, 2082, 2194, 2124]",1
494,"[5103, 2005, 2052, 4135, 7045, 531, 2161, 2, 2124, 837]",1
498,"[5103, 231, 2268, 2082, 1485, 36, 2, 367, 110, 837]",1
536,"[5103, 457, 2082, 2803, 5076, 185, 438, 508, 2310, 350]",1
586,"[5103, 1197, 2005, 531, 457, 1013, 6378, 1035, 1682, 318]",1
603,"[316, 1095, 2076, 1103, 1441, 2401, 61246, 6020, 5294]",1
608,"[41, 53, 76, 79, 181, 324, 379, 539, 736, 1517]",1
140,"[292, 261, 337, 837, 1015, 1022, 1103, 1244]",1
264,"[1370, 1608, 380, 3868, 8641, 1288, 1682, 2997, 7361]",1
1,"[457, 2762, 318, 296, 2959, 593, 2858, 2571, 4226, 50]",1
294,"[457, 1183, 2763, 318, 1197, 48516, 109374, 48780, 8533, 58559]",1
606,"[457, 2762, 318, 79132, 48780, 48516, 2959, 593, 4226, 50]",1
42,"[11, 32, 270, 292, 474, 1500, 1733, 1875, 1876, 2577]",1
256,"[539, 380, 39, 898, 609, 8772, 1201, 2700, 44759, 1010]",1
590,"[11, 21, 266, 147, 421, 661, 1061]",1
217,"[1278, 3249, 1246, 69, 3481, 3578, 1639, 1060, 457, 1197]",1
353,"[1278, 6787, 457, 293, 2289, 2571, 3917, 5902, 110, 296]",1
365,"[1278, 1213, 457, 2791, 1225, 96488, 908, 1625, 1188, 176371]",1
373,"[1278, 48394, 1013, 2770, 1544, 7361, 2124, 3175, 1197, 2716]",1
380,"[1278, 1235, 2412, 3418, 3549, 3668, 5657, 6970, 7151, 7184]",1
199,"[27619, 296, 8533, 69122, 3578, 135436, 318, 58559, 111921, 79132]",1
58,"[318, 2329, 3147, 2959, 1682, 296, 48516, 48780, 50, 4226]",1
68,"[1246, 1252, 912, 1235, 492, 372, 26, 230, 3095]",1
107,"[3006, 457, 2268, 50, 1617, 349, 48516, 2803]",1
134,"[6787, 41997, 3006, 48516, 51540, 40583, 2268, 3006, 36517]",1
176,"[3006, 300, 2268, 80463, 89804, 1747, 64620, 55276, 6787, 2289]",1
240,"[3006, 2268, 2289, 457, 318, 50, 1704, 1682, 2858]",1
284,"[3006, 262, 1663, 296, 4641, 1673, 2942, 2858, 4979, 1088]",1
349,"[3006, 6787, 1120, 1997, 1590, 170401, 2456, 1350, 1748]",1
414,"[3006, 3176, 2858, 48516, 7361, 48780, 4226, 109374, 112552]",1
419,"[3006, 69, 141, 198, 1179, 1291, 1343, 2478]",1
428,"[2289, 1912, 1245, 1834, 1635, 5893, 2912, 2391, 1179]",1
468,"[527, 1246, 318, 2324, 5995, 7826, 64957, 81845, 1682, 109374]",1
18,"[1201, 170401, 1215, 1253, 1321, 1371, 1374, 589, 15]",1
136,"[6539, 1639, 262, 5902, 3159, 266, 4144, 4973, 1197]",1
191,"[6539, 1197, 1183, 539, 55820, 4720, 515, 3494, 45668, 593]",1
75,"[1213, 457, 318, 7361, 48516, 50, 2858, 48780, 176371]",1
77,"[1213, 48516, 858, 296, 2329, 318, 2959, 8533, 7361]",1
96,"[1213, 6711, 7361, 1197, 1265, 48516, 86882, 109374, 412, 7178]",1
124,"[296, 48516, 55820, 858, 1206, 1089, 318, 1213, 593, 2959]",1
171,"[1213, 7579, 4973, 265, 1515, 2456, 858, 357, 1258]",1
266,"[110, 457, 2762, 50, 318, 593, 48516, 48780, 79132]",1
308,"[1213, 2289, 2076, 551, 4361, 1611, 2858, 2291, 6711, 5673]",1
364,"[1213, 858, 48516, 55765, 428, 1466, 2194, 431, 86628]",1
400,"[858, 48516, 55820, 80489, 2268, 318, 48780, 50, 55765]",1
416,"[1213, 48516, 858, 318, 296, 79132, 80463, 7361, 6711]",1
422,"[296, 1213, 1089, 2502, 8376, 69122, 2858, 2959, 318]",1
441,"[1213, 48516, 6870, 80489, 2268, 67255, 48516, 3006, 628]",1
475,"[1213, 8533, 3499, 899, 135436, 7451, 1997, 8981, 4718, 78499]",1
514,"[296, 1682, 109374, 318, 1732, 7361, 2959, 79132, 48516]",1
551,"[296, 7579, 500, 1307, 78499, 2858, 318, 7361, 1704, 46578]",1
570,"[1213, 296, 1060, 555, 48516, 1089, 2542, 4011, 50]",1
4,"[515, 4973, 6711, 7361, 46578, 109374, 86882, 1682, 4979]",1
17,"[7579, 261, 69, 97921, 1015, 231, 2762, 555, 7361, 1197]",1
37,"[7579, 4246, 2572, 8533, 6942, 7361, 97921, 104374, 111921]",1
119,"[7579, 4720, 7361, 39, 899, 555, 357, 1732, 1961, 97921]",1
152,"[7579, 5772, 910, 4873, 4720, 7361, 6711, 951, 52885, 93840]",1
