userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 112852, 152081, 367, 108932, 2005, 115617]",1
82,"[8360, 27619, 1197, 69122, 79132, 109374, 1682, 318, 58559, 356]",1
121,"[6377, 8360, 8961, 1707, 500, 27619, 837, 1197, 2]",1
144,"[6377, 2005, 1259, 1197, 8961, 318, 539, 2420, 500]",1
186,"[6377, 7579, 2396, 34072, 2571, 3844, 4979, 3671, 296, 1013]",1
232,"[78499, 17, 21, 36, 116, 235, 741, 1206, 1645, 2297]",1
234,"[6377, 500, 1707, 457, 1517, 8360, 555, 904, 148888]",1
239,"[3114, 1197, 318, 1307, 457, 109374, 1682, 45720, 58559, 79132]",1
283,"[6377, 4886, 8360, 1197, 8533, 54259, 7147, 367, 2124]",1
322,"[8360, 500, 1197, 50872, 8961, 6942, 2005, 367, 1013, 1707]",1
323,"[6377, 318, 1307, 457, 527, 110, 1197, 858, 27619]",1
372,"[8360, 27619, 1197, 6377, 8961, 356, 69122, 2153, 8533, 318]",1
378,"[4886, 8360, 8961, 6377, 1197, 103335, 108932, 50872, 152081]",1
451,"[6377, 134853, 27619, 1197, 318, 356, 3147, 4973]",1
462,"[78499, 28, 356, 300, 82, 1028, 1202, 1347, 2529]",1
476,"[6377, 1197, 2005, 457, 1270, 2161, 367, 2762, 3494, 2268]",1
492,"[8360, 318, 1197, 27619, 356, 4993, 1682, 164909, 109374]",1
525,"[8360, 1197, 8961, 4954, 318, 109374, 58559, 69122, 79132, 27619]",1
533,"[4886, 6377, 8360, 8961, 50872, 134853, 152081]",1
51,"[1198, 1197, 58559, 2571, 318, 112852, 4993, 79132, 2153, 7178]",1
116,"[1682, 318, 480, 27619, 457, 356, 2571, 3147, 1197]",1
288,"[2005, 1197, 1198, 1270, 318, 1682, 109374, 112852, 7826, 92259]",1
24,"[1197, 86882, 4954, 2005, 8874, 1035, 1270, 109374, 1097, 69122]",1
150,"[3507, 1784, 69406, 7149, 3450, 56587, 539, 155743, 140110, 2424]",1
425,"[3450, 4, 356, 235, 349, 741, 605, 1147, 33493]",1
480,"[1197, 1265, 86882, 97921, 109374, 46578, 69406, 69122, 88163, 8874]",1
521,"[56587, 1784, 94070, 109374, 6711, 81845, 46578, 318, 69481, 97921]",1
559,"[109374, 97921, 46578, 86882, 318, 4973, 7361, 1197, 1682, 96821]",1
573,"[3450, 2384, 6158, 1204, 2902, 1343, 1920, 2124, 2991, 3153]",1
133,"[94070, 72737, 1477, 135436, 1678, 6377, 3554, 50872, 88810, 78499]",1
177,"[4, 101, 178, 233, 238, 464, 474, 904, 910]",1
286,"[830, 724, 1784, 94, 1485, 1179, 2908, 1183, 708, 1719]",1
332,"[1197, 39, 94777, 318, 109374, 1682, 27619, 1732, 7361, 8961]",1
381,"[8533, 48516, 97921, 79132, 109374, 318, 7361, 48780, 164909, 58559]",1
387,"[6942, 4954, 8533, 318, 97921, 109374, 164909, 48516, 7361, 1197]",1
402,"[4069, 4246, 4447, 69406, 88163, 2572, 45720, 6155, 6942]",1
404,"[3257, 2803, 457, 339, 165, 318, 539, 454, 380, 105]",1
453,"[4700, 6942, 1013, 4447, 69406, 2572, 4246, 45720, 39, 7451]",1
