userId,itemIds,runNumber
78,"[318, 1197, 7361, 109374, 94959, 48780, 4973, 1682, 7826, 59387]",1
82,"[318, 296, 7361, 109374, 162414, 80463, 133771, 96829, 44555, 4973]",1
121,"[27619, 318, 1197, 1682, 2761, 7361, 109374, 7826, 94959, 4973]",1
144,"[318, 296, 109374, 7361, 162414, 80463, 1197, 4973, 1682, 7826]",1
186,"[318, 79132, 7361, 109374, 162414, 48780, 4973, 7826, 44555, 59387]",1
232,"[78499, 17, 235, 1206, 1645, 1262, 2288, 2297, 3176]",1
234,"[3114, 8961, 141, 1197, 7826, 86882, 109374, 94959, 318, 7361]",1
239,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 7361]",1
283,"[318, 109374, 7361, 1197, 162414, 1682, 4973, 48780, 46578, 7826]",1
322,"[27619, 1477, 2, 296, 1682, 1707, 1370, 356]",1
323,"[27619, 318, 7361, 296, 109374, 1682, 48516, 4973, 80463, 1197]",1
372,"[27619, 1197, 356, 318, 1035, 1732, 2571, 1246, 4973, 3114]",1
378,"[27619, 1307, 2791, 1197, 6377, 1265, 8961, 39, 1682]",1
451,"[27619, 318, 1197, 7361, 109374, 4973, 1682, 48394, 80463, 162414]",1
462,"[1197, 7361, 109374, 318, 79132, 4973, 48780, 1682, 80463, 7826]",1
476,"[27619, 5618, 1370, 3671, 4995, 1197, 457, 5103, 1682, 318]",1
492,"[318, 7361, 296, 4973, 109374, 80463, 1682, 1197, 92259]",1
525,"[318, 296, 58559, 109374, 79132, 80463, 7361, 2571, 48516, 4973]",1
533,"[318, 296, 27619, 7361, 109374, 80463, 162414, 1197, 1732, 4973]",1
51,"[318, 58559, 7361, 109374, 48780, 4973, 1682, 48394, 80463, 1197]",1
116,"[318, 296, 2571, 7361, 109374, 162414, 80463, 112552, 133771]",1
288,"[1197, 4954, 2324, 2571, 46578, 1682, 6863, 7361, 648, 318]",1
24,"[318, 296, 1197, 58559, 7361, 109374, 593, 4973, 1682, 27619]",1
150,"[56587, 97921, 1784, 69406, 104374, 3072, 6711, 1307, 7361, 49286]",1
425,"[318, 296, 858, 58559, 79132, 2571, 2959, 593, 80463, 7361]",1
480,"[2395, 2303, 1179, 2313, 1046, 11, 431, 1126]",1
521,"[356, 318, 2028, 7361, 4973, 5995, 109374, 69481, 6711, 46578]",1
559,"[318, 296, 7361, 109374, 58559, 4973, 2959, 1682, 79132, 1197]",1
573,"[318, 858, 296, 58559, 79132, 2571, 2959, 80463, 7361, 109374]",1
133,"[47099, 1197, 7361, 318, 4973, 109374, 162414, 7826, 46578, 96821]",1
177,"[904, 910, 916, 933, 1283, 2599, 2739, 4994, 3355]",1
286,"[318, 296, 7361, 109374, 48780, 4973, 1682, 1197, 6711, 1732]",1
332,"[296, 318, 58559, 7361, 109374, 79132, 80463, 4973, 2571, 1682]",1
381,"[318, 7361, 296, 109374, 48394, 6711, 1197, 50, 7178]",1
387,"[17, 45728, 334, 1095, 1103, 1183, 3296, 4144]",1
402,"[47099, 7361, 109374, 6711, 318, 4973, 48780, 46578, 1682, 94959]",1
404,"[318, 296, 858, 7361, 109374, 48516, 4973, 27773, 1197, 162414]",1
453,"[47099, 1197, 7361, 46578, 318, 4973, 1682, 109374, 88810, 86882]",1
464,"[318, 1197, 7361, 109374, 162414, 4973, 27773, 44555, 59387, 71033]",1
534,"[318, 858, 296, 58559, 79132, 109374, 7361, 2959, 2571, 80463]",1
588,"[356, 318, 1682, 296, 7361, 2858, 1732, 3554, 50]",1
6,"[318, 858, 296, 58559, 79132, 109374, 7361, 80463, 2571, 4973]",1
28,"[296, 318, 858, 58559, 79132, 109374, 7361, 2959, 2571, 356]",1
46,"[318, 296, 7361, 109374, 80463, 162414, 1732, 4973, 6867]",1
64,"[318, 7361, 296, 4973, 1197, 858, 46578, 27619, 593, 356]",1
103,"[318, 296, 858, 356, 58559, 79132, 2571, 593, 7361, 4973]",1
160,"[318, 296, 858, 7361, 2959, 109374, 79132, 80463, 58559, 4973]",1
215,"[1197, 7361, 318, 4973, 109374, 79132, 6711, 1682, 96821, 46578]",1
220,"[318, 296, 109374, 162414, 133771, 80463, 7361, 48780, 4973, 27773]",1
391,"[1197, 27619, 318, 296, 356, 2571, 7361, 109374, 164909, 79132]",1
418,"[1197, 4973, 7361, 109374, 162414, 899, 318, 44555, 1732, 48394]",1
435,"[1197, 27619, 318, 7361, 109374, 4973, 1682, 7826, 94959, 46578]",1
437,"[1197, 7361, 46578, 4973, 6711, 109374, 86882, 94959, 97921, 1682]",1
555,"[318, 296, 858, 356, 58559, 79132, 2571, 2959, 80463, 7361]",1
562,"[1197, 4973, 7361, 109374, 318, 79132, 7178, 92259, 48780, 94959]",1
587,"[69122, 58559, 1197, 54648, 46578, 4954, 71535, 109374, 5418, 6863]",1
313,"[318, 296, 858, 58559, 7361, 2959, 2571, 1704, 80463, 79132]",1
361,"[318, 296, 7361, 109374, 162414, 44555, 59387, 4973, 27773, 71033]",1
362,"[58559, 7826, 6942, 1073, 46578, 8533, 2346, 112556, 7361, 109374]",1
438,"[318, 296, 858, 58559, 79132, 2959, 2571, 356, 593, 80463]",1
469,"[58559, 296, 318, 79132, 109374, 2571, 7361, 80463, 1197]",1
45,"[1197, 46578, 318, 7361, 109374, 48780, 4973, 79132, 1682, 92259]",1
202,"[1197, 318, 109374, 7361, 58559, 4973, 79132, 48780, 1682, 92259]",1
235,"[318, 296, 1197, 50, 4973, 1682, 7361, 27773, 109374]",1
279,"[318, 858, 79132, 109374, 7361, 58559, 4973, 296, 80463, 48780]",1
368,"[318, 1197, 1682, 296, 7361, 109374, 48516, 4973, 79132, 80463]",1
395,"[318, 1197, 48516, 7361, 109374, 48394, 162414, 48780, 4973, 27773]",1
494,"[318, 296, 1197, 593, 7361, 109374, 1682, 4973, 7826]",1
498,"[356, 318, 296, 1197, 7361, 109374, 1682, 4973, 48780, 162414]",1
536,"[2005, 380, 508, 5103, 457, 296, 36, 2, 231]",1
586,"[1197, 7361, 5418, 61132, 1234, 78499, 5378, 380, 109374]",1
603,"[318, 296, 2571, 858, 356, 2959, 58559, 79132, 593, 7361]",1
608,"[318, 858, 356, 58559, 79132, 296, 2571, 2959, 593, 7361]",1
140,"[1370, 318, 2571, 296, 356, 1197, 858, 7361, 58559, 79132]",1
264,"[1370, 1608, 1682, 2243, 1625, 457, 2997, 3006, 1653, 2289]",1
1,"[318, 296, 2571, 2959, 356, 593, 27619, 1704, 1682, 50]",1
294,"[296, 7361, 318, 4973, 27773, 109374, 44555, 1197, 162414, 71033]",1
606,"[10, 22, 64, 266, 293, 38038, 1175, 1246, 5690]",1
42,"[7361, 6711, 109374, 4973, 1682, 46578, 48780, 94959, 1197]",1
256,"[318, 296, 58559, 7361, 109374, 48516, 4973, 79132, 1682, 1197]",1
590,"[356, 318, 58559, 7361, 109374, 1682, 79132, 4973, 48780, 1197]",1
217,"[318, 296, 858, 58559, 356, 2959, 2571, 79132, 80463, 7361]",1
353,"[1278, 6787, 293, 296, 1240, 2762, 457, 1197, 318]",1
365,"[1278, 1213, 457, 4973, 1197, 296, 48394, 318, 5618]",1
373,"[1278, 48394, 1197, 5902, 7361, 2716, 109374, 1682, 2005]",1
380,"[12, 27, 40, 45, 74, 76, 92, 199, 602, 1235]",1
199,"[27619, 858, 7361, 1197, 3578, 1015, 527, 78499, 1682, 2571]",1
58,"[318, 296, 356, 858, 2959, 2571, 7361, 48516, 4973, 109374]",1
68,"[26, 60, 148, 171, 205, 307, 1235, 1914, 3095]",1
107,"[318, 296, 48516, 7361, 27773, 109374, 44555, 71033, 59387]",1
134,"[318, 296, 858, 2959, 7361, 27773, 109374, 162414, 44555, 59387]",1
176,"[318, 296, 7361, 109374, 162414, 80463, 4973, 44555, 96829, 71033]",1
240,"[318, 296, 858, 58559, 7361, 2959, 109374, 4973, 48516, 1682]",1
284,"[318, 296, 7361, 109374, 48780, 162414, 4973, 27773, 1682, 59387]",1
349,"[318, 296, 858, 7361, 27773, 109374, 48516, 4973, 48780]",1
414,"[116, 147, 198, 1040]",1
419,"[296, 318, 58559, 7361, 2959, 109374, 79132, 2571, 80463, 1682]",1
428,"[318, 296, 858, 79132, 58559, 2959, 2571, 356, 593, 80463]",1
468,"[318, 7826, 1682, 109374, 48780, 7361, 1197, 116797, 94959, 44555]",1
18,"[1198, 1197, 2571, 109374, 296, 318, 4973, 2959, 1258, 5378]",1
136,"[1198, 215, 1197, 837, 6711, 3159, 110, 4144, 4973, 109374]",1
191,"[318, 7361, 109374, 162414, 48780, 4973, 44555, 59387, 71033, 92259]",1
75,"[318, 296, 58559, 7361, 27773, 109374, 162414, 44555, 4973, 96829]",1
77,"[858, 296, 1213, 48516, 78039, 2858, 428, 1673]",1
96,"[296, 7361, 318, 4973, 1197, 2959, 109374, 1682, 7826, 96821]",1
124,"[296, 318, 27773, 7361, 109374, 44555, 162414, 96829, 71033, 59387]",1
171,"[318, 296, 7361, 109374, 44555, 162414, 133771, 27773, 4973, 71033]",1
266,"[318, 296, 7361, 109374, 162414, 80463, 133771, 44555, 4973]",1
308,"[296, 7361, 318, 4973, 2959, 6711, 109374, 162414, 1682]",1
364,"[1213, 48516, 428, 1234, 55118, 2726, 1245, 5198]",1
400,"[858, 318, 55820, 48516, 109374, 2858, 48780, 80463, 162414]",1
416,"[296, 7361, 318, 4973, 27773, 109374, 44555, 162414, 71033, 59387]",1
422,"[296, 318, 1732, 7361, 109374, 48516, 6711, 46578, 4973, 1682]",1
441,"[318, 2959, 858, 7361, 27773, 48780, 48516, 162414, 109374, 112552]",1
475,"[318, 7361, 109374, 162414, 1197, 27773, 4973, 44555, 59387, 96829]",1
514,"[296, 318, 858, 58559, 79132, 109374, 7361, 2959, 2571, 4973]",1
551,"[296, 7361, 109374, 318, 162414, 133771, 4973, 27773, 44555]",1
