userId,itemIds,runNumber
78,"[59387, 4973, 7826, 109374, 7361, 6773, 59387, 133771, 48082]",1
82,"[59387, 7361, 71033, 44555, 96829, 133771, 89759, 6773]",1
121,"[2761, 4973, 7361, 59387, 7826, 46578, 48780, 109374, 74553]",1
144,"[314, 6385, 59387, 94959, 4973, 46578, 6867, 6773, 48082, 109374]",1
186,"[59387, 4973, 7361, 7826, 109374, 133771, 180031, 46578]",1
232,"[59387, 7361, 7826, 109374, 79357, 133771, 115713, 180031]",1
234,"[59387, 4973, 7826, 46578, 7361, 109374, 48780, 133771, 59387]",1
239,"[59387, 7361, 7826, 109374, 112552, 115713, 133771, 180031]",1
283,"[4973, 7361, 48394, 94959, 109374, 7826, 46578, 7147, 59387]",1
322,"[59387, 4973, 94959, 46578, 7361, 109374, 7826, 46976, 55280, 95088]",1
323,"[4973, 7361, 59387, 71033, 109374, 133771, 152970, 158783, 180031]",1
372,"[74553, 117444, 4973, 59387, 94959, 6773, 47610, 160848, 7826, 109374]",1
378,"[59387, 4973, 94959, 46578, 7361, 109374, 7826, 86882, 46976, 1197]",1
451,"[59387, 4973, 71033, 44555, 48394, 6773, 89759, 61240, 44555]",1
462,"[82, 803, 1202, 3183, 2688, 6638, 5802, 5106, 2239]",1
476,"[59387, 4973, 7826, 109374, 48780, 74553, 6867, 6773]",1
492,"[59387, 4973, 7361, 71033, 27773, 44555, 61240, 96829, 6773]",1
525,"[59387, 7361, 71033, 44555, 48394, 96829, 89759, 92259]",1
533,"[59387, 4973, 7361, 48394, 109374, 7826, 133771, 180031]",1
51,"[59387, 113741, 71033, 55908, 44555, 48780, 27773, 48043, 8914]",1
116,"[59387, 7826, 48082, 6867, 6773, 44555, 4973, 8933, 133771]",1
288,"[53, 82, 83, 148, 159, 612, 5075, 6376]",1
24,"[59387, 7826, 95088, 6867, 109374, 133771, 59387, 102993, 48082]",1
150,"[1238, 1188, 6867, 57669, 59387, 7826, 152970, 113275]",1
425,"[57669, 7361, 59387, 7826, 109374, 133771, 158238, 152970]",1
480,"[57669, 7361, 59387, 87234, 6867, 7826, 133771, 158238, 109374]",1
521,"[6867, 4144, 44555, 4973, 89759, 7361, 96829, 71033, 59387, 44555]",1
559,"[59387, 4144, 4973, 44555, 71033, 61240, 6773, 89759, 96829]",1
573,"[6867, 152970, 59387, 7826, 46578, 109374, 102993, 96821, 113275]",1
133,"[162414, 6385, 59387, 95558, 7826, 265, 6773, 160848]",1
