userId,itemIds,runNumber
78,"[8961, 1197, 108932, 79702, 112852, 152081, 367, 7826, 2005, 1682]",1
82,"[8961, 318, 296, 58559, 109374, 7361, 2571, 79132, 80463, 1197]",1
121,"[6377, 8961, 8360, 27619, 4886, 50872, 1197, 135436, 134853]",1
144,"[8961, 2005, 5103, 1197, 7826, 1682, 2420, 1013, 2082]",1
186,"[8961, 7579, 109374, 7361, 1197, 318, 4973, 58559, 1682, 48780]",1
232,"[318, 7361, 79132, 109374, 48780, 1682, 48516, 80463, 58559, 2571]",1
234,"[8360, 8961, 69122, 1197, 5418, 6377, 4954, 27619, 58559, 109374]",1
239,"[8961, 1307, 318, 7361, 58559, 109374, 79132, 1197, 2571, 4973]",1
283,"[8961, 7361, 7147, 1197, 6377, 54259, 8360, 8533, 2291, 7826]",1
322,"[8360, 1197, 8961, 69406, 2005, 4954, 4973, 500, 367, 27619]",1
323,"[27619, 318, 356, 58559, 79132, 109374, 48780, 7361, 1682, 1197]",1
372,"[27619, 6377, 1197, 318, 356, 58559, 109374, 7361, 8961, 2571]",1
378,"[8360, 1197, 6377, 8961, 69406, 4886, 69122, 367, 1777]",1
451,"[6377, 27619, 134853, 318, 527, 5995, 4973, 7361, 48394]",1
462,"[3114, 7361, 1307, 2762, 109374, 1197, 318, 1682, 58559]",1
476,"[6377, 531, 380, 368, 2268, 1197, 457, 367, 4326, 27619]",1
492,"[27619, 318, 109374, 7361, 1197, 4973, 1682, 96821, 7826, 46578]",1
525,"[8961, 109374, 318, 58559, 7361, 296, 2571, 80463, 79132, 48780]",1
533,"[8961, 6377, 4886, 8360, 134853, 27619, 50872, 2081, 595]",1
51,"[2571, 318, 58559, 79132, 296, 4993, 2959, 593, 858, 2153]",1
116,"[1197, 318, 109374, 1682, 27619, 80463, 58559, 7361, 48780, 48516]",1
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",1
24,"[1197, 318, 109374, 2762, 899, 134130, 1682, 159858, 1035, 1270]",1
150,"[69406, 1307, 4246, 97921, 88163, 2572, 49286, 6942, 2671, 104374]",1
425,"[318, 7361, 97921, 109374, 164909, 86882, 6711, 46578, 69757, 96821]",1
480,"[1307, 97921, 69406, 88163, 49286, 69757, 6942, 8533, 4246, 164909]",1
521,"[8533, 97921, 6711, 7361, 86882, 109374, 215, 4973, 180031]",1
559,"[1197, 97921, 318, 109374, 858, 78499, 164909, 58559, 27619, 356]",1
573,"[1197, 2005, 1265, 318, 27619, 1682, 1035, 1198, 58559, 78499]",1
133,"[1197, 4973, 27619, 97921, 8533, 78499, 7361, 6377, 111921]",1
177,"[7361, 109374, 97921, 318, 79132, 48780, 164909, 1682, 58559, 111921]",1
286,"[97921, 7361, 6711, 46578, 8533, 69757, 96821, 88163, 111921]",1
332,"[296, 318, 58559, 79132, 109374, 7361, 1732, 2959, 2571, 4973]",1
381,"[7361, 48516, 6711, 109374, 97921, 79132, 318, 48780, 8533, 58559]",1
387,"[97921, 109374, 7361, 69757, 6711, 46578, 96821, 88163, 111921]",1
402,"[47099, 97921, 1682, 7361, 46578, 6711, 109374, 86882, 45720]",1
404,"[318, 296, 356, 858, 58559, 2959, 79132, 8533, 48516, 593]",1
453,"[1197, 6942, 109374, 7361, 46578, 96821, 86882, 97921, 6711, 4973]",1
464,"[2739, 1197, 261, 5103, 318, 7361, 109374, 1682, 8533, 2005]",1
534,"[7361, 46578, 1197, 6711, 4973, 318, 109374, 1682, 94959]",1
588,"[318, 296, 356, 858, 7361, 48516, 97921, 109374, 164909, 79132]",1
6,"[11, 292, 176371, 595, 599, 605, 661, 674, 580, 626]",1
28,"[296, 318, 858, 1213, 48516, 1732, 4011, 57669, 2542]",1
46,"[109374, 46578, 97921, 6711, 69122, 1682, 7361, 86833, 96821]",1
64,"[1197, 97921, 4973, 7361, 6711, 46578, 69757, 109374, 164909]",1
103,"[1197, 97921, 7361, 86882, 6711, 46578, 4973, 69757, 109374]",1
160,"[318, 296, 356, 858, 48516, 97921, 109374, 164909, 1732, 7361]",1
