userId,itemIds,runNumber
78,"[318, 7361, 109374, 162414, 1197, 4973, 80463, 44555, 59387, 7826]",1
82,"[318, 7361, 162414, 109374, 27773, 4973, 44555, 59387, 71033, 96829]",1
121,"[318, 79132, 7361, 109374, 162414, 48780, 4973, 7826, 44555, 59387]",1
144,"[318, 7361, 109374, 162414, 1197, 4973, 44555, 59387, 71033]",1
186,"[318, 7361, 162414, 109374, 44555, 4973, 71033, 59387, 4144, 96829]",1
232,"[7361, 109374, 48780, 112552, 7826, 59387, 44555]",1
234,"[318, 7361, 109374, 162414, 48780, 4973, 27773, 44555, 59387, 71033]",1
239,"[318, 7361, 162414, 109374, 27773, 4973, 44555, 96829, 71033, 89759]",1
283,"[318, 7361, 1197, 162414, 4973, 109374, 1682, 48394, 46578, 7826]",1
322,"[318, 7361, 162414, 109374, 4973, 44555, 71033, 96829, 89759, 92259]",1
323,"[318, 7361, 4973, 109374, 162414, 44555, 59387, 71033, 96829, 6773]",1
372,"[318, 7361, 109374, 162414, 1197, 4973, 44555, 59387, 71033, 92259]",1
378,"[318, 109374, 7361, 94959, 1197, 4973, 46578, 1682, 7826, 86882]",1
451,"[318, 7361, 109374, 79132, 4973, 162414, 7826, 44555, 92259, 96829]",1
462,"[318, 7361, 162414, 109374, 4973, 44555, 59387, 71033, 96829, 92259]",1
476,"[318, 7361, 1197, 4973, 48780, 109374, 48394, 1682, 59387]",1
492,"[318, 7361, 109374, 162414, 44555, 4973, 27773, 71033, 89759, 96829]",1
525,"[318, 7361, 109374, 48780, 4973, 27773, 1682, 44555, 57669]",1
533,"[318, 27619, 296, 7361, 109374, 4973, 1682, 162414, 1197, 7826]",1
51,"[318, 7361, 162414, 109374, 44555, 4973, 27773, 71033, 96829, 89759]",1
116,"[318, 296, 109374, 162414, 7826, 44555, 4973, 59387, 92259, 96829]",1
288,"[2, 53, 82, 83, 94, 159, 412, 1175, 1641]",1
24,"[318, 7361, 109374, 58559, 162414, 4973, 48780, 44555, 1197]",1
150,"[69406, 1784, 97921, 94070, 3072, 7149, 73015, 49286, 5945, 105211]",1
425,"[7361, 6711, 109374, 94959, 48780, 1682, 59387, 7826, 7147]",1
480,"[2395, 1179, 1046, 2313, 2303, 1479, 1126, 5250]",1
521,"[318, 7361, 109374, 48394, 79132, 112552, 44555, 162414, 71033]",1
559,"[318, 296, 7361, 109374, 162414, 44555, 4973, 27773, 71033, 59387]",1
573,"[7361, 109374, 94959, 48780, 7826, 59387, 44555, 92259, 112552]",1
133,"[162414, 7826, 2761, 3554, 162578, 88810, 117444, 97921, 2139]",1
177,"[4, 85, 101, 233, 178, 904, 910, 1209]",1
286,"[7361, 112515, 46578, 3897, 4973, 3176, 55052, 94959, 59387, 57669]",1
332,"[7361, 296, 2571, 77455, 778, 7147, 46578, 3868, 122882, 72226]",1
381,"[7361, 109374, 94959, 59387, 7826, 133771, 57669, 44555]",1
387,"[7361, 94959, 109374, 59387, 7826, 46578, 180031, 112552]",1
402,"[318, 7361, 6711, 46578, 94959, 109374, 215, 59387]",1
404,"[318, 7361, 162414, 109374, 4973, 44555, 59387, 71033, 4144, 96829]",1
453,"[46578, 94959, 109374, 7361, 7826, 6711, 59387]",1
464,"[7361, 94959, 46578, 55052, 7749, 4973, 1732, 1265, 7482, 59387]",1
534,"[7361, 46578, 109374, 48780, 4973, 7826, 59387, 92259]",1
588,"[318, 296, 7361, 1682, 2858, 6711, 1732, 4226, 46578]",1
6,"[7361, 94959, 80463, 48774, 46578, 176371, 109374, 48394, 55363]",1
28,"[7361, 109374, 94959, 59387, 7826, 133771, 59387, 7826]",1
46,"[1682, 46578, 6711, 97921, 109374, 7361, 8949, 4979, 8784]",1
64,"[1111, 3196, 1812, 3179, 3185, 1643, 3206]",1
103,"[7361, 109374, 59387, 7826, 133771, 104944, 6773]",1
160,"[7361, 162414, 109374, 112552, 133771, 59387, 7826, 104944, 8933]",1
215,"[6711, 7361, 46578, 109374, 162414, 133771, 112552, 180031]",1
220,"[318, 296, 7361, 109374, 162414, 133771, 7826, 59387, 96829]",1
391,"[7361, 109374, 94959, 59387, 7826, 46578, 44555, 92259]",1
418,"[7361, 109374, 94959, 133771, 59387, 7826, 46578, 48082]",1
435,"[1197, 78499, 595, 1035, 8360, 27619, 56152, 1028, 112175]",1
437,"[7361, 46578, 6711, 109374, 94959, 4979, 59387, 57669, 133771]",1
555,"[215, 1544, 1875, 5121, 1686, 1454, 2996, 6603]",1
562,"[7361, 109374, 94959, 59387, 7826, 6711, 133771, 180031]",1
587,"[1197, 94959, 109374, 46578, 4973, 7826, 59387, 95088, 152970, 92259]",1
313,"[296, 7361, 318, 109374, 48394, 44555, 112552, 162414]",1
361,"[296, 7361, 176371, 109374, 27773, 4973, 4878, 46578, 6711, 48780]",1
362,"[318, 4973, 7361, 109374, 44555, 162414, 48780, 48394, 92259, 71033]",1
438,"[4226, 7361, 109374, 162414, 48780, 112552, 7826, 59387, 133771]",1
