userId,itemIds,runNumber
78,"[8961, 1307, 2571, 1197, 58559, 318, 27619, 5418, 7361, 80463]",1
82,"[27619, 296, 318, 356, 2571, 58559, 79132, 2959, 109374, 7361]",1
121,"[6377, 6378, 27619, 1682, 318, 3147, 47099, 64957, 72641, 7826]",1
144,"[27619, 1197, 5103, 1682, 2005, 318, 1968, 8961, 7826, 2420]",1
186,"[8961, 7579, 17, 109374, 7361, 46578, 4973, 1197, 86882, 7826]",1
232,"[318, 356, 296, 2571, 593, 2959, 58559, 79132, 858, 4993]",1
234,"[8961, 6378, 500, 1197, 457, 1682, 7826, 318, 7361, 109374]",1
239,"[27619, 356, 318, 296, 2571, 2959, 58559, 79132, 109374, 164909]",1
283,"[1197, 7361, 8961, 4973, 551, 97921, 7147, 1682, 94959, 2291]",1
322,"[318, 296, 58559, 2959, 2571, 7361, 109374, 162414, 133771, 112552]",1
323,"[27619, 296, 356, 318, 2571, 593, 1682, 3147, 2762, 2959]",1
372,"[27619, 356, 318, 2571, 296, 1197, 58559, 79132, 2153, 109374]",1
378,"[8961, 8360, 1197, 108932, 1265, 4886, 39, 367, 4016, 3868]",1
451,"[27619, 6377, 318, 109374, 7361, 1682, 4973, 1197, 7826]",1
462,"[1197, 7361, 109374, 318, 79132, 1682, 48780, 7826, 46578]",1
476,"[8961, 531, 457, 1197, 2006, 2761, 318, 1682, 3147, 48780]",1
492,"[318, 296, 858, 2959, 79132, 58559, 2571, 7361, 109374, 162414]",1
525,"[318, 296, 2571, 356, 593, 27619, 2959, 858, 58559, 79132]",1
533,"[27619, 6377, 2081, 8360, 1197, 8961, 595, 588, 919, 1035]",1
51,"[2571, 318, 296, 58559, 2959, 79132, 593, 4993, 858, 356]",1
116,"[1682, 318, 1197, 7361, 109374, 48780, 4973, 48516, 80463, 94959]",1
288,"[1682, 1197, 318, 7361, 109374, 79132, 48780, 7826, 92259, 4973]",1
24,"[1197, 318, 109374, 7361, 1682, 7826, 86882, 46578, 4973, 96821]",1
150,"[56587, 1784, 69406, 97921, 155743, 140110, 73015, 94070, 7149, 49286]",1
425,"[318, 296, 858, 58559, 2959, 2571, 79132, 593, 48516, 1213]",1
480,"[69406, 97921, 88163, 69757, 140110, 49286, 104374, 115667, 111921, 164909]",1
521,"[318, 356, 296, 858, 58559, 7361, 2959, 79132, 109374, 48516]",1
559,"[318, 296, 858, 2959, 79132, 58559, 356, 2571, 593, 7361]",1
573,"[1197, 5103, 1682, 318, 7361, 109374, 27619, 48780, 8961, 2571]",1
133,"[1678, 62553, 72737, 3554, 2761, 2739, 88810, 2141, 47099, 6385]",1
177,"[1197, 7361, 4973, 109374, 94959, 46578, 6711, 1682, 97921, 86882]",1
286,"[7361, 48394, 79132, 318, 2959, 109374, 48780, 4973, 27773, 48516]",1
332,"[1197, 7361, 109374, 4973, 318, 79132, 1682, 58559, 296, 27619]",1
381,"[7361, 109374, 59387, 7826, 133771, 48780, 180031, 1682]",1
387,"[8533, 7361, 318, 296, 109374, 164909, 58559, 111921, 7178, 47099]",1
402,"[141, 39, 1777, 367, 1393, 500, 1569, 1485, 708, 788]",1
404,"[47099, 6942, 1370, 69406, 457, 8533, 7826, 3257, 45720, 2762]",1
453,"[47099, 46578, 8533, 1197, 7361, 318, 4973, 88810, 109374, 111921]",1
464,"[1197, 7361, 94959, 46578, 4973, 109374, 7826, 46976, 59387, 95088]",1
534,"[1197, 7361, 318, 109374, 96821, 1682, 4973, 48780, 46578, 79132]",1
588,"[318, 296, 356, 593, 2571, 27619, 2762, 2959, 3147, 2858]",1
6,"[1197, 1307, 318, 356, 2571, 296, 58559, 79132, 109374, 7361]",1
28,"[296, 318, 858, 356, 58559, 2959, 2571, 79132, 593, 1213]",1
46,"[109374, 46578, 6711, 1682, 7361, 4979, 97921, 86882, 168326]",1
64,"[318, 356, 296, 858, 58559, 2959, 2571, 79132, 593, 48516]",1
103,[],1
