userId,itemIds,runNumber
78,"[8360, 1197, 8961, 79702, 108932, 112852, 152081, 367, 115617, 2153]",1
82,"[8360, 81845, 54503, 2571, 7361, 296, 1197, 80463, 109374, 79132]",1
121,"[6377, 8360, 8961, 4886, 50872, 27619, 1197, 135436, 134853]",1
144,"[6377, 2005, 1259, 1197, 1732, 1370, 296, 2248, 3254]",1
186,"[6377, 17, 2396, 77455, 2571, 3844, 5772, 3671, 296, 1013]",1
232,"[1197, 7361, 318, 79132, 109374, 1682, 48780, 4973, 58559, 2959]",1
234,"[6377, 500, 1707, 457, 344, 3114, 380, 8961, 367]",1
239,"[6377, 539, 80463, 7579, 5418, 110, 2671, 296, 69406, 54648]",1
283,"[6377, 1197, 7361, 7147, 551, 4973, 2291, 8961, 54259]",1
322,"[8360, 4246, 5103, 4954, 4973, 46578, 54648, 1197, 837, 367]",1
323,"[6377, 318, 1307, 2803, 527, 110, 1197, 858, 27619]",1
372,"[8360, 27619, 6377, 1197, 8961, 109374, 1682, 4973, 69122, 318]",1
378,"[6377, 8360, 8961, 4886, 1197, 50872, 103335, 108932, 134853]",1
451,"[6377, 134853, 27619, 1197, 318, 356, 3147, 4973]",1
462,"[8961, 7579, 2671, 2571, 457, 46578, 318, 54190, 2028, 3494]",1
476,"[6377, 531, 380, 368, 805, 27619, 1197, 457, 303, 4326]",1
492,"[6377, 318, 46578, 1197, 1246, 3897, 1288, 176371, 55247]",1
525,"[8961, 3948, 1213, 3578, 2502, 2858, 2762, 296, 318, 2571]",1
533,"[6377, 8360, 27619, 4886, 134853, 2081, 588, 595, 8961]",1
51,"[2571, 58559, 1198, 318, 79132, 593, 4993, 2959, 5418, 80463]",1
116,"[2617, 1682, 318, 1197, 3147, 457, 27619, 2762, 2571, 593]",1
288,"[2, 20, 53, 76, 82, 83, 87, 94, 95, 100]",1
24,"[56587, 86882, 4954, 1197, 2005, 8874, 1035, 2762, 1097, 1270]",1
150,"[3507, 1784, 69406, 7149, 155743, 56587, 539, 94070, 73015, 49286]",1
425,"[318, 8533, 58559, 109374, 7361, 48780, 1197, 79132, 111921, 2571]",1
480,"[155743, 69406, 86882, 97921, 46578, 109374, 88163, 140110, 113275]",1
521,"[56587, 1784, 94070, 109374, 6711, 1183, 81845, 91077, 69481, 55052]",1
559,"[56587, 97921, 46578, 318, 296, 7361, 109374, 88810, 1197, 4973]",1
573,"[1197, 5103, 318, 356, 27619, 1682, 109374, 7361, 58559, 79132]",1
133,"[94070, 1678, 3844, 1271, 2739, 2154, 88810, 62553, 72737, 113275]",1
177,"[4, 63, 85, 93, 101, 178, 233, 238, 250]",1
286,"[1678, 2908, 2739, 1271, 3844, 261, 3418, 5992, 17, 88810]",1
332,"[4, 63, 166, 205, 224, 445, 38038, 1032, 1043, 3060]",1
381,"[1678, 2289, 1719, 3176, 6711, 7361, 109374, 103980, 180031, 162414]",1
387,"[17, 170, 45728, 334, 351, 1046, 1095, 3296, 3499]",1
402,"[2156, 122, 367, 4069, 788, 1477, 141, 1569, 708, 11]",1
404,"[2156, 165, 145, 1094, 531, 44759, 4, 2803, 3257, 457]",1
453,"[1678, 94070, 3844, 46578, 1197, 6942, 88810, 47099, 111921]",1
464,"[94070, 94959, 46578, 1197, 96821, 4973, 7361, 109374, 7826, 97921]",1
534,"[1678, 46578, 7361, 1197, 6711, 109374, 94959, 4973, 96821, 97921]",1
588,"[1678, 1393, 11, 296, 141, 454, 292, 457, 539, 318]",1
6,"[11, 292, 176371, 552, 595, 599, 661, 610, 674, 694]",1
28,"[296, 1732, 4011, 2542, 38061, 57669, 555, 48516, 1089]",1
46,"[1013, 2858, 39, 1682, 1777, 46578, 4700, 8784, 2572]",1
64,"[318, 7361, 296, 858, 2959, 48516, 79132, 593, 58559, 8533]",1
103,"[1777, 1918, 3844, 41573, 3177, 1197, 198, 266, 322, 1475]",1
160,"[69122, 1213, 48516, 97921, 79132, 109374, 318, 7361, 58559, 296]",1
215,"[1197, 81591, 7361, 953, 2791, 2858, 4979, 104374, 3499, 6711]",1
220,"[69122, 48516, 5989, 54503, 106782, 4954, 34162, 80463, 106916, 148626]",1
391,"[1197, 27619, 4954, 2396, 1246, 55052, 216, 272, 1527]",1
418,"[1197, 4973, 46578, 3897, 7361, 899, 109374, 6711, 86882, 1732]",1
435,"[4700, 56152, 1013, 595, 1035, 1028, 2081, 8360, 27619, 837]",1
437,"[1013, 708, 1183, 94, 141, 515, 357, 1777, 2396]",1
555,"[141, 457, 6711, 109374, 7361, 296, 1197, 318, 1732, 356]",1
562,"[6711, 7361, 109374, 4973, 86882, 180031, 94959, 78039, 215]",1
587,"[500, 367, 2, 1707, 54648, 1197, 94777, 344, 2124, 1485]",1
313,"[48516, 318, 296, 858, 2959, 58559, 79132, 593, 50]",1
361,"[48516, 296, 79132, 318, 7361, 58559, 2959, 2571, 109374, 4973]",1
362,"[58559, 7147, 6942, 7247, 46578, 7361, 112556, 4720, 1682, 904]",1
438,"[48516, 1197, 318, 79132, 109374, 593, 7361, 296, 2571, 2959]",1
469,"[48516, 55765, 318, 79132, 858, 58559, 296, 2959, 50, 1213]",1
45,"[5103, 1197, 1259, 2005, 46578, 94959, 109374, 1682, 7361, 7826]",1
202,"[5103, 837, 318, 1265, 1682, 1197, 457, 7826, 46578, 109374]",1
235,"[5103, 1711, 2082, 457, 5076, 292, 7007, 350, 340, 2803]",1
279,"[5523, 7579, 1873, 2803, 6709, 1225, 2302, 928, 1704]",1
368,"[5103, 457, 837, 1625, 1060, 1682, 2006, 3176, 2858, 4979]",1
395,"[5103, 6787, 457, 110, 500, 1321, 2005, 2268, 1197, 2762]",1
494,"[2005, 1259, 4135, 5103, 4128, 531, 2161, 2052, 7045, 1197]",1
498,"[5103, 231, 2268, 2005, 1485, 1246, 2, 500, 2268]",1
536,"[5103, 2005, 457, 1259, 1197, 318, 4128, 2114, 1610, 1968]",1
586,"[5103, 1197, 2005, 531, 457, 1013, 6378, 1035, 1682, 318]",1
603,"[2005, 1213, 48394, 1681, 784, 480, 198, 86295, 357, 3108]",1
608,"[828, 41, 2966, 53, 181, 418, 2950, 79]",1
140,"[1370, 457, 2268, 2571, 17, 318, 480, 1704, 296, 1197]",1
264,"[1370, 1608, 380, 457, 1485, 500, 1682, 1265, 367]",1
1,"[457, 2762, 318, 296, 50, 2959, 593, 4226, 2858]",1
294,"[185, 292, 482, 688, 4865, 5121, 6484, 10, 100]",1
606,"[5418, 2671, 8784, 527, 457, 2858, 2762, 296, 7361]",1
42,"[11, 32, 195, 219, 270, 292, 474, 1500, 1733]",1
256,"[539, 1370, 39, 1197, 1732, 318, 1198, 296, 593, 1270]",1
590,"[1307, 1485, 296, 2761, 593, 318, 457, 1197, 858, 356]",1
217,"[1278, 3249, 1246, 69, 3481, 3578, 1639, 45728, 318, 2082]",1
353,"[1278, 6787, 457, 293, 46578, 2571, 3917, 5902, 110, 2762]",1
365,"[1278, 1213, 457, 2791, 1225, 96488, 908, 1197, 5291, 1262]",1
373,"[1278, 48394, 1013, 2770, 1544, 215, 4509, 3175, 1197, 2716]",1
380,"[1278, 1235, 3418, 1213, 2412, 2427, 1944, 1544, 3668, 7151]",1
199,"[27619, 858, 1721, 296, 318, 58559, 8533, 79132, 48516, 2571]",1
58,"[3006, 318, 2329, 3147, 296, 48516, 2959, 858, 1213, 50]",1
68,"[1246, 1252, 912, 1235, 3095, 1944, 492, 372, 26]",1
107,"[3006, 2268, 457, 2803, 50, 349, 454, 628]",1
134,"[6787, 41997, 3006, 1267, 51540, 2268, 7792, 3006, 36517]",1
176,"[3006, 300, 2289, 1747, 1883, 89804, 3504, 6787, 1682, 2997]",1
240,"[3006, 2268, 1625, 318, 48516, 6870, 3176, 50, 2858]",1
284,"[1213, 2858, 46578, 48516, 3897, 6711, 4979, 296, 7361]",1
349,"[6787, 64620, 3006, 1120, 1350, 1590, 2456, 170401, 2288]",1
414,"[70, 147, 198, 229, 230, 1179]",1
419,"[296, 1732, 7361, 2959, 318, 79132, 48516, 2571, 2858, 58559]",1
428,"[3006, 1912, 2289, 1729, 3176, 2268, 48516, 2858, 318, 296]",1
468,"[527, 1246, 318, 2324, 5995, 7826, 64957, 81845, 109374, 1682]",1
18,"[1198, 380, 2406, 1197, 457, 2006, 2617, 6378, 2763, 1527]",1
136,"[6539, 215, 1183, 7826, 4973, 1197, 109374, 7143, 4014, 6711]",1
191,"[6539, 7579, 49286, 55820, 2226, 2406, 1912, 4720, 1197]",1
75,"[1213, 318, 296, 50, 7361, 48516, 79132, 48780, 2959]",1
77,"[1213, 48516, 296, 858, 2329, 318, 2959, 555, 428]",1
96,"[1213, 6711, 7361, 1197, 97921, 48394, 86882, 109374, 180031, 412]",1
124,"[296, 48516, 55820, 858, 1206, 1089, 318, 1213, 593, 2959]",1
171,"[1213, 7579, 4973, 265, 1515, 2456, 858, 357, 1258]",1
266,"[296, 58559, 593, 2959, 2858, 48516, 79132, 318, 50]",1
308,"[1213, 2858, 858, 296, 7361, 109374, 6711, 48516, 94959]",1
364,"[1213, 858, 48516, 55765, 428, 1466, 2194, 431, 86628]",1
400,"[858, 48516, 55820, 318, 296, 58559, 50, 2268, 2858]",1
416,"[1213, 48516, 858, 318, 4144, 6711, 78039, 73344]",1
422,"[1213, 296, 2502, 69122, 54503, 858, 48516, 106916, 1732]",1
441,"[1213, 48516, 6870, 858, 318, 2329, 2268, 50, 628]",1
475,"[1213, 7361, 593, 899, 7826, 7451, 1997, 6711, 4718, 78499]",1
514,"[296, 1682, 46578, 109374, 318, 7361, 1732, 2959, 79132]",1
551,"[296, 7579, 500, 1307, 78499, 7361, 2858, 318, 46578, 6711]",1
570,"[296, 48516, 4011, 1213, 69122, 4954, 79132, 2959, 58559, 318]",1
4,"[7579, 8873, 4973, 77455, 1246, 1089, 46578, 2571, 231, 539]",1
17,"[7579, 261, 69, 97921, 1015, 231, 2762, 555, 7361, 1197]",1
37,"[7579, 2572, 4246, 6942, 8533, 97921, 104374, 7361, 215]",1
