userId,itemIds,runNumber
78,"[7361, 4973, 27773, 48394, 109374, 59387, 61240, 71033, 44555]",1
82,"[7361, 4973, 27773, 48394, 109374, 59387, 44555, 71033, 92259]",1
121,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 92259]",1
144,"[7361, 4973, 48394, 27773, 109374, 44555, 59387, 71033, 92259]",1
186,"[7361, 48394, 109374, 6016, 44555, 4144, 89759]",1
232,"[7361, 4973, 48394, 27773, 109374, 44555, 59387, 61240, 71033]",1
234,"[7361, 4973, 27773, 48394, 59387, 44555, 61240, 71033, 89759]",1
239,"[7361, 27773, 4973, 48394, 109374, 44555, 71033, 61240, 96829]",1
283,"[7361, 48394, 4973, 109374, 94959, 7826, 7147, 59387, 48082, 1197]",1
322,"[7361, 4973, 27773, 48394, 109374, 94959, 44555, 59387, 61240, 71033]",1
323,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 133771]",1
372,"[7361, 4973, 48394, 27773, 109374, 44555, 59387, 61240, 71033]",1
378,"[7361, 4973, 48394, 109374, 94959, 5618, 1682, 79132, 7826, 1197]",1
451,"[7361, 4973, 48394, 109374, 5618, 27773, 44555, 59387, 71033, 92259]",1
462,"[7361, 48394, 109374, 112552, 44555, 6016, 4144, 96829]",1
476,"[7361, 48394, 59387, 109374, 112552, 44555, 71033, 92259]",1
492,"[59387, 4973, 7361, 27773, 48394, 44555, 61240, 71033, 89759, 96829]",1
525,"[7361, 4973, 48394, 27773, 109374, 44555, 71033, 92259, 61240, 96829]",1
533,"[7361, 4973, 27773, 48394, 109374, 44555, 61240, 59387, 71033]",1
51,"[7361, 48394, 109374, 94959, 44555, 71033, 6016, 59387]",1
116,"[4973, 27773, 109374, 7361, 48394, 44555, 59387, 71033, 92259]",1
288,"[1175, 2932, 5021, 6376, 5829, 5075, 6442, 950]",1
24,"[7361, 4973, 27773, 48394, 109374, 44555, 59387, 71033, 92259]",1
150,"[7361, 48394, 109374, 94959, 59387, 7826, 92259, 112552]",1
425,"[7361, 48394, 44555, 6016, 96829, 89759, 71033, 92259]",1
480,"[7361, 48394, 6016, 44555, 5618, 96829, 89759, 71033]",1
521,[],1
559,"[4973, 7361, 27773, 48394, 44555, 61240, 59387, 6016, 89759, 96829]",1
573,"[7361, 48394, 109374, 6016, 44555, 5618, 89759, 96829]",1
133,"[7361, 4973, 48394, 109374, 94959, 5618, 180031, 59387, 7826]",1
177,"[7361, 48394, 6016, 44555, 5618, 96829, 89759, 71033]",1
