userId,itemIds
78,"[117444, 95088, 59387, 94959, 74553, 318, 77455, 6773, 102993, 93721]"
82,"[59387, 68237, 71033, 44555, 96829, 86781, 55908, 58303, 73808, 89759]"
121,"[117444, 59387, 74553, 6773, 47610, 44555, 4973, 71033, 89759, 96829]"
144,"[68237, 59387, 71033, 44555, 55908, 96829, 86781, 73808, 89759, 58303]"
186,"[68237, 59387, 71033, 44555, 96829, 86781, 89759, 92259, 55908, 58303]"
232,"[59387, 68237, 71033, 44555, 86781, 96829, 89759, 92259, 55814, 81562]"
234,"[68237, 59387, 71033, 44555, 55908, 86781, 96829, 58303, 89759, 73808]"
239,"[59387, 68237, 71033, 44555, 96829, 86781, 55908, 89759, 92259, 44555]"
283,"[117444, 4973, 59387, 94959, 74553, 7361, 109374, 48394, 1197, 215]"
322,"[59387, 68237, 71033, 44555, 96829, 86781, 89759, 92259, 55908, 58303]"
323,"[59387, 68237, 71033, 44555, 96829, 86781, 55908, 58303, 73808, 89759]"
372,"[59387, 68237, 71033, 44555, 96829, 86781, 89759, 92259, 55908, 58303]"
378,"[95088, 104339, 133771, 87234, 109374, 152970, 158238, 156387, 159415, 115122]"
451,"[59387, 68237, 71033, 86781, 44555, 89759, 96829, 92259, 83132, 55814]"
462,"[59387, 68237, 71033, 44555, 96829, 86781, 89759, 92259, 103984, 44555]"
476,"[117444, 59387, 74553, 29, 6773, 83132, 47610, 7826, 59387, 48082]"
492,"[59387, 68237, 71033, 44555, 96829, 86781, 89759, 92259, 55908, 44555]"
525,"[59387, 71033, 44555, 86781, 89759, 96829, 92259, 55814, 44555, 71033]"
533,"[68237, 59387, 71033, 44555, 4973, 27773, 61240, 96829, 89759, 92259]"
51,"[68237, 59387, 113741, 71033, 44555, 55908, 96829, 73808, 58303, 74553]"
116,"[59387, 68237, 71033, 44555, 96829, 86781, 55908, 58303, 73808, 89759]"
288,"[1175, 53, 159, 20, 82, 76, 87, 94, 100, 148]"
24,"[59387, 68237, 7826, 95088, 102993, 152970, 6867, 87234, 59387, 102993]"
150,"[6867, 57669, 95088, 55280, 152970, 59387, 68237, 102993, 87234, 156387]"
425,"[59387, 68237, 71033, 44555, 96829, 86781, 89759, 92259, 58303, 44555]"
480,"[57669, 59387, 68237, 87234, 6867, 95088, 102993, 127202, 156387, 152970]"
521,"[59387, 71033, 86781, 44555, 31364, 4956, 27803, 4323, 44555]"
559,"[4144, 4973, 7361, 59387, 68237, 71033, 89759, 96829, 109374, 112552]"
573,"[59387, 68237, 71033, 44555, 86781, 96829, 89759, 92259, 27773, 44555]"
133,"[68237, 59387, 71033, 44555, 96829, 86781, 89759, 92259, 83132, 6773]"
177,"[233, 178, 1180, 937, 1910, 1794, 3094, 4500]"
286,"[4144, 59387, 68237, 71033, 44555, 89759, 86781, 96829, 92259, 55814]"
332,"[59387, 68237, 71033, 44555, 96829, 55908, 92259, 86781, 89759, 58303]"
381,[]
387,"[68237, 59387, 71033, 44555, 96829, 86781, 89759, 92259, 55814, 44555]"
402,"[1594, 6867, 33880, 59387, 68237, 87234, 95088, 104944, 133771, 152970]"
