userId,itemIds
78,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 80463]"
82,"[318, 79132, 858, 296, 58559, 2959, 2571, 1213, 593, 80463]"
121,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 1704]"
144,"[318, 858, 296, 58559, 2959, 2571, 1213, 593, 80463, 112552]"
186,"[318, 79132, 858, 296, 58559, 2959, 2571, 356, 593, 80463]"
232,"[17, 1206, 2297, 1645, 1041, 1262, 759, 235, 36, 164179]"
234,"[318, 858, 79132, 296, 58559, 2959, 2571, 356, 593, 48780]"
239,"[318, 858, 296, 2959, 79132, 58559, 2571, 80463, 112552]"
283,"[318, 79132, 858, 296, 58559, 2959, 356, 2571, 593, 7361]"
322,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 48516]"
372,"[318, 858, 79132, 58559, 2959, 296, 2571, 356, 593, 48780]"
378,"[318, 79132, 858, 296, 58559, 2959, 2571, 356, 593, 48780]"
451,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 80463]"
462,"[1028, 2529, 775, 1202, 2211, 300, 82, 2041, 7394, 6434]"
476,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 48780]"
492,"[318, 858, 296, 58559, 79132, 2959, 2571, 80463, 112552]"
525,"[318, 296, 858, 58559, 79132, 2959, 2571, 593, 356, 48780]"
533,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 80463]"
51,"[6, 44, 76, 102, 168, 271, 904, 1047, 2395, 2976]"
116,"[318, 858, 296, 2959, 58559, 79132, 2571, 80463, 112552, 48780]"
288,"[318, 858, 296, 58559, 2959, 79132, 2571, 80463, 112552, 109374]"
24,"[318, 296, 858, 58559, 2959, 79132, 2571, 356, 593, 48516]"
150,"[318, 858, 296, 2959, 79132, 58559, 2571, 356, 593, 48516]"
425,"[318, 858, 296, 58559, 2959, 79132, 2571, 593, 48516, 112552]"
480,"[3, 21, 69, 70, 237, 479, 870, 1043, 2395, 5134]"
521,"[318, 296, 858, 2959, 79132, 58559, 2571, 356, 593, 48516]"
559,"[318, 858, 296, 58559, 2959, 79132, 593, 2571, 1213, 48516]"
573,"[1204, 14, 1343, 1328, 8, 238, 1066, 3, 1219]"
133,"[318, 858, 79132, 58559, 296, 2959, 2571, 356, 593, 80463]"
177,"[904, 933, 474, 3730, 178, 766, 2739, 1263, 4994]"
286,"[318, 858, 296, 2959, 58559, 79132, 2571, 356, 593, 80463]"
332,"[318, 79132, 858, 296, 58559, 2959, 2571, 356, 593, 80463]"
381,"[39, 193, 382, 918, 2066, 1922, 3328, 2290, 1129, 1894]"
387,"[17, 4, 223, 1095, 1103, 3499, 3550, 5397, 7307, 7305]"
402,"[318, 858, 296, 2959, 79132, 58559, 2571, 1213, 80463, 112552]"
404,"[318, 858, 296, 58559, 2959, 79132, 2571, 356, 593, 48516]"
453,"[318, 858, 296, 58559, 79132, 2959, 2571, 80463, 112552, 109374]"
464,"[318, 858, 296, 58559, 79132, 2959, 2571, 1213, 80463, 112552]"
534,"[538, 996, 1264, 1288, 1914, 1945, 3872, 4705, 4174]"
588,"[318, 296, 356, 858, 58559, 2959, 2571, 1213, 593, 79132]"
6,"[318, 858, 296, 58559, 2959, 79132, 2571, 356, 593, 48516]"
28,"[904, 5613, 2301, 2313, 2321, 2351, 357, 16, 21]"
46,"[318, 858, 296, 58559, 2959, 79132, 2571, 356, 1213, 593]"
64,"[346, 1104, 775, 2146, 36, 173, 3185, 3196]"
103,"[318, 79132, 858, 296, 58559, 2959, 2571, 356, 593, 48780]"
160,"[318, 858, 296, 58559, 79132, 2959, 2571, 80463, 112552, 109374]"
215,"[318, 296, 356, 858, 593, 1213, 2571, 2959, 50, 2858]"
220,"[318, 858, 296, 58559, 2959, 79132, 2571, 356, 593, 1213]"
391,"[318, 858, 296, 58559, 79132, 2959, 2571, 80463, 112552]"
418,"[318, 858, 296, 58559, 79132, 2959, 2571, 593, 80463, 112552]"
435,"[318, 858, 296, 58559, 79132, 2959, 2571, 356, 593, 80463]"
437,"[318, 858, 296, 2959, 58559, 79132, 2571, 356, 593, 1213]"
555,[]
562,"[318, 296, 858, 2959, 79132, 58559, 2571, 356, 593, 48516]"
587,"[318, 858, 296, 58559, 2959, 2571, 1213, 593, 356, 79132]"
313,"[318, 296, 858, 2959, 58559, 79132, 2571, 1213, 593, 48516]"
361,"[318, 858, 296, 2959, 2571, 79132, 80463, 112552, 109374]"
362,"[318, 858, 79132, 58559, 296, 2959, 2571, 593, 1213, 48780]"
438,"[318, 296, 858, 79132, 2959, 58559, 2571, 1213, 80463, 112552]"
469,"[1682, 1650, 2081, 2176, 2401, 2402, 3067, 3543, 4844, 6]"
45,"[318, 296, 858, 2959, 58559, 79132, 2571, 356, 593, 80463]"
202,"[318, 858, 296, 58559, 79132, 2959, 2571, 593, 80463, 112552]"
235,"[318, 296, 858, 2959, 58559, 2571, 1213, 593, 356, 48516]"
279,"[318, 858, 296, 58559, 2959, 79132, 2571, 593, 1213, 48516]"
368,"[318, 858, 296, 58559, 2959, 2571, 79132, 48780, 112552, 80463]"
395,"[318, 858, 296, 58559, 2959, 79132, 2571, 593, 1213, 48516]"
494,"[318, 858, 79132, 58559, 296, 2959, 2571, 593, 356, 48780]"
498,[]
536,"[318, 858, 296, 58559, 2959, 79132, 2571, 593, 1213, 48516]"
586,"[318, 858, 296, 58559, 2959, 2571, 1213, 593, 48516, 48780]"
603,"[300, 1719, 1095, 1103, 2401, 2431, 1411, 5294, 6020]"
608,"[4508, 41, 3070, 8, 76, 432, 743, 2986, 479]"
140,[]
