userId,itemIds
78,"[8961, 4306, 112852, 367, 59615, 1580, 6377, 2273, 1197, 364]"
82,"[8961, 110, 54503, 1036, 7361, 80463, 105355, 296, 2502, 2762]"
121,"[6377, 4306, 8961, 4886, 108932, 50872, 76093, 97913, 152081, 134853]"
144,"[364, 5103, 837, 39, 377, 904, 2248, 46578, 2420, 1197]"
186,"[6377, 7579, 1183, 34072, 2571, 2671, 1246, 3671, 296, 4973]"
232,"[318, 7361, 79132, 109374, 48780, 80463, 1682, 58559, 2959, 48516]"
234,"[6377, 1036, 500, 6662, 377, 4306, 4954, 904, 4816, 2761]"
239,"[8961, 1307, 318, 6, 110, 2671, 2571, 1682, 1777, 6378]"
283,"[8961, 7361, 7147, 50658, 97921, 2716, 6377, 8533, 1197, 134853]"
322,"[4306, 6942, 5103, 296, 4973, 46578, 79592, 457, 3489, 1197]"
323,"[6377, 318, 97921, 112556, 86882, 527, 1197, 109374, 1682, 48780]"
372,"[364, 1197, 356, 8961, 318, 109374, 7361, 1682, 4973, 7147]"
378,"[6377, 1197, 2791, 4886, 1265, 4306, 1307, 8961, 39, 1517]"
451,"[6377, 318, 26712, 2324, 134853, 527, 364, 4973, 47099, 5618]"
462,"[1197, 7361, 109374, 318, 79132, 4973, 1682, 58559, 80463, 48780]"
476,"[6377, 1197, 8961, 7147, 1198, 551, 2005, 1270, 7826, 1682]"
492,"[364, 527, 356, 1197, 1246, 3911, 96488, 541, 7147, 318]"
525,"[318, 296, 58559, 109374, 79132, 858, 7361, 2959, 80463, 2571]"
533,"[6377, 364, 4306, 2081, 164909, 4308, 1197, 7566, 595, 180985]"
51,"[1198, 58559, 2571, 1197, 296, 79132, 318, 2762, 7361, 2959]"
116,"[2617, 318, 77455, 58559, 1246, 47, 1197, 2858, 96488, 2571]"
288,"[318, 58559, 7361, 79132, 109374, 48780, 1682, 80463, 112552, 48516]"
24,"[1197, 86882, 4954, 2617, 2005, 8874, 1270, 2797, 1013, 2716]"
150,"[3507, 1784, 69406, 7149, 56587, 5299, 97921, 73015, 140110, 94070]"
425,"[318, 858, 296, 58559, 79132, 2959, 2571, 80463, 48516, 7361]"
480,"[1307, 1197, 97921, 86882, 46578, 6711, 4973, 56367, 7361, 109374]"
