userId,itemIds
78,"[7361, 109374, 94959, 4973, 48394, 7826, 59387, 1682, 106920, 7147]"
82,"[7361, 68237, 59387, 27773, 4973, 48394, 133771, 109374, 112183, 79132]"
121,"[7361, 48394, 4973, 109374, 94959, 7826, 7147, 59387, 48082, 74553]"
144,"[7361, 4973, 109374, 94959, 7826, 46578, 1682, 7147, 96821, 46976]"
186,"[7361, 4973, 109374, 94959, 48394, 7826, 106920, 59387, 79132, 92259]"
232,"[7361, 109374, 68237, 4973, 27773, 59387, 48394, 44555, 4144, 71033]"
234,"[7361, 4973, 109374, 48394, 94959, 27773, 59387, 57669, 61240, 71033]"
239,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 59387, 61240, 71033]"
283,"[7361, 48394, 4973, 109374, 5618, 4878, 94959, 180031, 79132, 1197]"
322,"[7361, 4973, 109374, 94959, 106920, 7826, 180031, 46578, 1682, 7147]"
323,"[7361, 4973, 109374, 94959, 106920, 7826, 79132, 6711, 1682, 48394]"
372,"[7361, 4973, 27773, 48394, 109374, 68237, 44555, 61240, 71033, 59387]"
378,"[7361, 79132, 109374, 48394, 4973, 48780, 94959, 106920, 7826, 7147]"
451,"[7361, 48394, 4973, 109374, 5618, 44555, 27773, 71033, 61240, 96829]"
462,"[7361, 4973, 109374, 48394, 27773, 44555, 59387, 61240, 71033, 92259]"
476,"[7361, 48394, 4973, 59387, 68237, 109374, 7826, 7147, 48082, 69951]"
492,"[7361, 4973, 48394, 109374, 27773, 44555, 61240, 71033, 89759, 96829]"
525,"[7361, 109374, 27773, 4973, 48394, 48780, 79132, 7826, 59387, 4878]"
533,"[7361, 48394, 109374, 94959, 4973, 180031, 106920, 59387, 4878, 5618]"
51,"[7361, 27773, 48394, 109374, 68237, 4973, 44555, 59387, 71033, 92259]"
116,"[7361, 109374, 68237, 4973, 27773, 59387, 44555, 48394, 71033, 92259]"
288,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 59387, 61240, 71033]"
24,"[7361, 109374, 94959, 4973, 48394, 7826, 59387, 7147, 48082, 133771]"
150,"[94070, 4973, 46578, 109374, 86882, 113275, 92259, 3021, 104374, 7826]"
425,"[7361, 4973, 109374, 94959, 48394, 48780, 7826, 79132, 180031, 1682]"
480,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 59387, 61240, 71033]"
521,"[7361, 4973, 109374, 48394, 27773, 44555, 6016, 61240, 71033, 96829]"
559,"[7361, 4973, 109374, 94959, 59387, 44555, 48394, 4144, 71033, 92259]"
573,"[7361, 109374, 68237, 27773, 4973, 48394, 44555, 71033, 61240, 59387]"
133,"[7361, 4973, 109374, 94959, 106920, 7826, 46578, 7147, 6711, 1197]"
177,"[7361, 4973, 27773, 48394, 109374, 162414, 44555, 96829, 89759, 71033]"
286,"[7361, 59387, 68237, 4973, 27773, 48394, 44555, 4144, 61240, 71033]"
332,"[7361, 2997, 1682, 4973, 4878, 109374, 94959, 106920, 133771, 79132]"
381,"[7361, 27773, 109374, 68237, 4973, 48394, 44555, 59387, 4144, 71033]"
387,"[7361, 4973, 109374, 94959, 48394, 44555, 27773, 61240, 59387, 71033]"
402,"[7361, 2997, 133771, 106920, 4878, 4973, 109374, 94959, 79132, 1682]"
404,"[7361, 59387, 4973, 68237, 109374, 48394, 133771, 106920, 180031, 79132]"
453,"[7361, 109374, 94959, 4973, 48394, 7826, 106920, 59387, 180031, 79132]"
464,"[7361, 4973, 109374, 94959, 106920, 59387, 48394, 7826, 46578, 180031]"
534,"[7361, 109374, 94959, 48394, 4973, 27773, 44555, 61240, 71033, 6016]"
588,"[7361, 109374, 94959, 106920, 133771, 4973, 4878, 6711, 1682, 2997]"
6,"[7361, 109374, 68237, 4973, 27773, 59387, 48394, 7826, 133771, 79132]"
28,"[7361, 109374, 27773, 4973, 48394, 44555, 6016, 61240, 71033, 89759]"
46,"[7361, 109374, 94959, 4973, 7826, 106920, 46578, 1682, 79132, 6711]"
64,"[7361, 4973, 109374, 94959, 7826, 1682, 7147, 59387, 48082, 133771]"
103,"[7361, 109374, 94959, 4973, 48394, 48780, 79132, 7826, 59387, 7147]"
160,"[7361, 109374, 94959, 4973, 27773, 44555, 48394, 71033, 61240, 6016]"
215,"[7361, 4973, 109374, 94959, 106920, 133771, 79132, 48394, 1682, 4878]"
220,"[7361, 109374, 68237, 4973, 27773, 48780, 48394, 44555, 79132, 71033]"
391,"[7361, 109374, 94959, 4973, 7826, 106920, 59387, 92259, 57669, 44555]"
418,"[7361, 4973, 109374, 48394, 27773, 44555, 4144, 71033, 61240, 59387]"
435,"[4973, 7361, 109374, 48394, 7826, 7147, 94959, 1197, 5618, 86882]"
437,"[7361, 4973, 109374, 106920, 94959, 180031, 133771, 79132, 48394, 1682]"
555,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 92259, 61240, 71033]"
562,"[7361, 4973, 27773, 109374, 48394, 94959, 44555, 61240, 59387, 4144]"
587,"[7361, 109374, 94959, 4973, 7826, 46578, 1682, 7147, 46976, 59387]"
313,"[27773, 7361, 4973, 48394, 44555, 6016, 109374, 61240, 68237, 71033]"
361,"[7361, 27773, 4973, 48780, 4878, 109374, 48394, 68237, 44555, 59387]"
362,"[7361, 109374, 94959, 4973, 48394, 7826, 79132, 59387, 180031, 7147]"
438,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 59387, 61240, 71033]"
469,"[7361, 48394, 27773, 4973, 109374, 68237, 44555, 6016, 57669, 59387]"
45,"[7361, 109374, 68237, 4973, 27773, 7826, 48394, 59387, 57669, 44555]"
202,"[7361, 4973, 109374, 94959, 7826, 46578, 1682, 106920, 59387, 133771]"
235,"[59387, 7361, 27773, 4973, 44555, 48394, 109374, 68237, 61240, 71033]"
279,"[7361, 4973, 109374, 48394, 94959, 7826, 59387, 180031, 48082, 133771]"
368,"[7361, 27773, 4973, 48394, 109374, 68237, 44555, 61240, 71033, 59387]"
395,"[7361, 109374, 94959, 27773, 4973, 48780, 48394, 7826, 59387, 133771]"
494,"[48394, 7826, 66097, 59387, 61240, 7147, 180031, 29, 56339, 5618]"
498,"[7361, 109374, 48394, 4973, 48780, 112552, 79132, 1682, 7826]"
536,"[7361, 27773, 4973, 4226, 6016, 48394, 109374, 79132, 44555, 92259]"
586,"[7361, 4973, 109374, 48394, 27773, 7826, 94959, 59387, 44555, 92259]"
603,"[7361, 48394, 27773, 4973, 109374, 94959, 59387, 57669, 7826]"
608,"[7361, 4973, 48394, 109374, 94959, 59387, 7826, 180031, 79132]"
140,"[7361, 27773, 4973, 109374, 48394, 44555, 68237, 71033, 61240, 92259]"
264,"[59387, 68237, 92259, 27773, 4973, 7826, 44555, 109374, 61240, 48780]"
1,"[7361, 27773, 48780, 4973, 4226, 48394, 44555, 6016, 71033, 61240]"
294,"[7361, 109374, 94959, 4973, 7826, 106920, 1682, 7147, 59387, 180031]"
606,"[7361, 27773, 4973, 109374, 48394, 68237, 44555, 59387, 71033, 92259]"
42,"[7361, 109374, 68237, 4973, 27773, 48394, 44555, 61240, 71033, 6016]"
256,"[7361, 109374, 94959, 4973, 48780, 79132, 7826, 1682, 6711, 1197]"
590,"[7361, 109374, 94959, 4973, 7826, 106920, 59387, 57669, 133771, 180031]"
217,"[7361, 109374, 4973, 48394, 94959, 59387, 7826, 133771]"
353,"[7361, 27773, 109374, 4973, 48780, 48394, 4878, 59387, 44555, 57669]"
365,"[7361, 48394, 27773, 4973, 109374, 79132, 6016, 44555, 5618, 133771]"
373,"[7361, 48394, 109374, 68237, 4973, 59387, 4878, 7826, 2997, 1682]"
380,"[7361, 48394, 109374, 94959, 59387, 4973, 57669, 7826, 133771]"
199,"[7361, 109374, 94959, 4973, 48394, 48780, 27773, 7826, 59387, 92259]"
58,"[7361, 109374, 68237, 4973, 27773, 59387, 44555, 48394, 71033, 133771]"
68,"[7361, 4973, 48394, 27773, 44555, 6016, 5618, 71033, 89759, 96829]"
107,"[44555, 71033, 31364, 96829, 44555, 71033, 31364, 96829, 44555, 71033]"
134,"[44555, 48516, 80463, 27773, 109374, 4973, 48780, 7361, 48394, 79132]"
176,"[7361, 109374, 106920, 162414, 4973, 133771, 112183, 57669, 1682, 46578]"
240,"[7361, 27773, 4973, 48780, 48394, 4878, 44555, 6016, 59387, 71033]"
