userId,itemIds
78,"[4306, 1197, 8961, 2, 1580, 367, 673, 2617, 364, 344]"
82,"[296, 318, 2959, 58559, 79132, 2571, 593, 858, 1213, 48516]"
121,"[6377, 4306, 8961, 4886, 586, 364, 588, 500, 2, 367]"
144,"[318, 296, 2959, 858, 58559, 2571, 1213, 593, 47, 50]"
186,[]
232,"[318, 296, 2959, 858, 58559, 79132, 2571, 593, 47, 48516]"
234,"[2791, 231, 344, 3868, 5541, 54503, 8641, 60756, 4816, 1517]"
239,"[318, 296, 2959, 858, 58559, 79132, 2571, 593, 47, 48516]"
283,"[4306, 1197, 4886, 551, 2291, 8961, 66097, 7147, 2124, 837]"
322,[]
