userId,itemIds,runNumber
78,"[8961, 2572, 2153, 8464]",2
82,"[41, 71, 225, 1137, 3655]",2
121,"[6377, 4954, 27619, 1246, 8360]",2
144,"[78499, 8, 492, 1476]",2
186,"[78499, 195, 28, 334]",2
232,"[17, 78499, 1206, 2297, 4368]",2
234,"[78499, 141, 38038, 1770, 3240]",2
239,"[3, 17, 5782, 1171]",2
283,"[8961, 7361, 7147, 1197]",2
322,"[78499, 4, 464]",2
323,"[27619, 318, 1307, 457, 1197]",2
372,"[78499, 41, 63, 1028]",2
378,"[6377, 1307, 2791, 1197, 8961]",2
451,"[6377, 318, 27619]",2
462,"[1028, 2529, 775, 1202, 300]",2
476,"[27619, 1197, 1198, 1270, 1246]",2
492,"[78499, 40, 653, 1449, 6184]",2
525,"[5, 233, 1252, 2333, 110]",2
533,"[27619, 4308, 6377, 5991, 4886]",2
51,"[76, 724, 904, 2395]",2
116,"[1197, 318, 27619, 1682, 480]",2
288,"[2, 100, 1095, 2161, 3060]",2
24,"[1197, 2005, 86882, 7147, 5103]",2
150,"[56587, 1784, 94070, 7149, 140110]",2
425,"[4, 3, 356, 795, 1147]",2
480,"[21, 69, 237, 3, 94]",2
521,"[94070, 1172, 2028, 1784, 318]",2
559,"[3450, 307, 531, 508, 1031]",2
573,"[8, 238, 1204, 1343]",2
133,"[88810, 78499, 3554, 6377, 97921]",2
177,"[4, 904, 933, 1934, 2991]",2
286,"[4, 1126, 220, 1670]",2
332,"[4, 166, 38038, 1283, 3174]",2
381,"[39, 918, 2066, 1922]",2
387,"[17, 4, 45728, 1095, 3550]",2
402,"[47099, 231, 97921, 367, 3175]",2
404,"[47099, 6942, 4954, 8533, 2762]",2
453,"[4, 17, 63, 101]",2
464,"[1197, 5103, 46578, 318, 2005]",2
534,"[4, 36, 538]",2
588,"[47099, 318, 97921, 296, 6942]",2
6,"[28, 596, 674, 552, 605]",2
28,"[357, 21, 1279]",2
46,"[1013, 2858, 39, 1777, 296]",2
64,"[36, 173, 346, 736, 2146]",2
103,"[198, 57, 2132, 2184, 3506]",2
160,"[16, 198, 39, 837]",2
215,"[1197, 7361, 318, 4973, 593]",2
220,"[5, 16, 1042, 1055]",2
391,"[5, 62, 85, 2395, 5613]",2
