userId,itemIds,runNumber
78,"[2761, 4973, 59387, 110501, 77455]",4
82,"[59387, 71033, 44555, 89759]",4
121,"[74553, 117444, 4973, 59387, 6773]",4
144,"[59387, 4973, 7826, 46578]",4
186,"[59387, 4973, 71033, 44555]",4
232,"[59387, 71033, 44555, 89759]",4
234,"[59387, 4973, 74553, 57669]",4
239,"[4973, 59387, 57669, 7361]",4
283,"[59387, 117444, 4973, 48394, 7361]",4
322,"[4973, 59387, 57669, 71033]",4
323,"[4973, 7361, 59387, 57669]",4
372,"[59387, 4973, 71033, 61240]",4
378,"[74553, 117444, 4973, 59387, 152970]",4
451,"[74553, 4973, 59387, 89759, 6773]",4
462,"[82, 775, 1202, 3183, 5106]",4
476,"[59387, 117444, 74553, 59387, 39381]",4
492,"[314, 59387, 89759, 4973, 44555]",4
525,"[59387, 71033, 89759, 44555, 86781]",4
533,"[6773, 4973, 59387]",4
51,"[59387, 71033, 44555]",4
116,"[59387, 74553, 4973]",4
288,"[1175, 6376, 6442, 6436]",4
24,"[38061, 59387, 152970]",4
150,"[1238, 1188, 6867, 94959]",4
425,"[1719, 4144, 59387, 7361]",4
480,"[57669, 59387, 71033, 44555]",4
521,"[1238, 4144, 1178, 6818]",4
559,"[4144, 59387, 7361, 44555]",4
573,"[59387, 74553, 6773]",4
133,"[162414, 117444, 95558]",4
177,"[233, 1180, 178, 563, 3094]",4
286,"[4144, 59387, 71033, 61240]",4
332,"[4144, 59387, 71033, 89759]",4
381,"[4144, 59387, 71033, 44555]",4
387,"[4144, 5073, 7307, 4074]",4
402,"[4144, 7361, 59387]",4
404,"[4144, 59387, 44555, 4973, 73344]",4
453,"[4144, 59387, 71033, 44555]",4
464,"[4144, 94959, 7361, 59387]",4
534,"[4144, 7361, 59387, 71033]",4
588,"[4144, 7361, 59387]",4
6,"[59387, 71033, 44555]",4
28,"[233, 904, 1279, 2210]",4
46,"[6867, 57669, 59387, 152970]",4
64,"[1111, 1117, 3196, 3206, 3192]",4
103,"[931, 951, 1187, 3506]",4
160,"[59387, 57669, 71033, 44555]",4
215,"[4144, 7361, 59387]",4
220,"[6867, 57669, 59387, 71033]",4
391,"[59387, 71033, 44555, 89759]",4
