userId,itemIds,runNumber
78,"[8360, 1197, 8961, 94777, 5103]",3
82,"[41, 71, 225, 775, 3301]",3
121,"[6377, 4954, 837, 1246, 4886]",3
144,"[27619, 5103, 837, 1197, 2005]",3
186,"[6377, 17, 1197, 8961, 539]",3
232,"[17, 78499, 21, 116, 1206]",3
234,"[8360, 8961, 1197, 1198, 6377]",3
239,"[3, 17, 1171]",3
283,"[6377, 1197, 7361, 7147]",3
322,"[8360, 6942, 8961, 4954, 1197]",3
323,"[6377, 318, 1307, 457, 109374]",3
372,"[3114, 27619, 1197, 8961, 356]",3
378,"[6377, 8360, 1197, 4886, 1265]",3
451,"[6377, 27619, 1197, 134853]",3
462,[],3
476,"[6377, 50601, 3671, 2268]",3
492,"[27619, 527, 1197, 318, 4973]",3
525,"[1197, 318, 8961, 48516, 109374]",3
533,"[27619, 6377, 8360, 1197, 595]",3
51,"[58559, 1197, 318, 2571, 2762]",3
116,"[1197, 318, 7826, 1682, 48780]",3
288,"[1682, 1197, 318, 27619]",3
24,"[1197, 4954, 2716, 2005, 1270]",3
150,"[56587, 1784, 94070, 7149, 140110]",3
425,"[4, 3, 356, 795, 1147]",3
480,"[21, 69, 237, 3, 94]",3
521,"[1265, 318, 2028, 1784, 1090]",3
559,"[1197, 97921, 86882, 4973, 46578]",3
573,"[8, 19, 238, 1204]",3
133,"[2156, 27619, 3554, 72737, 2739]",3
177,"[4, 933, 904, 2383]",3
286,"[1197, 7361, 46578, 318, 4973]",3
332,"[4, 63, 38038, 3174, 1283]",3
381,"[39, 918, 2066, 3328]",3
387,"[4, 17, 45728, 351, 1103]",3
402,"[1777, 97921, 1393, 4246, 6942]",3
404,"[3257, 1912, 457, 1393, 380]",3
453,"[3554, 1197, 47099, 5103, 7826]",3
464,"[1197, 3554, 5103, 94959, 7826]",3
534,"[4, 170401, 36, 538]",3
588,"[830, 2268, 231, 296, 3257]",3
6,"[28, 510, 596, 674, 544]",3
28,"[357, 16, 21, 2301]",3
46,"[500, 1682, 155743, 46578, 318]",3
64,"[36, 173, 346, 736, 2146]",3
103,"[198, 2184, 3146, 3506, 57]",3
160,"[16, 198, 39, 36, 837]",3
215,"[1197, 97921, 86882, 46578, 7361]",3
220,"[1197, 4954, 1682, 6378, 46578]",3
391,"[2395, 479, 85, 4912, 5613]",3
