userId,itemIds,runNumber
78,"[8360, 2572, 367, 246]",1
82,"[41, 71, 225, 171, 3655]",1
121,"[8360, 4954, 2137, 1246, 6377]",1
144,"[27619, 5103, 1197, 2]",1
186,"[6377, 17, 1197, 1682, 86882]",1
232,"[3114, 7579, 296, 6870, 318]",1
234,"[8360, 4954, 1197, 8961]",1
239,"[8360, 1307, 457, 141, 733]",1
283,"[4886, 8533, 2291, 6377, 7147]",1
322,"[8360, 1477, 837, 46578]",1
323,"[8961, 318, 1307, 457, 1197]",1
372,"[3114, 27619, 1197, 8961, 356]",1
378,"[8360, 1197, 4886, 1265, 8961]",1
451,"[6377, 27619, 134853, 318]",1
462,"[78499, 82, 300, 775, 2529]",1
476,"[6377, 50601, 3671, 805]",1
492,"[27619, 527, 356, 1197, 1288]",1
525,"[5, 233, 78499]",1
533,"[6377, 27619, 4886, 1197, 4308]",1
51,"[2571, 1197, 457, 724, 7361]",1
116,"[3006, 17, 2006, 1625]",1
288,"[179401, 4954, 1197, 1682, 1641]",1
24,"[3104, 6659, 1197, 2005, 1270]",1
150,"[56587, 94070, 1784, 140110, 7149]",1
425,"[3450, 4, 356, 343, 1147]",1
480,"[21, 237, 94, 101, 1046]",1
521,"[1784, 318, 2028, 3450]",1
559,"[3450, 43, 307, 531, 613]",1
573,"[8, 1343, 1328]",1
133,"[2156, 27619, 1477, 48, 2154]",1
177,"[4, 63, 85, 93]",1
286,"[1678, 1271, 2291, 2908, 1183]",1
332,"[1477, 69, 1682, 2761, 318]",1
381,"[39, 1129, 2066, 2290, 2316]",1
387,"[4, 17, 1095]",1
402,"[1777, 39, 141, 1393, 367]",1
404,"[830, 165, 3248, 1183, 837]",1
453,"[3554, 1197, 2908, 1682, 5103]",1
464,"[3554, 5103, 261, 1639]",1
534,"[4, 36, 5378, 1891]",1
588,"[830, 231, 1912, 141]",1
6,"[28, 580, 544, 11, 552]",1
28,"[357, 466, 1279]",1
46,"[1013, 1678, 39, 1569, 261]",1
64,"[36, 346, 736, 2146]",1
103,"[1707, 457, 8533, 46578, 1197]",1
160,"[36, 39, 198, 837]",1
215,"[1197, 6711, 1682, 97921, 1258]",1
220,"[934, 1213, 784, 7147, 1013]",1
391,"[5, 62, 85, 2395]",1
