userId,itemIds,top-10 scores
554,"[1233, 14, 866, 1134, 435, 949, 106, 1041, 121, 343]","[0.061168097, 0.059284855, 0.05792721, 0.057019632, 0.052562013, 0.052126154, 0.05079061, 0.050354738, 0.048019025, 0.047763187]"
346,"[346, 507, 1606, 824, 863, 857, 1403, 770, 342, 455]","[0.06359943, 0.058582928, 0.056613207, 0.056573767, 0.05489862, 0.054881778, 0.049006626, 0.04859701, 0.04783749, 0.04517384]"
854,"[45, 777, 183, 636, 1575, 1166, 1370, 346, 812, 1068]","[0.05085069, 0.049268384, 0.048963625, 0.045681864, 0.045516398, 0.044106863, 0.043267913, 0.042870875, 0.042719413, 0.040837005]"
436,"[690, 288, 1517, 1195, 34, 1272, 1061, 166, 404, 1544]","[0.052143306, 0.05157897, 0.05127135, 0.050358325, 0.049927246, 0.0491735, 0.04860948, 0.04860654, 0.048326854, 0.047554232]"
708,"[780, 1214, 598, 873, 503, 1174, 61, 687, 731, 1028]","[0.04821178, 0.04701148, 0.04658128, 0.044905815, 0.043990046, 0.042591356, 0.04240331, 0.042090874, 0.04203029, 0.041516278]"
249,"[972, 266, 98, 376, 1053, 481, 28, 1061, 1453, 121]","[0.061091915, 0.059694514, 0.058537997, 0.056466334, 0.04926062, 0.048832815, 0.04830396, 0.04769774, 0.04766096, 0.046984002]"
370,"[569, 147, 831, 173, 31, 700, 508, 876, 847, 255]","[0.05654697, 0.055020258, 0.05292659, 0.04972176, 0.049471546, 0.049125772, 0.048537564, 0.0464359, 0.045339894, 0.04493226]"
890,"[133, 667, 1197, 1008, 719, 1, 433, 739, 98, 603]","[0.05933143, 0.058849033, 0.05509441, 0.054205306, 0.054076098, 0.05405839, 0.05392452, 0.053293694, 0.052206974, 0.051862106]"
860,"[1642, 463, 1201, 1678, 287, 747, 1060, 745, 1431, 713]","[0.057126623, 0.055095688, 0.054609, 0.05271677, 0.04980845, 0.04919894, 0.048559666, 0.047671124, 0.04755781, 0.04722591]"
411,"[539, 222, 182, 411, 129, 1074, 1202, 269, 318, 193]","[0.06339392, 0.06255739, 0.057575617, 0.056032307, 0.05547834, 0.054388512, 0.054048736, 0.0528513, 0.05193563, 0.051787354]"
311,"[1393, 506, 597, 340, 1488, 546, 55, 71, 993, 1225]","[0.061447266, 0.047985956, 0.046878755, 0.04662631, 0.04630765, 0.045086805, 0.044284504, 0.044081226, 0.044006288, 0.043813482]"
334,"[210, 246, 174, 1086, 144, 685, 272, 298, 276, 569]","[0.069904424, 0.056989916, 0.053392287, 0.052466445, 0.04829089, 0.04805567, 0.047604386, 0.047146045, 0.046452045, 0.045868456]"
931,"[312, 946, 1254, 626, 1055, 25, 801, 989, 15, 277]","[0.062415067, 0.0593302, 0.05486616, 0.054768212, 0.053060252, 0.050882213, 0.04987318, 0.049867783, 0.04815478, 0.048151314]"
425,"[742, 529, 240, 451, 127, 2, 90, 358, 17, 1305]","[0.06071119, 0.05532771, 0.0517726, 0.04972198, 0.049251877, 0.048740212, 0.04750765, 0.046760444, 0.046417713, 0.04574812]"
577,"[103, 708, 371, 196, 1625, 1640, 1147, 1287, 1042, 1603]","[0.067239836, 0.06136597, 0.057977553, 0.05761772, 0.0562019, 0.04904674, 0.04849791, 0.047529284, 0.046975818, 0.045749944]"
416,"[546, 76, 13, 739, 79, 276, 1674, 1067, 1561, 318]","[0.07210329, 0.060405202, 0.058914103, 0.057455573, 0.05387085, 0.053849913, 0.053450882, 0.053050157, 0.05058777, 0.04853661]"
83,"[846, 477, 239, 146, 1099, 924, 423, 1358, 1111, 957]","[0.06463585, 0.06377636, 0.054975566, 0.05478665, 0.05391779, 0.05239802, 0.049274206, 0.0484341, 0.04823876, 0.047673296]"
303,"[748, 1070, 715, 651, 89, 854, 762, 1047, 1292, 1580]","[0.056816842, 0.056585394, 0.054105923, 0.052286673, 0.05063446, 0.049644228, 0.049619965, 0.049250618, 0.04870235, 0.048583288]"
757,"[232, 679, 222, 121, 288, 143, 53, 794, 690, 742]","[0.0801037, 0.06205636, 0.05650554, 0.056492224, 0.05512946, 0.05494634, 0.054571424, 0.052740782, 0.05267058, 0.050945934]"
234,"[417, 207, 445, 956, 573, 1007, 1516, 1047, 223, 163]","[0.06803818, 0.061719444, 0.060768005, 0.05566949, 0.05403753, 0.05235629, 0.052302577, 0.05167313, 0.051102124, 0.049963377]"
463,"[864, 472, 619, 422, 310, 1370, 1045, 150, 690, 1627]","[0.062187966, 0.058767557, 0.055772454, 0.053930014, 0.04956256, 0.049018767, 0.048633922, 0.048339974, 0.048238903, 0.04796617]"
647,"[225, 1047, 1016, 894, 1658, 1636, 1282, 292, 696, 427]","[0.05449067, 0.0507524, 0.04986594, 0.04863364, 0.047865026, 0.047179792, 0.046010062, 0.04556311, 0.044760164, 0.044728402]"
758,"[218, 1606, 847, 185, 31, 1401, 1650, 196, 357, 328]","[0.06034424, 0.058701623, 0.05691405, 0.055421963, 0.054734476, 0.053733647, 0.053030357, 0.05207378, 0.051242087, 0.0498731]"
336,"[718, 826, 134, 201, 1111, 738, 461, 1038, 546, 551]","[0.068637975, 0.056640465, 0.054459255, 0.04762466, 0.045673978, 0.04487399, 0.04429106, 0.04408596, 0.043638382, 0.043282066]"
233,"[1291, 300, 327, 305, 682, 632, 524, 990, 1488, 1242]","[0.058953427, 0.054046463, 0.05399003, 0.052956317, 0.051541254, 0.049853988, 0.048988357, 0.048549466, 0.0476454, 0.04729764]"
655,"[929, 129, 382, 709, 6, 208, 443, 1061, 505, 187]","[0.063982174, 0.061074555, 0.059453793, 0.05870032, 0.057452727, 0.053501446, 0.052873056, 0.05274251, 0.05120155, 0.050619457]"
269,"[211, 508, 367, 182, 205, 527, 1040, 436, 13, 599]","[0.058441736, 0.05707572, 0.056315076, 0.05550228, 0.054099683, 0.05374027, 0.05364135, 0.051773004, 0.0516318, 0.05036251]"
397,"[1570, 1340, 1217, 579, 504, 99, 312, 553, 204, 1180]","[0.0664172, 0.057482265, 0.05738433, 0.05387279, 0.05252444, 0.050799713, 0.050728943, 0.049248595, 0.048517015, 0.048469733]"
304,"[581, 373, 1291, 322, 925, 418, 341, 434, 1373, 1119]","[0.057618655, 0.053356167, 0.049048312, 0.047873333, 0.047249675, 0.04601932, 0.044523615, 0.043826073, 0.043480862, 0.04335087]"
495,"[1492, 616, 484, 487, 1466, 289, 546, 318, 165, 1199]","[0.066215314, 0.057043552, 0.05492299, 0.053328015, 0.051407088, 0.051303577, 0.050068155, 0.048967063, 0.04862033, 0.044554293]"
788,"[848, 476, 76, 554, 566, 28, 205, 472, 611, 300]","[0.06552481, 0.05733602, 0.056948584, 0.048299447, 0.047579553, 0.047004, 0.04697734, 0.046405848, 0.045440458, 0.04536301]"
232,"[671, 1258, 735, 122, 12, 1251, 304, 285, 1553, 1493]","[0.06176754, 0.058449797, 0.054776013, 0.05109982, 0.05085204, 0.046178833, 0.04515175, 0.04397077, 0.04325336, 0.04288911]"
167,"[1446, 1306, 116, 1045, 1059, 119, 1280, 206, 1026, 536]","[0.07080975, 0.060144346, 0.058930997, 0.056494694, 0.0563338, 0.055360723, 0.053033065, 0.052544683, 0.052536566, 0.052415993]"
913,"[476, 82, 427, 312, 621, 789, 284, 1011, 1183, 1428]","[0.074952304, 0.074477814, 0.06981432, 0.06850946, 0.06802395, 0.06753443, 0.066594705, 0.06320605, 0.06059445, 0.059710603]"
709,"[1450, 128, 282, 465, 164, 720, 121, 1028, 1681, 294]","[0.05226777, 0.046820264, 0.046081252, 0.045611106, 0.04521634, 0.044282407, 0.04352959, 0.042775277, 0.042620316, 0.04232999]"
