,itemIds,top-10 scores
1197267,"[4173, 2139, 3860, 3624, 1659, 1180, 2862, 3798, 2372, 2114]","[0.048870247, 0.048471387, 0.046645686, 0.04441248, 0.04252684, 0.04140908, 0.039228093, 0.03819758, 0.038145747, 0.03668987]"
2173758,"[3153, 1816, 3522, 77, 3276, 4098, 1853, 3623, 3282, 2698]","[0.06415103, 0.049216207, 0.046792414, 0.04648217, 0.045713868, 0.043113478, 0.042326204, 0.042141605, 0.041500106, 0.04139886]"
928303,"[993, 3990, 4072, 859, 2922, 817, 1804, 2462, 3274, 2376]","[0.05156825, 0.042629227, 0.039102145, 0.03723097, 0.03670859, 0.03561002, 0.0353878, 0.034927387, 0.03483065, 0.03480698]"
649969,"[2874, 3314, 3590, 937, 1193, 1561, 1833, 2533, 1661, 1976]","[0.048143785, 0.04666345, 0.043835737, 0.043571204, 0.04354905, 0.042807665, 0.042684745, 0.04203953, 0.04184327, 0.041598704]"
2001195,"[1615, 191, 1250, 1860, 256, 1180, 571, 406, 1408, 3905]","[0.04583618, 0.045145646, 0.041096237, 0.03948266, 0.039449334, 0.038853776, 0.03824315, 0.037973046, 0.037678253, 0.037544467]"
660175,"[2862, 3282, 956, 4141, 3301, 1373, 2470, 165, 3223, 2471]","[0.061144307, 0.048054393, 0.045666352, 0.045539863, 0.045090634, 0.044994794, 0.04473281, 0.041502364, 0.041189168, 0.041113343]"
732363,"[3368, 2680, 607, 3522, 4207, 77, 3071, 2186, 148, 1479]","[0.06717323, 0.0569704, 0.04836876, 0.0482407, 0.047120523, 0.046942934, 0.04611105, 0.04584189, 0.045550276, 0.044447854]"
820068,"[3138, 1931, 883, 55, 2135, 1795, 2199, 1771, 289, 408]","[0.056950387, 0.049746208, 0.04821723, 0.045009237, 0.043874547, 0.043749705, 0.043319803, 0.042504694, 0.039516978, 0.039425094]"
2188135,"[3890, 1336, 2751, 416, 1542, 252, 2900, 2617, 2152, 2182]","[0.058491595, 0.050358728, 0.047985245, 0.04748233, 0.04679453, 0.046327893, 0.045658447, 0.045219645, 0.04369983, 0.04363078]"
1132514,"[191, 3573, 175, 4330, 3763, 4247, 1571, 1833, 1367, 2913]","[0.049210563, 0.04703911, 0.046349112, 0.043144114, 0.04282073, 0.0395986, 0.037542675, 0.03494275, 0.034211762, 0.033890277]"
