userId,itemId
1,"[4409, 1667, 824, 198, 90945, 4410, 3272, 8511, 5568, 2318]"
2,"[3108, 26498, 6711, 50792, 4409, 4474, 39449, 105801, 26871, 5241]"
3,"[2973, 1414, 48696, 5450, 113, 198, 5241, 39449, 45672, 4994]"
4,"[4409, 198, 113, 6975, 90945, 4410, 7107, 2435, 824, 31083]"
5,"[90945, 6975, 5322, 198, 26871, 4410, 1667, 6658, 1173, 59369]"
6,"[1667, 31083, 2435, 4956, 26453, 3310, 6658, 5568, 90945, 4410]"
7,"[4410, 198, 1667, 7000, 92198, 27708, 4409, 90945, 2435, 59369]"
8,"[1594, 198, 6588, 40581, 870, 5103, 4410, 4991, 5450, 45672]"
9,"[4410, 835, 7107, 90945, 173619, 2587, 34534, 4409, 92198, 1667]"
10,"[6658, 4409, 911, 3310, 8511, 4956, 25940, 25750, 4410, 55278]"
11,"[1667, 1594, 31083, 90945, 2973, 198, 3259, 4410, 149, 418]"
12,"[90945, 493, 158398, 3272, 4409, 198, 1667, 8042, 79299, 5322]"
13,"[3310, 3873, 1031, 5103, 7107, 4410, 2057, 5209, 173619, 4193]"
14,"[198, 1667, 4410, 4956, 7000, 1594, 89, 2435, 90945, 5178]"
15,"[6658, 4410, 4409, 7107, 90945, 26453, 4956, 6588, 2435, 1594]"
16,"[2435, 4409, 6975, 4410, 90945, 26453, 1667, 55278, 8511, 5241]"
17,"[4410, 90945, 5241, 1594, 3259, 148, 3310, 149, 2435, 5568]"
18,"[90945, 6658, 4956, 4409, 1667, 4410, 7107, 4474, 8511, 105801]"
19,"[1667, 90945, 4956, 4410, 2435, 8511, 1594, 4156, 27193, 31083]"
20,"[198, 1179, 31083, 4410, 2587, 3453, 4956, 43919, 113, 6975]"
21,"[4409, 90945, 6658, 4956, 418, 4410, 3310, 8511, 2435, 26453]"
22,"[4956, 90945, 31083, 5241, 4409, 45672, 5322, 2973, 43919, 3310]"
23,"[3310, 26453, 2435, 90945, 6658, 2318, 5209, 4956, 4410, 126]"
24,"[4409, 90945, 6658, 4410, 7107, 3259, 5241, 2435, 7839, 26453]"
25,"[4409, 3310, 75, 7107, 5103, 4410, 66943, 31083, 26861, 55278]"
26,"[31083, 870, 43919, 4023, 6975, 5178, 304, 1857, 7041, 5220]"
