userId,itemId
1,"[26745, 276, 799, 7445, 85367, 2008, 1611, 5329, 2752, 2266]"
2,"[485, 26745, 7149, 4789, 2008, 1053, 70361, 2860, 7445, 3667]"
3,"[52, 26745, 7149, 6953, 3557, 1175, 7254, 99853, 47044, 78836]"
4,"[26745, 1053, 4789, 799, 81132, 3176, 1627, 6774, 140133, 102033]"
5,"[52, 57669, 38061, 1258, 3499, 60074, 69757, 26745, 5388, 3176]"
6,"[478, 132157, 1611, 33421, 799, 485, 6774, 2008, 482, 81132]"
7,"[26745, 57669, 52, 1053, 7445, 102033, 140852, 4789, 276, 3165]"
8,"[26745, 52, 276, 1053, 2266, 7228, 3087, 3837, 7149, 7445]"
9,"[7445, 3667, 3837, 4496, 26745, 799, 1053, 2008, 7381, 1500]"
10,"[4789, 26745, 2266, 6044, 2558, 7445, 2752, 7228, 1175, 3099]"
11,"[26745, 7381, 276, 1053, 7445, 3667, 6994, 2978, 1263, 7000]"
12,"[26745, 482, 81132, 2008, 1611, 2726, 3390, 276, 4848, 88129]"
13,"[455, 7000, 208, 33421, 808, 3667, 3390, 5462, 485, 4789]"
14,"[799, 3087, 26745, 7000, 1611, 2008, 2681, 6774, 4789, 485]"
15,"[2752, 1611, 4789, 478, 7000, 7228, 26745, 2726, 276, 7102]"
16,"[26745, 4789, 2266, 7228, 6994, 276, 91842, 7000, 3667, 7149]"
17,"[7228, 6994, 7149, 26745, 91842, 3099, 4789, 478, 3667, 276]"
18,"[4789, 7000, 26745, 2752, 799, 81132, 7228, 6994, 3087, 485]"
19,"[1611, 315, 482, 1627, 88129, 2008, 2752, 799, 478, 276]"
20,"[1627, 1611, 85367, 2008, 799, 88129, 482, 64, 5329, 6436]"
21,"[478, 4789, 1611, 799, 485, 4496, 2752, 132157, 5329, 7000]"
22,"[3837, 26745, 6044, 3667, 276, 2266, 7000, 2752, 7228, 4496]"
23,"[52, 60074, 7149, 26745, 7228, 478, 81132, 79702, 3481, 4789]"
24,"[26745, 7228, 3783, 4789, 2266, 3837, 7000, 5298, 3099, 2558]"
25,"[26745, 2008, 799, 3087, 455, 1053, 478, 4496, 2726, 7000]"
26,"[2134, 2978, 26745, 618, 276, 65740, 6558, 33629, 7149, 3783]"
27,"[2008, 482, 88129, 26745, 1611, 799, 2752, 4789, 478, 64]"
28,"[4789, 2752, 799, 1611, 26745, 2266, 478, 81132, 102033, 85367]"
29,"[276, 4789, 26745, 2752, 2266, 2008, 1611, 85367, 7167, 39231]"
30,"[2726, 88129, 799, 7102, 26745, 276, 4496, 2752, 2475, 478]"
31,"[276, 26745, 1053, 33421, 808, 1824, 6557, 7381, 7149, 6994]"
32,"[52, 61323, 3176, 410, 57669, 26745, 2681, 6774, 81132, 478]"
33,"[52, 26745, 3176, 6774, 81132, 478, 799, 2681, 4789, 140133]"
34,"[26745, 7000, 110541, 85367, 1611, 276, 2266, 2752, 478, 4789]"
35,"[2372, 26745, 201, 52668, 59725, 1541, 6687, 274, 65740, 7137]"
36,"[26745, 3783, 6223, 3667, 7149, 145, 201, 83976, 34450, 1500]"
37,"[26745, 478, 7381, 2752, 132157, 2265, 3087, 110541, 3099, 2385]"
38,"[26745, 3667, 276, 1053, 7228, 2266, 1257, 7381, 3099, 3837]"
39,"[26745, 2752, 478, 276, 1053, 7445, 2008, 85367, 7102, 799]"
40,"[2294, 26745, 3087, 799, 1611, 1053, 478, 3667, 7381, 485]"
41,"[26745, 7000, 4789, 2266, 2752, 808, 3837, 799, 2835, 8008]"
42,"[2266, 799, 1611, 2752, 478, 1627, 8008, 2008, 2252, 6774]"
43,"[26745, 144620, 799, 7381, 4789, 1627, 3837, 1053, 808, 1611]"
44,"[88129, 478, 315, 1611, 482, 1009, 485, 51082, 4537, 2265]"
45,"[799, 2266, 26745, 85367, 1611, 1627, 2752, 7000, 4496, 478]"
46,"[26745, 276, 7228, 7381, 7149, 52, 909, 3099, 1053, 85367]"
47,"[4789, 2752, 799, 26745, 2266, 140852, 7000, 3837, 485, 6044]"
48,"[123553, 2266, 799, 26745, 3087, 1611, 4789, 3740, 4392, 7228]"
49,"[26745, 7228, 7000, 3837, 4789, 909, 7381, 63859, 140852, 3667]"
50,"[4789, 26745, 2752, 3837, 85367, 7228, 144620, 81132, 132157, 3390]"
51,"[26745, 81132, 6774, 2752, 2266, 276, 478, 485, 2681, 2008]"
52,"[4789, 7000, 91842, 26745, 7445, 102033, 2726, 2752, 3837, 3667]"
53,"[1053, 85367, 26745, 276, 799, 81788, 71466, 2266, 4218, 74754]"
54,"[26745, 276, 1053, 52, 7149, 74754, 7381, 3948, 3099, 2266]"
55,"[7000, 799, 123553, 3740, 4975, 485, 68848, 3390, 3176, 1611]"
56,"[3667, 26745, 276, 3141, 909, 2868, 7381, 1053, 70305, 52241]"
57,"[26745, 4789, 2752, 478, 455, 88129, 81132, 6774, 132157, 799]"
58,"[26745, 276, 1053, 52, 1627, 3667, 799, 7381, 3390, 1175]"
59,"[26745, 6994, 2752, 91842, 85367, 2252, 7149, 276, 138546, 3667]"
60,"[26745, 799, 7381, 7102, 1327, 2008, 3099, 3667, 478, 2726]"
61,"[1611, 2266, 799, 132157, 7000, 45730, 4789, 123553, 6774, 64]"
62,"[4789, 7000, 799, 1611, 2752, 132157, 3837, 3667, 102033, 4498]"
63,"[4789, 478, 7000, 26745, 144620, 1611, 2752, 6994, 3837, 799]"
64,"[799, 1611, 276, 2266, 26745, 4789, 132157, 2752, 85367, 482]"
65,"[26745, 4789, 7381, 3087, 3837, 2294, 1175, 1257, 2266, 140852]"
66,"[26745, 2752, 478, 4789, 6994, 276, 2681, 2266, 102033, 455]"
67,"[1611, 26745, 85367, 543, 4496, 5329, 2266, 799, 4975, 3436]"
68,"[4789, 81132, 132157, 1627, 2752, 102033, 7000, 27549, 2266, 799]"
69,"[799, 1611, 3390, 5329, 26745, 1627, 81788, 7000, 85367, 543]"
70,"[2008, 799, 3087, 7445, 26745, 4496, 88129, 5329, 543, 1053]"
71,"[85367, 64, 26745, 276, 2752, 478, 88129, 39231, 73266, 2008]"
72,"[1611, 2008, 276, 85367, 2752, 2252, 64, 799, 26745, 2265]"
73,"[4789, 799, 7445, 91842, 4496, 3837, 2752, 3667, 4498, 26745]"
74,"[52, 26745, 57669, 81132, 2681, 140852, 4789, 3667, 7445, 60074]"
75,"[6994, 26745, 478, 7000, 4496, 7102, 2752, 2266, 7228, 132157]"
76,"[276, 2752, 7000, 6994, 3667, 799, 2726, 132157, 478, 7102]"
77,"[276, 2752, 26745, 2008, 2266, 4848, 478, 1053, 1627, 4496]"
78,"[478, 26745, 7000, 7102, 33421, 6994, 7445, 102033, 3667, 1053]"
79,"[7381, 1053, 478, 26745, 3667, 7445, 4789, 2726, 6994, 2066]"
80,"[4789, 7445, 3837, 2008, 6966, 91842, 81132, 478, 7000, 132157]"
81,"[26745, 276, 7381, 1053, 74754, 3087, 3948, 2385, 7149, 1611]"
82,"[799, 1611, 7000, 26745, 102033, 1627, 2266, 27549, 2752, 2008]"
83,"[26745, 7228, 7000, 3087, 2266, 7149, 81132, 1500, 2558, 4789]"
84,"[81132, 478, 799, 26745, 27549, 4789, 2008, 6774, 1611, 485]"
85,"[26745, 110541, 3141, 2008, 799, 4789, 1392, 1346, 7381, 276]"
86,"[26745, 2008, 799, 2266, 276, 2752, 1611, 85367, 4496, 478]"
87,"[3390, 145491, 26745, 60737, 909, 3667, 5298, 7228, 87, 1392]"
88,"[26745, 448, 52, 4789, 7445, 7228, 7149, 1500, 201, 2118]"
89,"[799, 26745, 6774, 81132, 132157, 2008, 7445, 1627, 4975, 2752]"
90,"[3176, 81132, 61323, 68157, 57669, 2681, 52, 26745, 3499, 485]"
91,"[6774, 799, 81132, 2681, 27549, 2266, 26745, 485, 276, 132157]"
92,"[3667, 7445, 4695, 600, 886, 6548, 1053, 3141, 2860, 3946]"
93,"[26745, 4789, 1053, 1627, 276, 799, 478, 1611, 132157, 482]"
94,"[26745, 276, 1053, 3087, 7381, 3667, 7149, 2266, 799, 52]"
95,"[26745, 2752, 799, 4789, 2266, 478, 1611, 276, 7000, 123553]"
96,"[478, 26745, 1611, 2008, 482, 2752, 33421, 73266, 7000, 2385]"
97,"[7000, 26745, 3390, 3837, 63859, 2266, 2835, 3667, 2455, 34450]"
98,"[3837, 4789, 7445, 3667, 3390, 7228, 4848, 26745, 140852, 8610]"
99,"[26745, 2266, 276, 1627, 2385, 799, 4496, 1053, 7381, 27473]"
100,"[26745, 1053, 799, 7000, 3667, 276, 3837, 4789, 2008, 7381]"
