userId,itemId
1,"[198, 4410, 4409, 2973, 2435, 1667, 113, 1791, 5178, 4699]"
2,"[7107, 3259, 4409, 236, 2435, 4410, 3310, 8609, 31083, 40581]"
3,"[48696, 5450, 2973, 3823, 113, 119068, 5309, 4410, 39449, 6436]"
4,"[4410, 2435, 198, 4409, 31083, 2973, 5241, 5178, 1667, 26453]"
5,"[4410, 4699, 6975, 4409, 2435, 90945, 5178, 324, 198, 1667]"
6,"[4410, 4409, 2435, 31083, 1667, 198, 2973, 26453, 4956, 3259]"
7,"[4409, 198, 4410, 1667, 1791, 2435, 92198, 121469, 4956, 26887]"
8,"[4410, 1594, 4409, 31083, 3259, 48696, 5178, 45672, 5241, 2973]"
9,"[4410, 835, 173619, 1667, 7107, 2973, 5450, 4409, 2435, 92198]"
10,"[911, 6658, 3606, 25940, 5241, 7839, 1244, 2940, 4409, 3259]"
11,"[3259, 4410, 1667, 31083, 1594, 2973, 5241, 198, 2587, 4956]"
12,"[4409, 198, 493, 31083, 999, 90945, 3896, 1791, 149, 1667]"
13,"[3310, 121097, 239, 4193, 2057, 4410, 5103, 126, 1031, 26453]"
14,"[4956, 4410, 198, 1667, 1594, 31083, 2435, 4409, 493, 26453]"
15,"[4410, 4409, 2435, 2973, 55278, 26453, 5241, 4956, 6658, 7107]"
16,"[2435, 4409, 4410, 26453, 5241, 2973, 3259, 198, 1179, 1107]"
17,"[3259, 4410, 5241, 4409, 2435, 31083, 4956, 26453, 2973, 198]"
18,"[4409, 2435, 4410, 4956, 26887, 1791, 198, 2973, 26453, 7107]"
19,"[2435, 4410, 1667, 198, 31083, 4409, 55278, 2973, 113, 4956]"
20,"[4410, 2435, 31083, 5241, 2973, 2587, 113, 1667, 4956, 198]"
21,"[4409, 26887, 2435, 4410, 1791, 26693, 4956, 7107, 105801, 3259]"
22,"[5241, 4410, 4956, 4409, 26453, 31083, 6658, 2973, 2435, 7107]"
23,"[2435, 3310, 4410, 26453, 26887, 4956, 4409, 4193, 6658, 126]"
24,"[4409, 4410, 26887, 5241, 6658, 3259, 105801, 7107, 4956, 2973]"
25,"[4409, 3310, 7107, 239, 5103, 2797, 2139, 26453, 4410, 105801]"
26,"[31083, 1857, 4410, 43919, 5178, 2435, 1550, 5220, 4722, 8131]"
27,"[4410, 2435, 4956, 198, 3259, 4409, 31083, 1667, 5241, 26453]"
28,"[4409, 4410, 2435, 4956, 5241, 7107, 2973, 31083, 198, 6658]"
29,"[3259, 4410, 2435, 4956, 5241, 4409, 26887, 189, 6658, 161032]"
30,"[3259, 4409, 2435, 4410, 3310, 2973, 5241, 26453, 4956, 8511]"
31,"[4410, 2435, 5178, 496, 26453, 4409, 113, 5241, 119068, 198]"
32,"[4410, 31083, 1667, 198, 2435, 4956, 48696, 90945, 4409, 26453]"
33,"[2435, 4409, 4410, 4956, 7107, 113, 121469, 6975, 1791, 2973]"
34,"[4410, 4956, 3259, 2435, 6658, 31083, 4409, 45672, 5322, 40581]"
35,"[324, 119068, 304, 562, 7058, 2435, 32298, 5309, 5450, 48696]"
36,"[4410, 1594, 2435, 5450, 40581, 1107, 6658, 31083, 26453, 4474]"
37,"[31083, 5178, 4410, 2973, 1667, 2435, 1179, 149, 8131, 2605]"
38,"[324, 4410, 119068, 31083, 48696, 5178, 3310, 4409, 3259, 2435]"
39,"[4410, 4409, 198, 2973, 2435, 1667, 5241, 1791, 113, 6975]"
40,"[2435, 4410, 4409, 31083, 7107, 26453, 198, 493, 55278, 2973]"
41,"[2435, 4409, 26887, 4956, 4410, 7107, 26453, 5241, 6658, 31083]"
42,"[1667, 4409, 2435, 4410, 31083, 198, 4956, 2973, 26887, 2587]"
43,"[4410, 4409, 31083, 2435, 26453, 5178, 198, 121469, 7107, 45672]"
44,"[1667, 26693, 3259, 4956, 198, 1791, 26887, 4410, 340, 2435]"
45,"[4410, 2435, 4409, 198, 31083, 4956, 1667, 2973, 5241, 1791]"
46,"[324, 31083, 4410, 43919, 69304, 5178, 4722, 2435, 45672, 8131]"
47,"[4409, 4410, 2435, 4956, 7107, 31083, 2973, 26453, 5241, 26887]"
48,"[4409, 2435, 533, 418, 2143, 55278, 105801, 7826, 177, 6527]"
49,"[26887, 8131, 4956, 198, 3259, 26453, 6658, 2435, 27193, 4409]"
50,"[2435, 4956, 4410, 4409, 6658, 5241, 31083, 3259, 26453, 26887]"
51,"[2435, 4410, 4409, 198, 4956, 3259, 1667, 31083, 2973, 5241]"
52,"[4409, 4410, 5241, 2435, 6658, 4956, 2973, 7107, 198, 26453]"
53,"[170, 31083, 4956, 198, 1667, 1791, 418, 26887, 2587, 40581]"
54,"[324, 43919, 5450, 8131, 2973, 492, 40581, 4410, 113, 39449]"
55,"[198, 4409, 90945, 4956, 26887, 1791, 31083, 26693, 1667, 7107]"
56,"[31083, 4410, 4409, 2435, 198, 493, 2973, 5178, 1667, 1594]"
57,"[4410, 2435, 4409, 198, 1667, 4956, 31083, 2973, 26453, 1791]"
58,"[198, 4410, 4409, 493, 31083, 2435, 1667, 92198, 90945, 5178]"
59,"[4410, 2435, 2973, 4409, 5241, 1594, 31083, 3823, 6658, 5450]"
60,"[7107, 640, 113, 2973, 4409, 4506, 352, 26453, 66943, 48696]"
61,"[4410, 2435, 4956, 31083, 6658, 4994, 5241, 26453, 3259, 1453]"
62,"[4409, 2435, 6658, 4410, 5241, 4956, 3259, 26887, 31083, 2973]"
63,"[4409, 2435, 4410, 3259, 4956, 26887, 5241, 26453, 6658, 198]"
64,"[4410, 2435, 4409, 198, 31083, 4956, 2973, 1667, 3259, 1791]"
65,"[4956, 26887, 4409, 4506, 4410, 6658, 7107, 1667, 3259, 1244]"
66,"[4409, 4410, 2435, 2973, 31083, 3259, 4956, 1791, 198, 7107]"
67,"[4409, 4410, 198, 26887, 4956, 2435, 189, 1791, 26453, 5390]"
68,"[4410, 2435, 4409, 4956, 31083, 3259, 5241, 6658, 2973, 198]"
69,"[4409, 4410, 5241, 198, 2973, 2435, 31083, 26453, 55294, 27328]"
70,"[2435, 5241, 4409, 4410, 31083, 2973, 26453, 6658, 82093, 5178]"
71,"[5450, 4410, 1667, 4994, 39449, 2973, 5178, 5241, 1594, 2435]"
72,"[4410, 2435, 4409, 5241, 3259, 2973, 198, 5178, 5450, 1594]"
73,"[4409, 2435, 6658, 2973, 26887, 4956, 5241, 4410, 7107, 1791]"
74,"[2435, 4410, 4956, 26453, 5241, 6658, 1667, 31083, 7107, 4409]"
75,"[2435, 4409, 4410, 26453, 5241, 2973, 31083, 7107, 198, 1791]"
76,"[2435, 4410, 5241, 3259, 4409, 31083, 198, 26453, 4956, 173619]"
77,"[4409, 7107, 5241, 4410, 26887, 4506, 2435, 3259, 4994, 189]"
78,"[2435, 198, 2587, 4409, 4410, 1667, 4956, 5178, 2973, 1791]"
79,"[4410, 5241, 4409, 3259, 2973, 31083, 189, 198, 8609, 2977]"
80,"[4956, 2435, 4409, 26887, 3259, 4410, 31083, 7107, 6658, 5241]"
81,"[5178, 4410, 149, 2973, 2435, 4409, 1594, 31083, 5450, 27]"
82,"[4410, 4409, 2435, 4956, 31083, 1667, 198, 7107, 26887, 26453]"
83,"[2435, 4409, 4410, 5241, 6658, 3259, 2973, 26453, 4193, 26887]"
84,"[4409, 2435, 4410, 31083, 26453, 198, 2973, 7107, 5241, 4956]"
85,"[7107, 2435, 4409, 4410, 26453, 5241, 3259, 2973, 3310, 1244]"
86,"[4409, 5241, 198, 2973, 4410, 26453, 6658, 4956, 31083, 5178]"
87,"[2435, 6658, 342, 4410, 7839, 6711, 5450, 116897, 1791, 1464]"
88,"[4409, 26887, 7107, 4410, 26453, 418, 31083, 4956, 3310, 198]"
89,"[4409, 2435, 4410, 4956, 31083, 198, 121469, 7107, 1791, 5241]"
90,"[2435, 340, 4409, 1791, 66544, 3130, 26453, 90945, 2973, 1667]"
91,"[4410, 4409, 2435, 31083, 4956, 198, 2973, 1667, 5241, 1791]"
92,"[4410, 4956, 2435, 173619, 1772, 152970, 8016, 2463, 5241, 6658]"
93,"[198, 4409, 4410, 1667, 31083, 5178, 4956, 2973, 121469, 92198]"
94,"[4409, 31083, 4410, 5178, 2973, 492, 2435, 493, 198, 1594]"
95,"[4956, 1667, 2435, 4409, 4410, 6658, 198, 31083, 1244, 7107]"
96,"[4410, 4409, 198, 2973, 48696, 5241, 189, 5450, 2435, 3259]"
97,"[3259, 5322, 4410, 215, 5241, 6658, 2435, 3823, 1816, 4474]"
98,"[4409, 4410, 2435, 26887, 4956, 26453, 55278, 7107, 3259, 6658]"
99,"[4410, 6975, 5322, 31083, 1414, 4409, 69304, 1667, 43919, 198]"
100,"[4410, 2435, 4409, 1791, 31083, 4956, 1667, 198, 2973, 7107]"
101,"[198, 1667, 4409, 2973, 4410, 4956, 4699, 1791, 82093, 2435]"
102,"[31083, 4410, 198, 1667, 2435, 1594, 5568, 26453, 4409, 6975]"
103,"[4409, 2435, 4410, 5241, 2973, 6658, 4956, 3259, 7107, 31083]"
104,"[4410, 2435, 4409, 2973, 31083, 5241, 4699, 6658, 3259, 4956]"
105,"[2435, 4956, 4409, 4410, 5241, 26887, 3259, 7107, 26453, 6658]"
106,"[3606, 6658, 3259, 2435, 8609, 5241, 4409, 1244, 3194, 7839]"
107,"[4410, 1667, 31083, 5178, 173619, 3259, 2435, 198, 27193, 2252]"
108,"[2435, 2973, 5241, 4409, 4410, 4474, 6658, 31083, 3130, 7107]"
109,"[2435, 4409, 2973, 31083, 4410, 1667, 198, 7107, 113, 26453]"
110,"[4410, 2973, 1667, 48696, 4506, 173619, 493, 4409, 5241, 2435]"
111,"[2435, 4410, 4956, 4409, 6658, 31083, 5241, 3259, 7107, 26887]"
112,"[4410, 31083, 493, 2587, 5241, 40581, 2435, 2973, 198, 8131]"
113,"[4409, 4410, 2435, 4956, 90945, 26887, 26453, 198, 7107, 2973]"
114,"[3259, 2435, 5241, 3580, 6658, 3194, 3453, 81791, 5322, 340]"
115,"[2435, 4410, 31083, 198, 2973, 1667, 1791, 4409, 4699, 4956]"
116,"[4410, 2435, 1667, 26453, 4409, 2973, 48696, 5241, 5322, 45672]"
117,"[198, 4410, 4409, 1667, 2435, 31083, 493, 26453, 4956, 90945]"
118,"[4409, 4410, 2435, 45672, 31083, 6658, 5241, 26453, 26887, 496]"
119,"[26887, 4409, 4956, 4410, 2435, 198, 3259, 105801, 26693, 6658]"
120,"[48696, 5178, 5450, 4410, 5241, 2973, 39449, 3823, 536, 1428]"
121,"[31083, 2435, 119068, 324, 1594, 1667, 2587, 493, 69304, 26453]"
122,"[2435, 4410, 4409, 2973, 4956, 31083, 5241, 6658, 26887, 3259]"
123,"[4409, 7107, 2435, 26887, 4410, 26453, 198, 5241, 4956, 6588]"
124,"[4410, 5241, 4409, 2973, 5178, 2435, 173619, 198, 493, 1667]"
125,"[2435, 4409, 4956, 4410, 26887, 31083, 198, 6658, 5241, 26453]"
126,"[5178, 324, 4410, 31083, 1594, 8131, 2973, 5450, 4722, 1816]"
127,"[1667, 2973, 2435, 198, 3020, 3453, 7107, 4506, 4956, 6711]"
128,"[2435, 56333, 198, 4410, 2973, 1667, 3130, 55278, 31083, 4409]"
129,"[4410, 4409, 198, 4956, 5241, 1791, 2435, 31083, 90945, 121469]"
130,"[324, 31083, 4410, 5178, 4774, 8131, 5220, 1667, 119068, 27193]"
131,"[2435, 4410, 4409, 26453, 3259, 31083, 5241, 4956, 5450, 26887]"
132,"[4409, 2435, 4410, 4956, 26453, 7107, 31083, 5241, 2973, 26887]"
133,"[4410, 31083, 493, 27193, 59369, 4409, 1594, 4956, 5241, 5178]"
134,"[324, 2435, 31083, 43919, 4410, 5178, 2587, 8131, 5220, 119068]"
135,"[4410, 198, 2973, 2435, 4409, 1667, 31083, 1791, 4699, 2587]"
136,"[4409, 31083, 4410, 2435, 198, 324, 493, 119068, 6975, 1667]"
137,"[4409, 4410, 2435, 2973, 1791, 198, 4699, 26693, 26887, 1667]"
138,"[4409, 387, 330, 113, 2435, 7107, 4410, 121469, 1791, 493]"
139,"[4409, 2435, 4410, 4956, 26453, 7107, 26887, 1791, 5241, 55278]"
140,"[4410, 2435, 4956, 4409, 198, 31083, 5241, 26887, 2973, 1667]"
141,"[4410, 2435, 4409, 2973, 5241, 6658, 3259, 4956, 198, 31083]"
142,"[324, 31083, 69304, 43919, 5241, 4956, 198, 1667, 4410, 119068]"
143,"[4956, 911, 4409, 2435, 4699, 4410, 1791, 1179, 55278, 2973]"
144,"[2435, 4410, 4409, 31083, 2973, 5241, 5178, 4956, 1594, 198]"
145,"[324, 8131, 119068, 5450, 43919, 4410, 39449, 3823, 4023, 40581]"
146,"[149, 31083, 26498, 4506, 59369, 4956, 3029, 2973, 82093, 3130]"
147,"[1594, 4409, 597, 4410, 4956, 1453, 198, 5450, 31083, 1667]"
148,"[6658, 5241, 1244, 3606, 3259, 4410, 2435, 7839, 2973, 8609]"
149,"[4410, 4409, 1791, 198, 2435, 90945, 4699, 55278, 4956, 493]"
150,"[496, 45672, 3259, 31083, 48696, 4956, 1594, 485, 1550, 2435]"
151,"[4410, 31083, 2435, 1667, 7107, 4409, 45672, 1550, 198, 4956]"
152,"[2435, 4956, 4410, 3259, 5241, 6658, 1244, 2973, 493, 31083]"
153,"[2435, 4410, 4409, 5241, 4956, 6658, 4506, 26453, 3259, 7107]"
154,"[4410, 6658, 3259, 8511, 4956, 1244, 2435, 5241, 3606, 8609]"
155,"[4410, 198, 121469, 4409, 1667, 2435, 4956, 2973, 189, 31083]"
156,"[4410, 2435, 2973, 4409, 31083, 5241, 26453, 4956, 6658, 7107]"
157,"[4410, 1121, 4409, 198, 4956, 2435, 1791, 4389, 1667, 3259]"
158,"[3259, 90945, 2435, 1464, 5103, 4410, 6658, 26887, 418, 4994]"
159,"[6658, 5241, 4410, 3259, 4409, 2435, 31083, 4956, 2973, 1244]"
160,"[2435, 4410, 4409, 31083, 4956, 198, 2973, 1667, 1791, 55278]"
161,"[3259, 340, 418, 4409, 2435, 4410, 31083, 5322, 1791, 198]"
162,"[4409, 7107, 31083, 198, 119068, 26453, 26887, 4410, 4956, 493]"
163,"[6658, 2435, 32600, 43919, 5322, 5450, 31083, 3453, 4474, 3580]"
164,"[4409, 105801, 198, 4410, 26453, 2435, 3259, 26887, 1791, 126]"
165,"[3259, 4410, 2435, 4409, 31083, 2973, 5241, 198, 1667, 5322]"
166,"[4409, 4410, 198, 4956, 2435, 31083, 2973, 5241, 1667, 26887]"
167,"[4409, 4410, 2435, 3259, 198, 26887, 4956, 31083, 1791, 7107]"
168,"[2435, 4409, 4410, 198, 26453, 2973, 4956, 7107, 31083, 26887]"
169,"[198, 4409, 4410, 2435, 1791, 1667, 4956, 31083, 2973, 26887]"
170,"[4409, 4410, 31083, 1594, 2435, 55278, 8131, 324, 3259, 45672]"
171,"[4409, 4410, 1791, 2435, 3259, 198, 4699, 4956, 5241, 92198]"
172,"[48696, 4389, 102, 5450, 4410, 269, 4699, 4409, 1312, 113]"
173,"[4409, 5178, 4410, 90945, 198, 324, 492, 26453, 48696, 27]"
174,"[324, 198, 31083, 4410, 1667, 5241, 2435, 43919, 5178, 45672]"
175,"[126, 4956, 1791, 105801, 4410, 26693, 493, 4409, 905, 26453]"
176,"[1667, 4410, 89, 31083, 1594, 4409, 4956, 198, 2435, 55278]"
177,"[4410, 4409, 2435, 4956, 5241, 31083, 7107, 2973, 198, 6658]"
178,"[4410, 5241, 4409, 5178, 2435, 2973, 5450, 198, 48696, 31083]"
179,"[493, 1667, 31083, 198, 4956, 4410, 2435, 1594, 5178, 39449]"
180,"[4409, 2973, 198, 4410, 1430, 55294, 6975, 31083, 2435, 7367]"
181,"[4409, 113, 198, 4699, 55278, 31083, 2435, 92198, 4410, 1791]"
182,"[2435, 4410, 4409, 4956, 31083, 198, 2973, 5241, 7107, 26453]"
183,"[4409, 2435, 4410, 3259, 198, 4956, 26887, 7107, 2973, 1594]"
184,"[4410, 4409, 4956, 5241, 2435, 6658, 121469, 4994, 26453, 7107]"
185,"[4410, 31083, 5241, 2435, 6658, 43919, 324, 2973, 5322, 5178]"
186,"[4410, 198, 4956, 4409, 2435, 1791, 31083, 1667, 2973, 4699]"
187,"[2435, 4410, 4956, 4409, 1667, 198, 2973, 26453, 5241, 31083]"
188,"[4956, 31083, 2587, 5241, 4410, 2435, 198, 1667, 1594, 3130]"
189,"[4193, 239, 4409, 2797, 26887, 3310, 8507, 1453, 3259, 4410]"
190,"[2435, 4410, 1667, 26453, 3259, 5241, 198, 5322, 4956, 4409]"
191,"[2435, 26453, 119068, 31083, 5450, 2587, 6658, 40581, 43919, 304]"
192,"[27, 5241, 6658, 597, 4410, 3046, 5178, 333, 40581, 31083]"
193,"[4409, 198, 4193, 26887, 4410, 26453, 2435, 7107, 26693, 105801]"
194,"[5450, 4410, 1107, 597, 94, 3823, 31083, 2435, 8131, 119068]"
195,"[31083, 4409, 4410, 2435, 2973, 5241, 4956, 26453, 198, 7107]"
196,"[26887, 4409, 3259, 4956, 2435, 1791, 198, 90945, 4410, 105801]"
197,"[4410, 3259, 1667, 1791, 1594, 4409, 82093, 31083, 39449, 5241]"
198,"[4410, 4409, 2435, 4956, 1667, 198, 1791, 31083, 2973, 5241]"
199,"[4409, 4410, 198, 2435, 7107, 5241, 4956, 1667, 31083, 2973]"
200,"[4410, 2435, 4409, 31083, 4956, 5241, 6658, 2973, 7107, 1667]"
201,"[4409, 4410, 198, 1667, 31083, 2435, 4956, 92198, 2973, 1791]"
202,"[4409, 4410, 2435, 2973, 198, 31083, 26453, 5241, 7107, 4956]"
203,"[4409, 198, 4410, 418, 90945, 55278, 92198, 1791, 173619, 2435]"
204,"[2435, 4409, 4410, 4956, 6658, 5241, 2973, 26887, 4699, 4506]"
205,"[2435, 26887, 8511, 4956, 6658, 3606, 8609, 8331, 5241, 4409]"
206,"[2435, 1667, 2587, 4956, 198, 5438, 340, 516, 492, 485]"
207,"[4410, 198, 1428, 2183, 4506, 26498, 26887, 33171, 90945, 59369]"
208,"[2435, 5568, 26887, 3259, 4409, 4956, 1594, 121469, 2587, 31083]"
209,"[6658, 5241, 1286, 2435, 2973, 4409, 6588, 3606, 26453, 3259]"
210,"[2435, 4409, 4410, 7107, 4956, 5241, 31083, 1791, 6658, 3259]"
211,"[4409, 2435, 4410, 2973, 5241, 7107, 26887, 4956, 198, 6658]"
212,"[2435, 4409, 4410, 5241, 4956, 2973, 6658, 3259, 1244, 7107]"
213,"[2435, 4409, 6658, 4410, 26887, 1791, 2973, 7107, 26453, 55278]"
214,"[4410, 2435, 113, 496, 2587, 5178, 48696, 492, 1550, 39449]"
215,"[4410, 4409, 26887, 2435, 198, 1667, 4956, 1791, 26453, 5241]"
216,"[4409, 198, 4410, 2435, 31083, 7107, 2973, 1667, 4956, 5241]"
217,"[4410, 2435, 4956, 4409, 31083, 198, 3259, 1667, 2973, 5241]"
218,"[1667, 1594, 7107, 4410, 2435, 4409, 4956, 5241, 3259, 31083]"
219,"[2435, 4409, 4956, 4410, 198, 31083, 3259, 5241, 1667, 26887]"
220,"[4409, 4410, 198, 4956, 1667, 31083, 2435, 5241, 2973, 26453]"
221,"[2435, 4410, 4409, 4956, 26453, 5241, 31083, 2973, 1667, 198]"
222,"[2435, 4409, 4410, 4956, 26453, 26887, 7107, 6658, 2973, 31083]"
223,"[198, 4410, 2435, 4409, 3259, 2973, 4699, 26887, 1667, 5241]"
224,"[4410, 1667, 2435, 4409, 2973, 5241, 31083, 7107, 2587, 4956]"
225,"[198, 4409, 1667, 26887, 121469, 26861, 4956, 2435, 4410, 26693]"
226,"[4410, 4409, 4956, 2435, 31083, 198, 1667, 5241, 2973, 7107]"
227,"[4409, 1791, 2435, 4956, 4410, 55278, 198, 7107, 26887, 6975]"
228,"[5602, 7367, 2435, 4956, 2463, 198, 1667, 4410, 26453, 55278]"
229,"[4410, 6975, 4409, 198, 2435, 121469, 5178, 26453, 493, 34534]"
230,"[2435, 4956, 1667, 4410, 4409, 31083, 198, 2973, 121469, 26453]"
231,"[4410, 26453, 2973, 2435, 4409, 26887, 43919, 48696, 5241, 6658]"
232,"[4410, 4409, 4956, 2435, 5241, 198, 31083, 7107, 1791, 2973]"
233,"[4409, 4410, 2435, 4956, 26453, 6658, 5241, 26887, 7107, 3310]"
234,"[4410, 4409, 31083, 2973, 2435, 1667, 198, 55278, 26453, 3259]"
235,"[4410, 31083, 324, 2435, 198, 3259, 48696, 5178, 119068, 2587]"
236,"[4409, 4410, 198, 26887, 121469, 55294, 66943, 3896, 166, 7160]"
237,"[198, 4956, 1667, 4410, 26887, 31083, 2435, 5241, 4409, 27193]"
238,"[31083, 4410, 4956, 2435, 2587, 6658, 43919, 45672, 121469, 5241]"
239,"[4409, 2435, 4410, 4956, 198, 31083, 2973, 1667, 1791, 26887]"
240,"[1667, 4410, 31083, 4409, 198, 493, 2435, 1791, 5178, 2973]"
241,"[4956, 2435, 26887, 5241, 4409, 31083, 6658, 26453, 4410, 7107]"
242,"[31083, 27193, 4956, 1594, 2435, 4410, 134368, 1667, 5178, 4409]"
243,"[324, 113, 34534, 198, 4410, 90945, 6975, 3310, 1667, 4409]"
244,"[4409, 4410, 31083, 198, 2435, 2973, 1791, 7107, 48696, 5241]"
245,"[4410, 5322, 1550, 3259, 3453, 4956, 2435, 2973, 90945, 198]"
246,"[2435, 4409, 6658, 4410, 4956, 5241, 3259, 26453, 7107, 1244]"
247,"[4410, 4409, 5241, 2435, 6658, 3259, 2973, 26453, 4956, 7107]"
248,"[4409, 4410, 198, 7107, 55278, 2435, 26453, 4956, 2973, 26887]"
249,"[4409, 4956, 2435, 4410, 5241, 3259, 7107, 1791, 31083, 198]"
250,"[198, 89, 92198, 1667, 4409, 4506, 3576, 3029, 1791, 2973]"
251,"[4409, 5241, 2973, 5635, 4699, 26453, 4410, 5450, 8131, 173619]"
252,"[4956, 1244, 6658, 2435, 31083, 82093, 492, 4410, 4506, 26761]"
253,"[2435, 6658, 3194, 5241, 1244, 5450, 4410, 3259, 4956, 2757]"
254,"[4409, 4410, 2435, 198, 4956, 26453, 5241, 26887, 2973, 7107]"
255,"[1667, 4410, 198, 1791, 1179, 26693, 4409, 26887, 493, 4699]"
256,"[4410, 2435, 4409, 4956, 5241, 31083, 3259, 6658, 26887, 7107]"
257,"[485, 1667, 5568, 4956, 198, 90945, 3259, 5322, 31083, 45672]"
258,"[4409, 2973, 501, 6658, 198, 149, 4193, 2435, 55294, 1464]"
259,"[315, 2726, 434, 3896, 92198, 95761, 78041, 4409, 121469, 464]"
260,"[4410, 2435, 4956, 5241, 31083, 4409, 198, 3259, 26453, 173619]"
261,"[31083, 4410, 2973, 5241, 39449, 6658, 40581, 2435, 2289, 4956]"
262,"[4409, 2435, 492, 2973, 31083, 198, 26453, 7107, 121469, 2587]"
263,"[4409, 4410, 2435, 31083, 5241, 4956, 2973, 198, 1667, 26453]"
264,"[4410, 198, 4409, 324, 5241, 5178, 4956, 31083, 4774, 48696]"
265,"[4410, 198, 4409, 2973, 4956, 2435, 1791, 31083, 4699, 1667]"
266,"[4409, 2435, 31083, 2973, 1594, 4410, 4699, 5241, 45672, 3259]"
267,"[4409, 4410, 1791, 5178, 1179, 2435, 198, 2973, 55278, 105801]"
268,"[2435, 4410, 4409, 31083, 2973, 5241, 4956, 26453, 7107, 6658]"
269,"[26693, 26887, 31083, 45672, 3259, 1791, 4410, 48696, 26849, 4956]"
270,"[2435, 1667, 2587, 198, 4956, 3259, 492, 31083, 4410, 45672]"
271,"[26693, 4409, 1791, 26887, 198, 4410, 4956, 2435, 113, 121469]"
272,"[911, 4506, 4410, 3259, 6588, 824, 4956, 5241, 25825, 55278]"
273,"[4410, 4409, 6975, 324, 4699, 31083, 2435, 48696, 113, 26453]"
274,"[2435, 4410, 4409, 4956, 31083, 198, 1791, 3259, 5241, 26887]"
275,"[2435, 4409, 4410, 31083, 2973, 5241, 4956, 1667, 7107, 198]"
276,"[4410, 198, 493, 2587, 31083, 1667, 5178, 2435, 45672, 26453]"
277,"[340, 1667, 3259, 198, 4956, 3150, 1791, 5843, 4410, 146730]"
278,"[69304, 3259, 1453, 40581, 45672, 43919, 3310, 2797, 105801, 26871]"
279,"[4409, 2435, 4410, 7107, 5241, 2973, 6658, 1791, 4956, 26887]"
